8e66aa2b523cdf369330d06da24d8ff7a9f6e0a7012930b7c1825543d2704c58,aede26e9b8eefc33ce2011dfffeea1fa224edff5a9963bdb917da0f2a1009385,55d6b757324bd3052f9e7bd321e1b79a18a7ed6354be031d05d6a43bdce28433,959788f26ac02a0b155299d062c228095493a5667e9f64c76773bf1ff7b3b8c5,75bc38e8d0627e400fa40cadee3d0b248226217f312e583a37ba6c50e7573b5b,9af6f42be03169db39bb4ab156057388b2cfe09cfc24484a96409c88c634d0e1,f61c4a5de45d0206098e4e49221f9ba0a78a1ff8170cc82c12997d95d147da77,264bc2f1af75deddb88c3b2fd7e0dd7c96f5bc26216041202056aacf4d82ba9e,a85f12b7735e96c5c7eac182448d9bde03dd69ae3a2ff606d52ffea8b377d8d9,4b2878130646e0d26b489992a04f46163bdef68fbf911d5d30d9d9545416bb95,cf9ee98ee37d4c48ed40c6234f49c02d242848a2b997e84d2b77576720b3dec7,44d07f664c7140d82558c19927fc3d95e731747c2283f05ed79191c7228f0811
"1","vo_10020900_0001","0","0","1010001","0","0","vo_10020900","0","1","0","2"
"2","0","0","1","1010002","0","180","0","0.818181818181818","1","0","1"
"3","0","0.818181818181818","1","1010003","0","0","0","0","1","1","4"
"4","0","0","2","1010004","0","148","0","0.634285714285714","1","0","1"
"5","0","1.03428571428571","2","1010005","0","0","0","0","1","1","4"
"6","0","0","2","1010006","148","460","0","1.33714285714286","1","0","1"
"7","0","2.13714285714286","2","1010007","0","0","0","0","1","1","4"
"8","vo_10020900_0002","0","0","1010008","0","0","vo_10020900","0","1","0","2"
"9","0","0","3","1010009","0","223","0","1.12948051948052","1","0","1"
"10","0","2.12948051948052","3","1010010","0","0","0","0","1","1","4"
"11","vo_10020900_0003","0","0","1010011","0","0","vo_10020900","0","1","0","2"
"12","0","0","3","1010012","223","343","0","0.545454545454545","1","0","1"
"13","0","1.04545454545455","3","1010013","0","0","0","0","1","1","4"
"14","0","0","3","1010014","343","700","0","1.71545454545455","1","0","1"
"15","0","2.71545454545455","3","1010015","0","0","0","0","1","1","4"
"16","vo_10020900_0004","0","0","1010016","0","0","vo_10020900","0","1","0","2"
"17","0","0","4","1010017","0","275","0","1.67857142857143","1","0","1"
"18","0","2.17857142857143","4","1010018","0","0","0","0","1","1","4"
"19","vo_10020900_0005","0","0","1010019","0","0","vo_10020900","0","1","0","2"
"20","0","0","4","1010020","275","465","0","1.28311688311688","1","0","1"
"21","0","1.98311688311688","4","1010021","0","0","0","0","1","1","4"
"22","0","0","4","1010022","465","715","0","1.2987012987013","1","0","1"
"23","0","1.9987012987013","4","1010023","0","0","0","0","1","1","4"
"24","0","0","5","1010024","0","400","0","2.07792207792208","1","0","1"
"25","0","3.07792207792208","5","1010025","0","0","0","0","1","1","4"
"26","vo_10020900_0006","0","0","1010026","0","0","vo_10020900","0","1","0","2"
"27","0","0","6","1010027","0","182","0","1.06363636363636","1","0","1"
"28","0","1.56363636363636","6","1010028","0","0","0","0","1","1","4"
"29","0","0","6","1010029","182","700","0","2.96","1","0","1"
"30","0","3.96","6","1010030","0","0","0","0","1","1","4"
"31","vo_10020900_0007","0","0","1010031","0","0","vo_10020900","0","1","0","2"
"32","0","0","7","1010032","0","85","0","0.386363636363636","1","0","1"
"33","0","0.886363636363636","7","1010033","0","0","0","0","1","1","4"
"34","0","0","7","1010034","85","750","0","3.54090909090909","1","0","1"
"35","0","4.54090909090909","7","1010035","0","0","0","0","1","1","4"
"36","vo_10020900_0008","0","0","1010036","0","0","vo_10020900","0","1","0","2"
"37","0","0","8","1010037","0","95","0","0.431818181818182","1","0","1"
"38","0","1.03181818181818","8","1010038","0","0","0","0","1","1","4"
"39","vo_10020900_0009","0","0","1010039","0","0","vo_10020900","0","1","0","2"
"40","0","0","8","1010040","95","235","0","0.709090909090909","1","0","1"
"41","0","1.30909090909091","8","1010041","0","0","0","0","1","1","4"
"42","vo_10020900_0010","0","0","1010042","0","0","vo_10020900","0","1","0","2"
"43","0","0","8","1010043","235","750","0","3.07662337662338","1","0","1"
"44","0","4.07662337662338","8","1010044","0","0","0","0","1","1","4"
"45","vo_10020900_0011","0","0","1010045","0","0","vo_10020900","0","1","0","2"
"46","0","0","9","1010046","0","170","0","1.43506493506493","1","0","1"
"47","0","2.43506493506493","9","1010047","0","0","0","0","1","1","4"
"48","vo_10020900_0012","0","0","1010048","0","0","vo_10020900","0","1","0","2"
"49","0","0","9","1010049","170","720","0","2.75","1","0","1"
"50","0","3.95","9","1010050","0","0","0","0","1","1","4"
"51","vo_10020900_0013","0","0","1010051","0","0","vo_10020900","0","1","0","2"
"52","0","0","10","1010052","170","585","0","1.67792207792208","1","0","1"
"53","0","2.27792207792208","10","1010053","0","0","0","0","1","1","4"
"54","0","0","10","1010054","585","750","0","0.9","1","0","1"
