05ef6cab2f7782c71f2a4b51f8139a77c0dc91b9040e9a0b87caf3e8febbd1de,4196890e0cba475a82ef9746f3d11e504f3410cbc04fa9e432f065ce411f98b4,03ca02a82e4b68e55c7fc990fab1ce163598ee73fc297b24a5f2eae085e3f407,391d9132453f175569ad49d9e14a9b972b631c38d26d743c2dce2b707abcad96,47767939998549aa32953f193a9073baca3b228de96f155f04f893457d06ea17
"1","10201","2","1","3"
"2","10202","2","2","3"
"3","10203","2","3","3"
"4","10301","2","4","10"
"5","10302","2","5","10"
"6","10303","2","6","10"
"7","10304","2","7","10"
"8","10401","2","8","20"
"9","10402","2","9","20"
"10","10403","2","10","20"
"11","10404","2","11","20"
"12","10405","2","12","20"
"13","10406","2","13","20"
"14","10407","2","14","20"
"15","10408","2","15","20"
"16","10409","2","16","20"
"17","10701","1","1","3"
"18","10601","1","2","3"
"19","10602","1","3","3"
"20","10603","1","4","3"
"21","10604","1","5","3"
"22","11301","1","6","10"
"23","11302","1","7","10"
"24","11303","1","8","10"
"25","11401","1","9","20"
"26","11402","1","10","20"
"27","11403","1","11","20"
"28","11601","1","12","20"
"29","11602","1","13","20"
"30","11603","1","14","20"
"31","11604","1","15","20"
"32","11605","1","16","20"
"33","11606","1","17","20"
"34","11101","1","18","20"
"35","11102","1","19","20"
"36","11103","1","20","20"
"37","11701","1","21","20"
"38","11702","1","22","20"
"39","11703","1","23","20"
"40","10501","3","1","3"
"41","10502","3","2","3"
"42","10503","3","3","3"
"43","11201","3","4","10"
"44","10801","3","5","10"
"45","10802","3","6","10"
"46","10803","3","7","10"
"47","10804","3","8","10"
"48","10901","3","9","20"
"49","10902","3","10","20"
"50","10903","3","11","20"
"51","10904","3","12","20"
"52","11001","3","13","20"
"53","11002","3","14","20"
"54","11003","3","15","20"
"55","11501","3","16","20"
"56","11502","3","17","20"
"57","11503","3","18","20"
"58","11504","3","19","20"
"59","11505","3","20","20"
"60","11506","3","21","20"
