364e6a0b1c004a36815033ba7b424d417b975abb3531fe2d1e44a44ba121bd2b,8c0b04b1f033430633dfc31f9af97800af31ea621681a0ff269877541873a0b6,644c6f3567f426b5d52d47ee17ca0b06d55fd95875449935d54d7a67f26f87ef,638753c00cf7820c37188e6bc2d82bdf91a2901ad35e726ca0739b3732b4e6bb
"1","1001","4","180701"
"2","1002","4","180701"
"3","1003","4","180701"
"4","1004","4","180701"
"5","1005","4","180701"
"6","1014","2","180701"
"7","1015","2","180701"
"8","1016","2","180701"
"9","1017","2","180701"
"10","1010","2","180701"
"11","1011","2","180701"
"12","1012","2","180701"
"13","1013","2","180701"
"14","1001","6","180801"
"15","1002","6","180801"
"16","1003","6","180801"
"17","1004","6","180801"
"18","1005","6","180801"
"19","1014","3","180801"
"20","1015","3","180801"
"21","1016","3","180801"
"22","1017","4","180801"
"23","1010","3","180801"
"24","1011","3","180801"
"25","1012","3","180801"
"26","1013","3","180801"
"27","1009","3","180801"
"28","1001","4","180901"
"29","1002","4","180901"
"30","1003","4","180901"
"31","1004","4","180901"
"32","1005","4","180901"
"33","1014","2","180901"
"34","1015","2","180901"
"35","1016","2","180901"
"36","1017","4","180901"
"37","1010","2","180901"
"38","1011","2","180901"
"39","1012","2","180901"
"40","1013","2","180901"
"41","1001","4","181001"
"42","1002","4","181001"
"43","1003","4","181001"
"44","1004","4","181001"
"45","1005","4","181001"
"46","1009","2","181001"
"47","1010","2","181001"
"48","1011","2","181001"
"49","1012","2","181001"
"50","1013","2","181001"
"51","1014","2","181001"
"52","1015","2","181001"
"53","1016","2","181001"
"54","1017","2","181001"
"55","1001","4","181101"
"56","1002","4","181101"
"57","1003","4","181101"
"58","1004","4","181101"
"59","1005","4","181101"
"60","1009","2","181101"
"61","1010","2","181101"
"62","1012","2","181101"
"63","1013","2","181101"
"64","1014","2","181101"
"65","1015","2","181101"
"66","1016","2","181101"
"67","1017","2","181101"
