e08ce99d7e3e7f87b70b5e33a8ea7a3b803100b0e03a45c729ac10b7e6e57553,e8fb849290f6e6fd47b6e6cf9d36d0d65ed35b3257e90ff0f2045b354c5e6c66,9f516b10ec2760bb515265042090332377965193ec1376999ce6c58d9d96a673,6a1255a21899698420a8049615a6ab9b567c832581c6c55a14442292ffa3856d
"2","1","20","20"
"3","1","30","30"
"3","2","50","80"
"3","3","80","160"
"4","1","60","60"
"4","2","100","160"
"4","3","180","340"
"4","4","360","700"
"4","5","500","1200"
"5","1","100","100"
"5","2","160","260"
"5","3","280","540"
"5","4","480","1020"
"5","5","780","1800"
"6","1","100","100"
"6","2","160","260"
"6","3","280","540"
"6","4","480","1020"
"6","5","780","1800"
"7","1","100","100"
"7","2","160","260"
"7","3","280","540"
"7","4","480","1020"
"7","5","780","1800"
"8","1","100","100"
"8","2","160","260"
"8","3","280","540"
"8","4","480","1020"
"8","5","780","1800"
"9","1","100","100"
"9","2","160","260"
"9","3","280","540"
"9","4","480","1020"
"9","5","780","1800"
"10","1","100","100"
"10","2","160","260"
"10","3","280","540"
"10","4","480","1020"
"10","5","780","1800"
