97b8ea57d105f3e97addaaf60643fc8e967a7a5121750f384b099d6bdb7d47a3,dc2acdf89dc09847de76af9fdb3bef0c32443f4465fd8e934c9222e9bbc1e0a0,7b81c37d88415a20c5ede0cfdf30dc9f683b00ea16034a02d38caa189edc46f4,a5f9a24ea295a9f64d9a23933c6bb513c32ec38d017c9327b66bd83033638a00,92088f97d424303427e9a38f7f11d7bf67374c8dbafe414649c9c05b28151b08
"150000","100001011","94002","10000101","12"
"6","100001012","22003","10000101","2"
"500000","100001021","94002","10000102","12"
"6","100001022","22003","10000102","2"
"500000","100001031","94002","10000103","12"
"3","100001032","140001","10000103","4"
"3","100001033","25001","10000103","2"
"500000","100001041","94002","10000104","12"
"6","100001042","22003","10000104","2"
"500000","100001051","94002","10000105","12"
"4","100001052","140001","10000105","4"
"4","100001053","25001","10000105","2"
"500000","100001061","94002","10000106","12"
"6","100001062","22003","10000106","2"
"500000","100001071","94002","10000107","12"
"4","100001072","140001","10000107","4"
"4","100001073","25001","10000107","2"
"500000","100001081","94002","10000108","12"
"6","100001082","22003","10000108","2"
"500000","100001091","94002","10000109","12"
"4","100001092","140001","10000109","4"
"4","100001093","25001","10000109","2"
"120000","100505011","94002","10050501","12"
"3","100505012","22003","10050501","2"
"120000","100505021","94002","10050502","12"
"4","100505022","22003","10050502","2"
"120000","100505031","94002","10050503","12"
"4","100505032","22003","10050503","2"
"120000","100505111","94002","10050511","12"
"3","100505112","22003","10050511","2"
"160000","100505121","94002","10050512","12"
"4","100505122","22003","10050512","2"
"120000","100606011","94002","10060601","12"
"3","100606012","22003","10060601","2"
"120000","100606021","94002","10060602","12"
"4","100606022","22003","10060602","2"
"120000","100606031","94002","10060603","12"
"4","100606032","22003","10060603","2"
"120000","100606111","94002","10060611","12"
"3","100606112","22003","10060611","2"
"160000","100606121","94002","10060612","12"
"4","100606122","22003","10060612","2"
"120000","100707011","94002","10070701","12"
"3","100707012","22003","10070701","2"
"120000","100707021","94002","10070702","12"
"4","100707022","22003","10070702","2"
"120000","100707031","94002","10070703","12"
"4","100707032","22003","10070703","2"
"120000","100707111","94002","10070711","12"
"3","100707112","22003","10070711","2"
"160000","100707121","94002","10070712","12"
"4","100707122","22003","10070712","2"
"120000","100808011","94002","10080801","12"
"3","100808012","22003","10080801","2"
"120000","100808021","94002","10080802","12"
"4","100808022","22003","10080802","2"
"120000","100808031","94002","10080803","12"
"4","100808032","22003","10080803","2"
"120000","100808111","94002","10080811","12"
"3","100808112","22003","10080811","2"
"160000","100808121","94002","10080812","12"
"4","100808122","22003","10080812","2"
