de3216e6600962eb8322b99b794d45d0567f4445659dba6081f5c9d7dc1d129e,cf70ff89a411658c76db36cc9efd683331e2bc0b30c800728b91680f9fc60aca,8cd3c74b5270accf9e6192972a8bae656f4b93342a73837106da9b6f5eeba7d3,b715e2fca8620ed9239481454797db343dfb3411f62db714a92a77cb325cfb8e,4d2da34a628243a53b11dfa3b6e2ed39e129cfe2c27d2724b572057a5a9245c0,66f4674ac1e7e1e32c0dbc6f005195cb3453e12dffd31b70d97c5d7af8fd8417,5216fa3b7cc2a2c520672f0c714afeb6aa4ad3273728629254fa4bac44977a79,5b1176a3d407d08db528f90a81bc87b06e997c777acb073a4a1b2f9a1aaef796,c7994acc2386fbdfd60f0312d5939e522d90a10b337f49945f095d9dcced40a6,6f48867a5c1313d63f4cf173d0a4181a81eeaf958472544fd9ca51cc2859a26a,d343e316b8c0acebe239fa3f98a957c8e6427eb21d39998c308ca0a113833442,589e5f548ed912c24e10d13165dbd576cb5bc786a830ae9abc4c94074483b8df,10a4ddd5d17318c3e550f358ade9c0478df57e21d8b1f333d24a4b66036d7b93
"","2018-10-18 15:00:00","Lost Princess","","A2001197329/","1","-1","","1","-1","20","ろすとぷりんせす","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-01/1361481742?app=itunes"
"","2018-10-18 15:00:00","Connecting Happy！！","","A2001197334/","2","-1","","2","-1","17","こねくてぃんぐはっぴー","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-02/1361483195?app=itunes"
"","2018-10-18 15:00:00","旅の始まり","","","3","1000","","3","-1","20","たびのはじまり",""
"","2018-10-18 15:00:00","森を駆ける風","","","4","1000","","4","-1","20","もりをかけるかぜ",""
"","2018-10-18 15:00:00","メサルティム","","","5","1000","","5","-1","20","めさるてぃむ",""
"","2018-10-18 15:00:00","ハツネのプレゼント大作戦","","","6","1000","","6","-1","20","はつねのぷれぜんとだいさくせん",""
"","2018-10-18 15:00:00","ジズ","","","7","1000","","7","-1","20","じず",""
"","2018-10-18 15:00:00","Smiley Contrast","","A2001305115/","8","1500","","8","-1","20","すまいりーこんとらすと","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-04/1411112401?app=itunes"
"","2018-10-18 15:00:00","ミノタウロス","","","9","1000","","9","-1","20","みのたうろす",""
"","2018-10-18 15:00:00","リトル・リリカル・アドベンチャーズ","","","10","1000","","10","-1","20","りとるりりかるあどべんちゃーず",""
"","2018-10-18 15:00:00","アルマ","","","11","1000","","11","-1","20","あるま",""
"","2018-10-18 15:00:00","リトルアドベンチャー","","A2001336697/","12","1500","","12","-1","18","りとるあどべんちゃー","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-05/1436280052?app=itunes"
"","2018-10-18 15:00:00","グラットン","","","13","1000","","13","-1","20","ぐらっとん",""
"","2018-10-18 15:00:00","トリックオアプリン！約束のハロウィンパーティー","","","14","1000","","14","-1","20","とりっくおあぷりんやくそくのはろうぃんぱーてぃー",""
"","2018-10-18 15:00:00","ジャック・オー・プリン","","","15","1000","","15","-1","17","じゃっくおーぷりん",""
"","2018-10-18 15:00:00","もっと！ふたりのパ～ティ～ナイト","","A2001411119/","16","1500","","16","-1","20","もっとふたりのぱーてぃーないと","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-07/1450772144?app=itunes"
"","2018-10-18 15:00:00","耀う氷の結晶","","","17","1000","","17","-1","20","かがようこおりのけっしょう",""
"","2018-11-19 15:00:00","Shining Future","","A2001253711/","18","1500","","18","3010003","20","しゃいにんぐふゅーちゃー","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-03/1386518679?app=itunes"
"","2018-11-19 15:00:00","風への誓い","","A2001253711/","19","1500","","19","3010003","20","かぜへのちかい","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-03/1386518679?app=itunes"
"","2018-11-19 15:00:00","君の笑顔が見たいから","","A2001305115/","20","1500","","20","3010003","18","きみのえがおがみたいから","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-04/1411112401?app=itunes"
"","2018-11-19 15:00:00","アマノジャクハート！","","A2001336697/","21","1500","","21","1054007","18","あまのじゃくはーと","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-05/1436280052?app=itunes"
"","2018-11-19 15:00:00","不穏な空気と立ち向かう闘志","","","22","1000","","22","-1","20","ふおんなくうきとたちむかうとうし",""
"","2018-11-19 15:00:00","ツインピッグス","","","23","1000","","23","-1","20","ついんぴっぐす",""
"","2018-11-19 15:00:00","ヴァンパイアハンターwithイリヤ","","","24","1000","","24","-1","20","ヴぁんぱいあはんたーうぃずいりや",""
"","2018-11-19 15:00:00","ガルグ","","","25","1000","","25","-1","20","がるぐ",""
"","2018-11-19 15:00:00","Peaceful*ちゃんぷるー","","A2001552686/","26","1500","","26","-1","20","ぴーすふるちゃんぷるー","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-09/1474199447?app=itunes"
"","2018-11-19 15:00:00","レサトパルト","","","27","1000","","27","-1","20","れさとぱると",""
"","2018-11-19 15:00:00","トワイライトブレイカーズ","","","28","1000","","28","-1","20","とわいらいとぶれいかーず",""
"","2018-11-19 15:00:00","オラム","","","29","1000","","29","-1","20","おらむ",""
"","2018-11-19 15:00:00","サイツヨでしょ、でしょ？","","A2001502066/","30","1500","","30","-1","20","さいつよでしょでしょ","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-08/1465192235?app=itunes"
"","2018-11-19 15:00:00","氷海の地","","","31","1000","","31","-1","20","ひょうかいのち",""
"","2018-12-19 15:00:00","氷と雪の世界","","","32","1000","","32","-1","20","こおりとゆきのせかい",""
"","2018-12-19 15:00:00","爽やかな風","","","33","1000","","33","-1","20","さわやかなかぜ",""
"","2018-12-19 15:00:00","カルキノス","","","34","1000","","34","-1","20","かるきのす",""
"","2018-12-19 15:00:00","デンジャラスバカンス！渚のグルメプリンセス","","","35","1000","","35","-1","20","でんじゃらすばかんすなぎさのぐるめぷりんせす",""
