aec0b56b68c806ee053629cf96d837a26128888643e31671df58c7814847b570,e7bedd2b5b7961f1ed578937b5e08b6b1f00c2984302fbf45140e01828718dc6,fd0aada4444c8a8c2693c2bac75e3b1b22e304a36efc35725cbd557ff1e8ec1b,f7c808d579db500e739ea75d86d23c035958ab115f2123bc8a7da0c01c773f58,f5d7adcb0b3cda20c0bf6055d9a4f5e895e0c0dfd08e31a47471bdb107abf525,e5e7b21263d93df3a7e731a07e5e063e9b10a9c4300b177237e42575b50c86c9,703973ac5e15b92a941fa9bb68c930264412f71e6a41d4dd345b53544a091ec5,1203e62312da005c20e7aabec75ca12d5c4e122e94a016918b316dd1c0ee621e,d1d70883add8181236fff4da94744df8a2f699dc5cba1b4ae05409d6ffa20b67,1752e363dec9c2263ded8351b1f0e17acb624ffd7d54f1f6d09e37d6cee48b7e,b2ccea95928af086844833b61019edf5465aed611b87b929331e06fdd2db8773,6598ce2a6b390e82f1c6ba426f217b75ad6ce10ebff57abcc01fa4fdf1f4ed76,3809179a4329563730edcd8393b3ad338b83ee875f2a6f701dd5a2d3d9ec3707,ec2356a329ea38c709fa2fc8abb6f1fc90efdb1fd5914d240c7547d3c85842f6
"-30","0","0","30","1.5","10","1.7","100000","2","0","0","0","10050","1005001"
"25","-40","1","-17","1.5","0","1.7","100000","1","10050101","0.03","0","10050","1005001"
"-47","-23","0","-32","1.5","10","1.7","100000","3","0","0","0","10050","1005001"
"-30","0","0","30","1.5","10","1.7","100000","2","0","0","0","10050","1005002"
"25","-40","1","-17","1.5","0","1.7","100000","1","10050201","0.03","0","10050","1005002"
"-47","-23","0","-32","1.5","10","1.7","100000","3","0","0","0","10050","1005002"
"-30","0","0","30","1.5","10","1.7","100000","2","0","0","0","10050","1005003"
"25","-40","1","-17","1.5","0","1.7","100000","1","10050301","0.03","0","10050","1005003"
"-47","-23","0","-32","1.5","10","1.7","100000","3","0","0","0","10050","1005003"
"-30","0","0","30","1.5","10","1.7","100000","2","0","0","0","10050","1005004"
"25","-40","1","-17","1.5","0","1.7","100000","1","10050401","0.03","0","10050","1005004"
"-47","-23","0","-32","1.5","10","1.7","100000","3","0","0","0","10050","1005004"
"-30","0","0","30","1.5","10","1.7","100000","2","0","0","0","10050","1005005"
"25","-40","1","-17","1.5","0","1.7","100000","1","0","0.03","0","10050","1005005"
