545e1fcb99a390fef3a00290d0cd7e229d6d2fc16569b883158f76c2862787e3,19bb7c2612b398c67658a8bf3dd778da0413c1bd53fe8301023f066053a839c5,df4ee1b573cde813597c5929b8692e7caa3f974bad9e8af652eccbd880991c61,10c220184dc00017bae1beef9e97709830aa8b4c5117a8fdae69bc92b2129d24,dc0544aab0b7678e40d48cde64d1779bf22e3be22da57b042c4314f7b46020cf,ba5381f43926ce603b9c857746c62e38e0e418186fa7ebe1714995d44bf6d3d0,0d0b355f855cff31ec347ba0c99b34195b73df898c05e473eeda59f11aa53b61,682180d4f197535586369738bd012faefc2c0c4d873108f593cb38d701afcc60
"【料理】ダイスが2個に増える","0","1","1","0","52001","1","1"
"【料理】ダイスの目が必ず「1」になる","0","1","2","0","52002","1","1"
"【料理】次のターン数のカウントをスキップする","0","1","3","0","52002","3","2"
"【料理】ダイスの目が必ず「4」になる","0","1","4","0","52004","1","1"
"【料理】ダイスの目が\n「4・5・6」のみになる","0","1","5","0","52006","1","1"
"【料理】ダイスの目が1ターン目は必ず「3」に、2ターン目は必ず「6」になる","0","1","6","0","52007","1","1"
"【料理】ダイスの目が必ず「5」になる","0","1","7","0","52003","1","1"
"【料理】マイルマスの獲得マイルが200%アップする","0","1","8","0","52008","2","7"
"【イベント】次のターン数のカウントをスキップする","0","2","9","0","4","3","2"
"【イベント】マイルマスの獲得マイルが100%アップする","0","2","10","0","5","2","3"
"【イベント】ミニゲームの獲得マイルが100%アップする","0","2","11","0","6","2","5"
"【イベント】マイルショップの全商品が20%以上割引される","0","2","12","0","7","3","4"
"【料理】ダイスの目が1ターン目は必ず「8」に、2ターン目は必ず「1」になる","0","1","13","0","52009","1","1"
"【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","0","1","14","0","52010","2","6"
"【料理】ダイスの目が1ターン目は必ず「2」に、2ターン目は必ず「7」になる","0","1","15","0","52011","1","1"
"【料理】ダイスの目が\n「1・2・3」のみになる","0","1","16","0","52012","1","1"
"【料理】次のターン数のカウントをスキップする","0","1","17","0","52012","3","2"
"【料理】移動時にマイルマスをスキップできる","0","1","18","0","52014","1","8"
"【料理】次回移動時に1マス分多く進める","0","1","19","0","52005","1","1"
"【料理】次回移動時に1マス分多く進める","2","1","20","2","52014","1","1"
"【料理】ダイスが2個に増える","0","1","21","0","52015","1","1"
"【料理】次回移動時に1マス分多く進める","0","1","22","0","52015","1","1"
"【料理】ダイスの目が必ず「6」になる","0","1","23","0","52016","1","1"
"【料理】移動系カテゴリーの料理が食べられなくなる","0","1","24","0","52017","1","9"
"【料理】ダイスの目が必ず「3」になる","0","1","25","0","52018","1","1"
"【料理】ダイスの目が必ず「8」になる","0","1","26","0","52019","1","1"
"【イベント】次のターン数のカウントをスキップする","0","2","27","0","98011","3","2"
"【イベント】次のターン数のカウントをスキップする","0","2","28","0","98012","3","2"
