800c883815b9dc5d8c77120b919688bd64470cce86fb8982318b349dbf74426c,9184db0d2b3f5a1017dd476250ec30ef64eb75b0901d255bf7db402cc44651b1,0def7936dcb991c21e02cec082d90fa0bda1d9e66b09a68ed91107a8f436bcd1,7ef063700ed4c28e0084a99747876f8a0e7170b49c95fea12b6f66f3479a998e,49c929c492e57a0f9b75e0fb71043c4db67672aab2fc4139ae21a01f0398bc20
"1","1048","1037","1025","1045"
"2","1004","1062","1003","1006"
"3","1007","1029","1003","1006"
"4","1045","1025","1047","1062"
"5","1013","1003","1043","1022"
"6","1004","1048","1006","1019"
"7","1033","1037","1062","1003"
"8","1053","1050","1056","1059"
"9","1011","1030","1001","1034"
"10","1023","1046","1063","1026"
"11","1038","1014","1020","1044"
"12","1049","1008","1017","1040"
"13","1044","1017","1023","1020"
"14","1038","1001","1017","1020"
"15","1048","1036","1030","1008"
"16","1038","1004","1044","1011"
"17","1011","1005","1043","1022"
"18","1016","1042","1046","1047"
"19","1028","1041","1014","1063"
"20","1055","1061","1052","1058"
"21","1001","1031","1025","1024"
"22","1063","1064","1024","1005"
"23","1000","1066","1040","1044"
"24","1038","1076","1000","1010"
"25","1019","1077","1003","1043"
"26","1069","1071","1070","1068"
"27","1091","1089","1092","1090"
"28","1100","1097","1098","1099"
"29","1104","1101","1102","1103"
"30","1108","1105","1106","1107"
"31","1091","1088","1089","1090"
