98c823ab9215176caa31506a52daf54e391cc4a43235c25ddfd525cbdd8564d0,e1ba478ea207948e7de245a95cac6760883dff0045ff90230b5fdf66fc237dd4,5043b397a04b15ecc09b4a13d4694afb060c8b4bed60f9af89cf31967b8f4933,39782cec173d846a18184e47b401e1274f239e66c9c9838084482fc9b298de21,c986bba1b1340198f6892b9f6ca7e0c5564b21ca60967ab1ffc622ee0e5c7984,56ae094018281e592903a8c7182e65b9b93b51324b79436530c41af2868d37d0
"6","1","10011001","101011","4","60000001"
"6","1","10011001","101071","4","60000002"
"6","1","10011001","101101","4","60000003"
"7","1","10011001","101131","4","60000004"
"6","1","10011001","101161","4","60000005"
"6","1","10011001","101191","4","60000006"
"7","1","10011001","101251","4","60000007"
"7","1","10011001","101281","4","60000008"
"7","1","10011001","101371","4","60000009"
"7","1","10011001","101401","4","60000010"
"7","1","10011001","101431","4","60000011"
"7","1","10011001","101521","4","60000012"
"7","1","10011001","101551","4","60000013"
"7","1","10011001","101581","4","60000014"
"7","1","10011001","101611","4","60000015"
"2","1","10011002","102011","4","60000016"
"2","1","10011002","102013","4","60000017"
"2","1","10011002","102014","4","60000018"
"2","1","10011002","102041","4","60000019"
"2","1","10011002","102071","4","60000020"
"2","1","10011002","102101","4","60000021"
"2","1","10011002","102131","4","60000022"
"2","1","10011002","102162","4","60000023"
"2","1","10011002","102163","4","60000024"
"2","1","10011002","102191","4","60000025"
"2","1","10011002","102192","4","60000026"
"2","1","10011002","102221","4","60000027"
"2","1","10011002","102222","4","60000028"
"2","1","10011002","102251","4","60000029"
"3","1","10011002","102252","4","60000030"
"3","1","10011002","102281","4","60000031"
"3","1","10011002","102461","4","60000032"
"3","1","10011002","102551","4","60000033"
"3","1","10011002","102552","4","60000034"
"3","1","10011002","102581","4","60000035"
"3","1","10011002","102582","4","60000036"
"3","1","10011002","102611","4","60000037"
"3","1","10011002","102612","4","60000038"
"3","1","10011002","122282","4","60000039"
"3","1","10011002","122311","4","60000040"
"3","1","10011002","122312","4","60000041"
"3","1","10011002","122341","4","60000042"
"3","1","10011002","122342","4","60000043"
"3","1","10011002","122371","4","60000044"
"3","1","10011002","122372","4","60000045"
"3","1","10011002","122401","4","60000046"
"3","1","10011002","122431","4","60000047"
"3","1","10011002","122432","4","60000048"
"3","1","10011002","122491","4","60000049"
"3","1","10011002","122493","4","60000050"
"3","1","10011002","122521","4","60000051"
"3","1","10011002","122613","4","60000052"
"3","1","10011002","122614","4","60000053"
"2","1","10011003","113011","4","60000054"
"2","1","10011003","113012","4","60000055"
"2","1","10011003","113013","4","60000056"
"2","1","10011003","113071","4","60000057"
"2","1","10011003","113101","4","60000058"
"2","1","10011003","113131","4","60000059"
"2","1","10011003","113162","4","60000060"
"2","1","10011003","113191","4","60000061"
"2","1","10011003","113221","4","60000062"
"2","1","10011003","113222","4","60000063"
"2","1","10011003","113252","4","60000064"
"3","1","10011003","113283","4","60000065"
"3","1","10011003","113342","4","60000066"
"3","1","10011003","113372","4","60000067"
"3","1","10011003","113401","4","60000068"
"3","1","10011003","113431","4","60000069"
"3","1","10011003","113521","4","60000070"
"3","1","10011003","113522","4","60000071"
"3","1","10011003","113551","4","60000072"
"3","1","10011003","113552","4","60000073"
"3","1","10011003","113553","4","60000074"
"3","1","10011003","113581","4","60000075"
"3","1","10011003","113611","4","60000076"
"3","1","10011003","113614","4","60000077"
"2","1","10011003","123041","4","60000078"
"2","1","10011003","123042","4","60000079"
"2","1","10011003","123072","4","60000080"
"2","1","10011003","123132","4","60000081"
"2","1","10011003","123161","4","60000082"
"2","1","10011003","123192","4","60000083"
"2","1","10011003","123193","4","60000084"
"2","1","10011003","123251","4","60000085"
"3","1","10011003","123281","4","60000086"
"3","1","10011003","123282","4","60000087"
"3","1","10011003","123311","4","60000088"
"3","1","10011003","123341","4","60000089"
"3","1","10011003","123343","4","60000090"
"3","1","10011003","123371","4","60000091"
"3","1","10011003","123432","4","60000092"
"3","1","10011003","123461","4","60000093"
"3","1","10011003","123491","4","60000094"
"3","1","10011003","123582","4","60000095"
"3","1","10011003","123583","4","60000096"
"3","1","10011003","123612","4","60000097"
"2","1","10011004","114011","4","60000098"
"2","1","10011004","114012","4","60000099"
"2","1","10011004","114041","4","60000100"
"2","1","10011004","114072","4","60000101"
"2","1","10011004","114102","4","60000102"
"2","1","10011004","114132","4","60000103"
"2","1","10011004","114162","4","60000104"
"2","1","10011004","114191","4","60000105"
"2","1","10011004","114221","4","60000106"
"2","1","10011004","114222","4","60000107"
"2","1","10011004","114252","4","60000108"
"3","1","10011004","114281","4","60000109"
"3","1","10011004","114282","4","60000110"
"3","1","10011004","114312","4","60000111"
"3","1","10011004","114341","4","60000112"
"3","1","10011004","114371","4","60000113"
"3","1","10011004","114372","4","60000114"
"3","1","10011004","114432","4","60000115"
"3","1","10011004","114461","4","60000116"
"3","1","10011004","114522","4","60000117"
"3","1","10011004","114551","4","60000118"
"3","1","10011004","114581","4","60000119"
"2","1","10011004","114611","4","60000120"
"2","1","10011004","124042","4","60000121"
