1f534202604102428d539574d907d681ae694f2110b4c7f8396410b2898c98b7,d37e9a30fb8bff1fe8f8cd2f71695d04752e91987af3d98fe53d5b845b0d54b6,2629597918dc6c3db2b21fd14501ac06c3e768ad56dc759446dd84f8acef2b4d,37687f59b08ee221dcbce40e0a42ed9fa092fc1d1211efec7e113b2c3f9ad616,f472e72d60ab31b44848ecf82dfd7efee80f01c5ba081cfb8d17dc6572a43500,f661665d3c4de8373e2c03a8cf9a6483daede3455074be92dd81b2d1a8eb26da,e338190233c857086c513c49baaaf4447587518bde74cde880d8d7ad5f2701fe,d9125e453fe8f6d7a0dc84ca67725253a8d8bb2f75b172d79733e653b161beb3,0062e0e3767137020a0125343aefe0c5967073fe34e07a5e68f42bd09a21a1d3
"10001","1","7","5","6","-1","22","53003","8"
"10002","1","7","5","6","-1","22","53002","4"
"10101","1","6","4","5","5","22","53003","6"
"10102","1","6","4","5","5","22","53002","5"
"10201","1","5","3","4","4","22","53003","5"
"10202","1","5","3","4","4","22","53002","5"
"10301","1","4","3","3","3","22","53003","4"
"10302","1","4","3","3","3","22","53002","3"
"10401","1","3","2","2","2","22","53003","3"
"10402","1","3","2","2","2","22","53002","2"
"10501","1","2","1","1","1","22","53003","2"
"10502","1","2","1","1","1","22","53002","1"
"10601","1","1","1","0","0","22","53002","2"
"10701","2","7","5","6","-1","22","53003","8"
"10702","2","7","5","6","-1","22","53002","4"
"10801","2","6","4","5","5","22","53003","6"
"10802","2","6","4","5","5","22","53002","5"
"10901","2","5","3","4","4","22","53003","5"
"10902","2","5","3","4","4","22","53002","5"
"11001","2","4","3","3","3","22","53003","4"
"11002","2","4","3","3","3","22","53002","3"
"11101","2","3","2","2","2","22","53003","3"
"11102","2","3","2","2","2","22","53002","2"
"11201","2","2","1","1","1","22","53003","2"
"11202","2","2","1","1","1","22","53002","1"
"11301","2","1","1","0","0","22","53002","2"
"11401","3","7","5","6","-1","22","53003","8"
"11402","3","7","5","6","-1","22","53002","4"
"11501","3","6","4","5","5","22","53003","6"
"11502","3","6","4","5","5","22","53002","5"
"11601","3","5","3","4","4","22","53003","5"
"11602","3","5","3","4","4","22","53002","5"
"11701","3","4","3","3","3","22","53003","4"
"11702","3","4","3","3","3","22","53002","3"
"11801","3","3","2","2","2","22","53003","3"
"11802","3","3","2","2","2","22","53002","2"
"11901","3","2","1","1","1","22","53003","2"
"11902","3","2","1","1","1","22","53002","1"
"12001","3","1","1","0","0","22","53002","2"
"12101","4","7","5","6","-1","22","53003","8"
"12102","4","7","5","6","-1","22","53002","4"
"12201","4","6","4","5","5","22","53003","6"
"12202","4","6","4","5","5","22","53002","5"
"12301","4","5","3","4","4","22","53003","5"
"12302","4","5","3","4","4","22","53002","5"
"12401","4","4","3","3","3","22","53003","4"
"12402","4","4","3","3","3","22","53002","3"
"12501","4","3","2","2","2","22","53003","3"
"12502","4","3","2","2","2","22","53002","2"
"12601","4","2","1","1","1","22","53003","2"
"12602","4","2","1","1","1","22","53002","1"
"12701","4","1","1","0","0","22","53002","2"
