28e395c1fa7aec141d2a54cee1b2026a64e5518f5f5cef9737004f028eee8f23,01e4900985783fec2444bb5fb4098a751bacfbf4d62e109e38de539a4fa9d3bd
"1","999999999"
"2","5"
"3","3"
"4","1"
"5","1"
"6","2"
"7","3"
"8","999999999"
"9","999999999"
"10","9"
"11","2"
"12","4"
"13","6"
"14","7"
"100","2"
"101","300"
"102","600"
"103","1200"
"104","2400"
"105","4800"
"106","9999"
"201","500"
"202","500"
"203","500"
"204","500"
"205","500"
"211","100"
"212","100"
"213","100"
"214","100"
"215","100"
"221","100"
"222","200"
"223","100"
"224","1000"
"225","1500"
