b262fd8be67f95cb16dfebc6643e7185f8af6a3e6bd8c7a1d282fa9ea022ee41,a3cbc1cff45f379d1bc2d3fb38a872f48430e17fb14e99217a70069336f9da90,8def794353fa516c34cb68643980571f80a775752fc16aaf362277135cf56a29,727c2b9ca67343ebd40772f5e3f261dd5346144384f4dbc235475d1b815efa91,6c67ab4fe969f793679f9575d62f332170bcbb1b6acdd422bdfeaeba93767f32,816dddc3a860aea93fa405b51422b014e1d6d2fd5a5af8a3ae11a2285b2e1cc2,2ce5426e88377048456bb76afa382252782d8f4bfdbd0db34c63d8d5ffcf5f28,1fb5335e1b984e876e6b894bdd63a856699f44a4e56b72aaa475209f0c747733,8ef73acae34fde0be7b5b1f9535c154246d38c949407863f26b500aa33a9333b
"1101001","0","0","0","21","0","600","1101002","0"
"1101002","600","0","0","22","0","2400","1101003","0"
"1101003","-1500","50","0","20","0","1","1","0"
"1101011","0","0","0","21","0","900","1101012","0"
"1101012","700","0","0","22","0","2100","1101013","0"
"1101013","-1500","200","0","20","0","1","1","0"
"1101021","0","0","0","21","0","400","1101022","0"
"1101022","500","0","0","22","0","2000","1101023","0"
"1101023","-1500","350","0","20","0","1","1","0"
"1101031","0","0","0","21","0","1000","1101032","0"
"1101032","900","0","0","22","0","1800","1101033","0"
"1101033","-1500","500","0","20","0","1","1","0"
"1101041","0","0","0","21","0","500","1101042","0"
"1101042","800","0","0","22","0","1600","1101043","0"
"1101043","-1500","750","0","20","0","1","1","0"
"1101101","2","2","2","1","0","1","25","0"
"1102001","-2000","-100","0","20","0","1","1","0"
"1102101","2","10","2","1","0","1","20","0"
"1102102","0","0","2","10","0","2","200000","0"
"1103001","0","0","0","21","0","500","1103002","0"
"1103002","0","0","2","3","0","0","1000","0"
"1202001","3000","0","2","2","0","3","-15","0"
"1204001","30000","0","1","2","0","3","15","0"
"1205001","30000","0","1","2","0","3","10","0"
"1206001","30000","0","1","2","0","3","10","0"
"1207001","30000","0","1","2","0","3","10","0"
"1208001","3000","0","1","2","0","2","15","0"
"1209001","3000","0","1","2","0","1","25","0"
"1210001","3000","0","1","2","0","2","10","0"
"1210002","0","0","0","21","0","3000","1210003","0"
"1210003","30000","0","1","2","0","1","15","0"
"1211001","3000","0","1","2","0","2","-10","0"
"1211002","0","0","0","21","0","3000","1211003","0"
"1211003","30000","0","2","2","0","1","-15","0"
"1213001","30000","0","2","2","0","1","-10","0"
"1213002","30000","0","2","2","0","2","-10","0"
"1214001","1500","0","2","2","0","3","-25","0"
"1216001","3000","0","2","2","0","3","-20","0"
"1218001","30000","0","1","2","0","3","20","0"
"1219001","30000","0","1","2","0","3","15","0"
