66493909bbee1a87b31027a6446815707fc9aec5afb16828d7f286fbbc473a6d,5b5d396d427960f62d6b5242a6d9803b43207d7488956709825c971b9a509731,01317295b50911c53c300f6013a4301385cc3e0aab09897f38075a1ef6452b8f,c01b2aa8b902837233b9fb4cf5a9cbe530fc0824b74af4b1145f247ff2bd068f,705424e630ad3e30ce77d7615e132648d580fa4fcae5eb4e06ede70964c8e817,467b6cb4737f372778e06f87892ac2ba6d1e86ebec469e79d4e4fe1e92b266d8,4589895bd26382f63a209475deae6ccc61caa37fb7f944715ac93f70d0117d76,1a56a509be95c60c2edd9eeb76a5eea868e47c97160cda930afe5ce17fc5e062,c68323b49fd3396687cc12eb3f24109e6b87b5435493c829d72a35cc84c36f2f
"32000101","1002","1","1010","1","500000","全プレイヤーでバンディ・シスターズを合計500,000回倒そう","7008","32000101"
"32000102","1002","1","1010","2","750000","全プレイヤーでバンディ・シスターズを合計750,000回倒そう","7008","32000102"
"32000103","1002","1","1010","3","1000000","全プレイヤーでバンディ・シスターズを合計1,000,000回倒そう","7008","32000103"
"32000104","1003","1","1010","4","500000","全プレイヤーでフレイヤを合計500,000回倒そう","7008","32000104"
"32000105","1003","1","1010","5","750000","全プレイヤーでフレイヤを合計750,000回倒そう","7008","32000105"
"32000106","1003","1","1010","6","1000000","全プレイヤーでフレイヤを合計1,000,000回倒そう","7008","32000106"
"32000107","1004","0","1010","7","1000000","全プレイヤーでアラクネを合計1,000,000回倒そう","7008","32000107"
"32000108","1004","0","1010","8","1500000","全プレイヤーでアラクネを合計1,500,000回倒そう","7008","32000108"
"32000109","1004","0","1010","9","2000000","全プレイヤーでアラクネを合計2,000,000回倒そう","7008","32000109"
"32000110","1001","1","1009","10","1","宝石蜘蛛の群れに1回挑戦しよう","7007","32000110"
"32000111","1002","1","1009","11","1","バンディ・シスターズを1回倒そう","7007","32000111"
"32000112","1003","1","1009","12","1","フレイヤを1回倒そう","7007","32000112"
"32000113","1004","0","1009","13","1","アラクネを1回倒そう","7007","32000113"
