f76ac44d4f3e7cff0c391d44c9b77b4a87321ae44b55082aa5e238b82f7577aa,5524e483b462e80ceedd741c24ef930df4f7aeb3fbd7669039384a5ab5c18131,6a84129c597d5fad7a9215196c8a26365701e5c5668f4118961ba8c665c2f2cf,03946b1de8a01c860ab6c585531c16c0238700be9070f1d872760d4a0808b3bc,72957aa4c0a95f5821c89f24c887bd18fd1a117a90eedf5a909665d85514633d,5d2cb01ec40536b5a577a8868ac9971a19ebd0376934608030a2e701921fb417,ccfe51b3578121853b0b85f244ef7cd50f1d250520acc84c76b10723f7699c55,828bc640d8aa14c1b3ce6586f9f21ee93e658376acd12a016536f1f5ebacdff9,d433502673b2013d98e368e95f0423391ffaa4bd77dec6c3dd8a5a8ae2c1cc12
"-1","22","53003","7","8","1","5","6","10001"
"-1","22","53002","7","4","1","5","6","10002"
"5","22","53003","6","6","1","4","5","10101"
"5","22","53002","6","5","1","4","5","10102"
"4","22","53003","5","5","1","3","4","10201"
"4","22","53002","5","5","1","3","4","10202"
"3","22","53003","4","4","1","3","3","10301"
"3","22","53002","4","3","1","3","3","10302"
"2","22","53003","3","3","1","2","2","10401"
"2","22","53002","3","2","1","2","2","10402"
"1","22","53003","2","2","1","1","1","10501"
"1","22","53002","2","1","1","1","1","10502"
"0","22","53002","1","2","1","1","0","10601"
"-1","22","53003","7","8","2","5","6","10701"
"-1","22","53002","7","4","2","5","6","10702"
"5","22","53003","6","6","2","4","5","10801"
"5","22","53002","6","5","2","4","5","10802"
"4","22","53003","5","5","2","3","4","10901"
"4","22","53002","5","5","2","3","4","10902"
"3","22","53003","4","4","2","3","3","11001"
"3","22","53002","4","3","2","3","3","11002"
"2","22","53003","3","3","2","2","2","11101"
"2","22","53002","3","2","2","2","2","11102"
"1","22","53003","2","2","2","1","1","11201"
"1","22","53002","2","1","2","1","1","11202"
"0","22","53002","1","2","2","1","0","11301"
"-1","22","53003","7","8","3","5","6","11401"
"-1","22","53002","7","4","3","5","6","11402"
"5","22","53003","6","6","3","4","5","11501"
"5","22","53002","6","5","3","4","5","11502"
"4","22","53003","5","5","3","3","4","11601"
"4","22","53002","5","5","3","3","4","11602"
"3","22","53003","4","4","3","3","3","11701"
"3","22","53002","4","3","3","3","3","11702"
"2","22","53003","3","3","3","2","2","11801"
"2","22","53002","3","2","3","2","2","11802"
"1","22","53003","2","2","3","1","1","11901"
"1","22","53002","2","1","3","1","1","11902"
"0","22","53002","1","2","3","1","0","12001"
"-1","22","53003","7","8","4","5","6","12101"
"-1","22","53002","7","4","4","5","6","12102"
"5","22","53003","6","6","4","4","5","12201"
"5","22","53002","6","5","4","4","5","12202"
"4","22","53003","5","5","4","3","4","12301"
"4","22","53002","5","5","4","3","4","12302"
"3","22","53003","4","4","4","3","3","12401"
"3","22","53002","4","3","4","3","3","12402"
"2","22","53003","3","3","4","2","2","12501"
"2","22","53002","3","2","4","2","2","12502"
"1","22","53003","2","2","4","1","1","12601"
"1","22","53002","2","1","4","1","1","12602"
"0","22","53002","1","2","4","1","0","12701"
"-1","22","53003","7","8","5","5","6","12801"
"-1","22","53002","7","4","5","5","6","12802"
"5","22","53003","6","6","5","4","5","12901"
"5","22","53002","6","5","5","4","5","12902"
"4","22","53003","5","5","5","3","4","13001"
"4","22","53002","5","5","5","3","4","13002"
"3","22","53003","4","4","5","3","3","13101"
"3","22","53002","4","3","5","3","3","13102"
"2","22","53003","3","3","5","2","2","13201"
"2","22","53002","3","2","5","2","2","13202"
"1","22","53003","2","2","5","1","1","13301"
"1","22","53002","2","1","5","1","1","13302"
"0","22","53002","1","2","5","1","0","13401"
"-1","22","53003","7","8","6","5","6","13501"
"-1","22","53002","7","4","6","5","6","13502"
"5","22","53003","6","6","6","4","5","13601"
"5","22","53002","6","5","6","4","5","13702"
"4","22","53003","5","5","6","3","4","13801"
"4","22","53002","5","5","6","3","4","13902"
"3","22","53003","4","4","6","3","3","14001"
"3","22","53002","4","3","6","3","3","14002"
"2","22","53003","3","3","6","2","2","14101"
"2","22","53002","3","2","6","2","2","14102"
"1","22","53003","2","2","6","1","1","14201"
"1","22","53002","2","1","6","1","1","14202"
"0","22","53002","1","2","6","1","0","14301"
"-1","22","53003","7","8","7","5","6","14401"
"-1","22","53002","7","4","7","5","6","14402"
