27df2d5e6f472a3fffa4539f827cbb13927e5b03f8bc0a64e5f7b0bee51165c4,4bb15bed54d5f66d446b982b561ebf716f44be17bc131542389d833288d19945,1279273abf4461d26f520cb913d52640daa03227aaefa8b4201d083248bcb0bd,20c3d61b3d717bab8006892b1bd35d708c828e29f4cf73731de4889fb3d23e13,e46ebe7e0846bed475795b5d195c85ad0a173e083a7087ca3686a38d02670bf2
"信頼度","10153","6017101","1","10153102"
"信頼度","20015","0","1","0"
"信頼度","20017","0","1","0"
"信頼度","20018","0","1","0"
"信頼度","20019","0","1","0"
"信頼度","20020","0","1","0"
"信頼度","20022","0","1","0"
"信頼度","20023","0","1","0"
"信頼度","20024","0","1","0"
"信頼度","20025","0","1","0"
"信頼度","20026","0","1","0"
"信頼度","20028","0","1","0"
"信頼度","20029","0","1","0"
"信頼度","20030","0","1","0"
"信頼度","20031","0","1","0"
"信頼度","20032","0","1","0"
"信頼度","20035","0","1","0"
"信頼度","20037","0","1","0"
"信頼度","20038","0","1","0"
"信頼度","20042","0","1","0"
"信頼度","20043","0","1","0"
"信頼度","20048","0","1","0"
"信頼度","20049","0","1","0"
"信頼度","20051","0","1","0"
"信頼度","20054","0","1","0"
"信頼度","20055","0","1","0"
"信頼度","20056","0","1","0"
"信頼度","20061","0","1","0"
"信頼度","20066","0","1","0"
"信頼度","20076","0","1","0"
