ae2adfe4cd8b4073bdb226e84a9a0cfc7576c503da2156195a6cc9243afb48ef,3a4d4e1cf99cbc96df07d0673407646b449ab0446a435e301f78a87977ea6187,301fca8a4adee96960a2f88bff7747963957aec8e6e2269590c344ea26abaa10,459748a50fe8b3d59cfc1496661e73d7ed57113e7ae3385f0119c8dad8fb7a72,1ad8ba57db2a120bb8c03b996fe8dac3bc41d36b0ecea9645199a52bd2c83c10,9f50129995039fc3a9662cbd17df392b4dbe3fcbfb6d97c50304f8f8b670ed17,7fb34218cdcc1152e68b83256e19ebcd0d65caad2bf75a3f7627fe477ad1f05d,fbde344906f99b67c74e305135093178bd4ab441938b7fc73cd88cc19e037bd8,7b57efa79541fbf7130b5c3930474d023351ca3776f2ec3ad87e0b8a60e5be8f,0b54452c9f5ad2638da6dd8d77357122dfbe63163af771bae8bb04f7e237d179,187f4264fd81cd4ad6c6b5e34ecbf372331eea7d0d0ab2494c41a080e4959130
"118511","1","111","-345","2","0","1","-273","202","111001","wac_215_karin_idle_normal"
"105811","1","111","-355","2","1","1","170","205","111002","wac_215_idle_joy1"
"105911","1","111","-325","2","1","1","50","202","111003","wac_215_idle_normal_joy"
"106011","1","111","-330","2","1","1","300","203","111004","wac_215_idle_arm_crossed"
"106431","1","111","-360","2","1","1","450","204","111005","wac_215_idle_normal2"
"","1","111","","","","131","","","111006",""
"0","1","112","","","","93","","","112001",""
"wac_215_karin_talk_normal","118511","112","","0.2","","3","","1","112002",""
"vo_wac_220215_000","vo_wac_220215","112","","","","21","0","0","112003",""
"【美食殿】のみなさん、\n来ていただいてありがとうございます！","118511","112","1","0","0","11","1","10","112004","0.5"
"","112004","112","","","","91","","","112005",""
"wac_215_karin_idle_normal","118511","112","","0.2","","3","","1","112006",""
"wac_215_peko_oissu","105811","112","1","0.2","0.2","3","wac_215_talk_normal","0","112007",""
"vo_wac_220215_001","vo_wac_220215","112","","","","21","0","0","112008",""
"カリンさん、オイッスー！\nどうしたんですか？\nランドソルの端っこに\n呼び出したりなんかして。","105811","112","1","0","0","11","1","10","112009","0.5"
"","112009","112","","","","91","","","112010",""
"wac_215_idle_normal","105811","112","","0.2","","3","","1","112011",""
"wac_215_karin_talk_normal","118511","112","","0.2","","3","","1","112012",""
"vo_wac_220215_002","vo_wac_220215","112","","","","21","0","0","112013",""
"今日はみなさんにお願いしたい\n重要な依頼があるんです。","118511","112","1","0","0","11","1","10","112014","0.5"
"","112014","112","","","","91","","","112015",""
"wac_215_karin_idle_normal","118511","112","","0.2","","3","","1","112016",""
"wac_215_talk_arm_crossed","106011","112","1","0.2","0","3","wac_215_talk_arm_crossed_loop","0","112017",""
"vo_wac_220215_003","vo_wac_220215","112","","","","21","0","0","112018",""
"重要な依頼？\nまた面倒くさいこと押し付けようと\nしてんじゃないでしょうね……","106011","112","1","0","0","11","1","10","112019","0.5"
"","112019","112","","","","91","","","112020",""
"wac_215_idle_arm_crossed","106011","112","","0.2","","3","","1","112021",""
"wac_215_karin_talk_normal","118511","112","","0.2","","3","","1","112022",""
"vo_wac_220215_004","vo_wac_220215","112","","","","21","0","0","112023",""
"実はこのたび景観向上事業として\nランドソルを囲む壁に\n絵を描いて、街を華やかにするという\n計画を進めることになりまして。","118511","112","1","0","0","11","1","10","112024","0.5"
"","112024","112","","","","91","","","112025",""
"wac_215_karin_idle_normal","118511","112","","0.2","","3","","1","112026",""
"wac_215_shefy_humu","106431","112","1","0.2","0.2","3","wac_215_talk_normal","0","112027",""
"vo_wac_220215_005","vo_wac_220215","112","","","","21","0","0","112028",""
"ランドソルを囲む壁に絵を？\nふぅん、楽しそうね。\nここに描けばいいのかしら？","106431","112","1","0","0","11","1","10","112029","0.5"
"","112029","112","","","","91","","","112030",""
"wac_215_idle_normal2_joy","106431","112","","0.2","","3","","1","112031",""
"wac_215_karin_talk_normal","118511","112","","0.2","","3","","1","112032",""
"vo_wac_220215_006","vo_wac_220215","112","","","","21","0","0","112033",""
"はい。ここから始めて、\nランドソルの壁をぐるっと一周\n絵でいっぱいにしたいんです。","118511","112","1","0","0","11","1","10","112034","0.5"
"","112034","112","","","","91","","","112035",""
"wac_215_karin_idle_normal","118511","112","","0.2","","3","","1","112036",""
"wac_215_talk_sad","106431","112","","0.2","","3","","1","112037",""
"vo_wac_220215_007","vo_wac_220215","112","","","","21","0","0","112038",""
"え？　ランドソルの壁を……\nぐるっと一周？","106431","112","1","0","0","11","1","10","112039","0.5"
"","112039","112","","","","91","","","112040",""
"wac_215_idle_sad","106431","112","","0.2","","3","","1","112041",""
"wac_215_karin_talk_wish","118511","112","","0.2","","3","","1","112042",""
"vo_wac_220215_008","vo_wac_220215","112","","","","21","0","0","112043",""
"はい♪　ランドソル中を\n素敵な絵で飾ることができたら\nとっても魅力的な街になると\n思いませんか？","118511","112","1","0","0","11","1","10","112044","0.5"
"","112044","112","","","","91","","","112045",""
"wac_215_karin_idle_normal","118511","112","","0.2","","3","","1","112046",""
"wac_215_coccoro_talk_wish","105911","112","","0.2","","3","","1","112047",""
"vo_wac_220215_009","vo_wac_220215","112","","","","21","0","0","112048",""
"それは……壮大な計画でございますね。\nカリンさま。","105911","112","1","0","0","11","1","10","112049","0.5"
"","112049","112","","","","91","","","112050",""
"wac_215_coccoro_idle_wish","105911","112","","0.2","","3","","1","112051",""
"wac_215_peko_talk_guts2","105811","112","1","0.2","0","3","wac_215_peko_talk_guts2_loop","0","112052",""
"vo_wac_220215_010","vo_wac_220215","112","","","","21","0","0","112053",""
"わくわくします！　やばいですね☆\nじゃあ、王宮勤めの画家の人に\n絵の描き方を教えてもらいましょう♪","105811","112","1","0","0","11","1","10","112054","0.5"
"","112054","112","","","","91","","","112055",""
"wac_215_peko_idle_guts2","105811","112","","0.2","","3","","1","112056",""
"0","105811","112","","","","4","","","112057",""
"0","105911","112","","","","4","","","112058",""
"wac_215_idle_joy1","105811","112","","0.2","","3","","1","112059",""
"wac_215_idle_normal","105911","112","","0.2","","3","","1","112060",""
"wac_215_idle_surprise1","106431","112","","0.2","","3","","1","112061",""
"wac_215_kyaru_anger","106011","112","1","0.2","0.2","3","wac_215_talk_anger2","1","112062",""
"vo_wac_220215_011","vo_wac_220215","112","","","","21","0","0","112063",""
"待って待って待って！！\n待ちなさいってば！？\nあんたたち、ランドソルの壁一周って\nどんだけの長さがあると思ってんのよ！","106011","112","1","0","0","11","1","10","112064","0.5"
"","112064","112","","","","91","","","112065",""
"wac_215_idle_anger2","106011","112","","0.2","","3","","1","112066",""
"wac_215_talk_sad","106011","112","","0.2","","3","","1","112067",""
"vo_wac_220215_012","vo_wac_220215","112","","","","21","0","0","112068",""
"普通に歩くだけでもうんざりする\nくらいの距離なのよ？\nあたしたちだけじゃいくらなんでも……","106011","112","1","0","0","11","1","10","112069","0.5"
"","112069","112","","","","91","","","112070",""
"wac_215_idle_sad","106011","112","","0.2","","3","","1","112071",""
"wac_215_coccoro_talk_wish2","105911","112","","0.2","","3","","1","112072",""
"vo_wac_220215_013","vo_wac_220215","112","","","","21","0","0","112073",""
"キャルさま、では、他のギルドにも\nご協力いただくのはどうでしょう。\nみなさまと力を合わせれば……","105911","112","1","0","0","11","1","10","112074","0.5"
"","112074","112","","","","91","","","112075",""
"wac_215_coccoro_idle_wish2","105911","112","","0.2","","3","","1","112076",""
"wac_215_kyaru_talk_doya","106011","112","1","0.2","0","3","wac_215_kyaru_talk_doya_loop","0","112077",""
"vo_wac_220215_014","vo_wac_220215","112","","","","21","0","0","112078",""
"超やる気じゃないのコロ助……\nああもう、仕方ないわね。\nカリン、あんたそういうの得意でしょ？\nコールオブなんとかっていうやつ。","106011","112","1","0","0","11","1","10","112079","0.5"
"","112079","112","","","","91","","","112080",""
"wac_215_idle_arm_crossed","106011","112","","0.2","","3","","1","112081",""
"1","105811","112","","","","4","","","112082",""
"1","105911","112","","","","4","","","112083",""
"wac_215_idle_normal_joy","105911","112","","0.2","","3","","1","112084",""
"wac_215_idle_normal2_joy","106431","112","","0.2","","3","","1","112085",""
"wac_215_karin_talk_wish","118511","112","","0.2","","3","","1","112086",""
"vo_wac_220215_015","vo_wac_220215","112","","","","21","0","0","112087",""
"分かりました、\n各ギルドへの依頼書をまとめますね。\nコールオブギルド……！","118511","112","1","0","0","11","1","10","112088","0.5"
"","112088","112","","","","91","","","112089",""
"wac_215_karin_idle_normal","118511","112","","0.2","","3","","1","112090",""
"wac_215_karin_talk_normal","118511","112","","0.2","","3","","1","112091",""
"vo_wac_220215_016","vo_wac_220215","112","","","","21","0","0","112092",""
"では、みなさんが描かれている間に\n他のギルドへ声を掛けていきますね。\n壁を素敵な絵でいっぱいにして\nランドソルのシンボルを作りましょう！","118511","112","1","0","0","11","1","10","112093","0.5"
"","112093","112","","","","91","","","112094",""
"wac_215_karin_idle_normal","118511","112","","0.2","","3","","1","112095",""
"wac_215_peko_talk_wish","105811","112","1","0.2","0.2","3","wac_215_peko_talk_wish_loop","0","112096",""
"vo_wac_220215_017","vo_wac_220215","112","","","","21","0","0","112097",""
"わかりました！
\nそれじゃあわたしは、魔物料理の絵を――","105811","112","1","0","0","11","1","10","112098","0.5"
"","112098","112","","","","91","","","112099",""
"wac_215_peko_idle_wish","105811","112","","0.2","","3","","1","112100",""
"wac_215_kyaru_talk_anger","106011","112","1","0.2","0.2","3","wac_215_talk_arm_crossed_loop","0","112101",""
"vo_wac_220215_018","vo_wac_220215","112","","","","21","0","0","112102",""
"気持ち悪そうなもの描こうとすんな！\nま、計画自体はいいんじゃない？\n楽しそうだし……それじゃ、\nいっちょやってやろうじゃないの！","106011","112","1","0","0","11","1","10","112103","0.5"
"","112103","112","","","","91","","","112104",""
"wac_215_idle_arm_crossed","106011","112","","0.2","","3","","1","112105",""
"wac_215_cmn_eieio","105811","112","1","0.2","0","3","wac_215_cmn_eieio_loop","0","112106",""
"wac_215_cmn_eieio","106431","112","1","0.2","0","3","wac_215_cmn_eieio_loop","0","112107",""
"","0.1","112","","","","93","","","112108",""
"wac_215_cmn_eieio","105911","112","1","0.2","0","3","wac_215_cmn_eieio_loop","0","112109",""
"wac_215_cmn_eieio","106011","112","1","0.2","0.2","3","wac_215_cmn_eieio_loop","0","112110",""
"","0.9","112","","","","93","","","112111",""
"wac_215_handclap","118511","112","1","0.2","0.2","3","wac_215_karin_idle_normal","0","112112",""
"0","2","112","","","","93","","","112113",""
"","0","112","","","","91","","","112114",""
"wac_215_karin_idle_normal","118511","113","","0.2","","3","","1","113001",""
"wac_215_idle_joy1","105811","113","","0.2","","3","","1","113002",""
"","0.1","113","","","","93","","","113003",""
"wac_215_coccoro_idle_wish","105911","113","","0.2","","3","","1","113004",""
"wac_215_idle_arm_crossed","106011","113","","0.2","","3","","1","113005",""
"","0.1","113","","","","93","","","113006",""
"wac_215_idle_normal2_joy","106431","113","","0.2","","3","","1","113007",""
"","0","113","","","","91","","","113008",""
"105811","1","211","-212.75","2","0","1","-108","202","211001","wac_default_11"
"111","1","211","-212.75","2","0","5","-108","201","211002","wac_default_11"
"1","1","211","1","1","","31","0","0","211003",""
"2","2","211","1","0","","31","0","0","211004",""
"11","11","211","1","0","","31","0","0","211005",""
"wac_paint_11","105811","211","0","0.2","","3","","0","211006",""
"wac_paint_11","111","211","0","0.2","","3","","0","211007",""
"0","0.3","211","","","","93","","","211008",""
"1","11","211","","","","32","","","211009","wac_default_11"
"se_10035700_roller","se_10035700","211","","","","23","","0","211010",""
"","1","211","","","","131","","","211011",""
"wac_talk_kyapi_in","105811","212","1","0.2","","3","wac_talk_kyapi_loop","0","212001",""
"wac_no_items","111","212","","0.2","","3","","1","212002",""
"200","105811","212","","","","2","0","-340","212003",""
"200","111","212","","","","2","0","-340","212004",""
"0","1","212","","","","32","","","212005",""
"1","2","212","","","","32","","","212006",""
"0","11","212","","","","32","","","212007",""
"vo_wac_220216_000","vo_wac_220216","212","","","","21","0","0","212008",""
"えっへへ～♪　お絵かきお絵かき～！\nこんな大きな絵を描くのなんて\n生まれて初めてかもしれません！","105811","212","1","0","0","11","1","10","212009","0.5"
"","0","212","","","","91","","","212010",""
"vo_wac_220216_001","vo_wac_220216","212","","","","21","0","0","212011",""
"みんなで食卓を囲むのは\nもちろん幸せですけど\nみんなで一つのものを作るって……\nやばいですね☆","105811","212","1","0","0","11","1","10","212012","0.5"
"","0","212","","","","91","","","212013",""
"0","0","212","","","","22","","","212014",""
"wac_idle_kyapi","105811","213","","0.2","","3","","1","213001",""
"wac_no_items","111","213","","0.2","","3","","1","213002",""
"200","105811","213","","","","2","0","-340","213003",""
"200","111","213","","","","2","0","-340","213004",""
"0","1","213","","","","32","","","213005",""
"1","2","213","","","","32","","","213006",""
"0","11","213","","","","32","","","213007",""
"","0","213","","","","91","","","213008",""
"105911","1","311","-212.75","2","0","1","-108","202","311001","wac_default_01"
"111","1","311","-212.75","2","0","5","-108","201","311002","wac_default_03"
"1","1","311","1","1","","31","0","0","311003",""
"2","2","311","1","0","","31","0","0","311004",""
"11","11","311","1","0","","31","0","0","311005",""
"wac_paint_01","105911","311","","0.2","","3","","0","311006",""
"wac_paint_03","111","311","","0.2","","3","","0","311007",""
"1","11","311","","","","32","","","311008","wac_default_11"
"se_10035700_brush","se_10035700","311","","","","23","","0","311009",""
"","1","311","","","","131","","","311010",""
"wac_talk_wish_in","105911","312","1","0.2","","3","wac_talk_wish_loop","0","312001",""
"wac_no_items","111","312","","0.2","","3","","1","312002",""
"200","105911","312","","","","2","0","-340","312003",""
"200","111","312","","","","2","0","-340","312004",""
"0","1","312","","","","32","","","312005",""
"1","2","312","","","","32","","","312006",""
"0","11","312","","","","32","","","312007",""
"vo_wac_220217_000","vo_wac_220217","312","","","","21","0","0","312008",""
"ふぅ……\nお世話するのは得意なつもりですが\n絵心にはあまり自信がありません。\nしかし――","105911","312","1","0","0","11","1","10","312009","0.5"
"","0","312","","","","91","","","312010",""
"vo_wac_220217_001","vo_wac_220217","312","","","","21","0","0","312011",""
"いつかこのランドソルの壁に\n凛々しい主さまのお姿を描きたい……\nわたくし、頑張ります。\n見ていてくださいまし、主さま……♪","105911","312","1","0","0","11","1","10","312012","0.5"
"","0","312","","","","91","","","312013",""
"0","0","312","","","","22","","","312014",""
"wac_idle_wish","105911","313","","0.2","","3","","1","313001",""
"wac_no_items","111","313","","0.2","","3","","1","313002",""
"200","105911","313","","","","2","0","-340","313003",""
"200","111","313","","","","2","0","-340","313004",""
"0","1","313","","","","32","","","313005",""
"1","2","313","","","","32","","","313006",""
"0","11","313","","","","32","","","313007",""
"","0","313","","","","91","","","313008",""
"106011","1","411","-212.75","2","0","1","-108","202","411001","wac_default_01"
"111","1","411","-212.75","2","0","5","-108","201","411002","wac_default_02"
"1","1","411","1","1","","31","0","0","411003",""
"2","2","411","1","0","","31","0","0","411004",""
"11","11","411","1","0","","31","0","0","411005",""
"wac_paint_01","106011","411","","0.2","","3","","0","411006",""
"wac_paint_02","111","411","","0.2","","3","","0","411007",""
"1","11","411","","","","32","","","411008","wac_default_11"
"se_10035700_brush","se_10035700","411","0","0.2","","23","","0","411009",""
"","1","411","","","","131","","","411010",""
"wac_talk_doya_in","106011","412","1","0.2","","3","wac_talk_doya_loop","0","412001",""
"wac_no_items","111","412","","0.2","","3","","1","412002",""
"200","106011","412","","","","2","0","-340","412003",""
"200","111","412","","","","2","0","-340","412004",""
"0","1","412","","","","32","","","412005",""
"1","2","412","","","","32","","","412006",""
"0","11","412","","","","32","","","412007",""
"vo_wac_220218_000","vo_wac_220218","412","","","","21","0","0","412008",""
"ふんふんふーん♪\nよし、いい感じね！\n今日の分、出来上がり！","106011","412","1","0","0","11","1","10","412009","0.5"
"","0","412","","","","91","","","412010",""
"vo_wac_220218_001","vo_wac_220218","412","","","","21","0","0","412011",""
"なんか楽しくなってきちゃったわね。\n……あたしってばもしかして\n絵の才能あるんじゃないかしら♪\nよーし、ばんばんいくわよ！","106011","412","1","0","0","11","1","10","412012","0.5"
"","0","412","","","","91","","","412013",""
"0","0","412","","","","22","","","412014",""
"wac_idle_doya","106011","413","","0.2","","3","","1","413001",""
"wac_no_items","111","413","","0.2","","3","","1","413002",""
"200","106011","413","","","","2","0","-340","413003",""
"200","111","413","","","","2","0","-340","413004",""
"0","1","413","","","","32","","","413005",""
"1","2","413","","","","32","","","413006",""
"0","11","413","","","","32","","","413007",""
"","0","413","","","","91","","","413008",""
"106431","1","511","-212.75","2","0","1","-108","202","511001","wac_default_11"
"111","1","511","-212.75","2","0","5","-108","201","511002","wac_default_12"
"1","1","511","1","1","","31","0","0","511003",""
"2","2","511","1","0","","31","0","0","511004",""
"11","11","511","1","0","","31","0","0","511005",""
"wac_paint_11","106431","511","","0.2","","3","","0","511006",""
"wac_paint_12","111","511","","0.2","","3","","0","511007",""
"0","0.3","511","","","","93","","","511008",""
"1","11","511","","","","32","","","511009","wac_default_11"
"se_10035700_roller","se_10035700","511","0","0.2","","23","","0","511010",""
"","1","511","","","","131","","","511011",""
"wac_talk_smile_in","106431","512","1","0.2","","3","wac_talk_smile_loop","0","512001",""
"wac_no_items","111","512","","0.2","","3","","1","512002",""
"200","106431","512","","","","2","0","-340","512003",""
"200","111","512","","","","2","0","-340","512004",""
"0","1","512","","","","32","","","512005",""
"1","2","512","","","","32","","","512006",""
"0","11","512","","","","32","","","512007",""
"vo_wac_220219_000","vo_wac_220219","512","","","","21","0","0","512008",""
