378cb270ea56face5ec1579c8f0a3ad3281ed1feb376e950afc370ffbc307050,3b8b5dced42b1cf2d32b2ec2530603786bee65f50d2213170adeda1a86ed628b,318e621661beb1fac440fea49c072fefbfdcbe53de6da04b8ffdeb6a993690b1,a11597a9bb35a0451dd1c4abe0dd879ce0d504d7e463aafc5de292860d4f9fc4,e46d2d6cbefd187639e6ba3b7619c3e75893bee64ce047f39cc7462e1548d994,bfcf8ac886ccd1c6f60c2bdeeddd17bde3125a6da3d499a44bfcc13d64e69bc8,2c2e7641288c61dbc8416b45fb86e83dbe4e9dc60a32744563e1a5f3ce55c07e,5fcfeeb72956ca15c5bae123d95d46abaee374f1c8a818b2649d8c844c454ebd,b897e801bbd12659edf1b233120f2e344defeba71b1edd2c0807923a3c74491c,9a72168a0a3d7c68d02f9c99fa3603202eb17dc2a96ed24d1cb7409a3e80ca0a,a633238be7fc51a6fb83521b366ce1cb999ac1c6fb3ad93937e6ede494c8f253,3d7ef3e6ee78a4477b38c71a9af494376d4646cdd055d0007c8ca1fee9f173f2
"0.8","4","0","0","1","0","1005801","1","0","0","0","100580101"
"0","2","vo_ske_0101","vo_ske","2","0","1005801","0","0","0","0","100580102"
"0","1","0","0","3","0.705","1005801","0","1","0","60","100580103"
"1.549","4","0","0","4","0","1005801","1","0","0","0","100580104"
"0","1","0","0","5","1.807","1005801","0","1","60","304","100580105"
"3.027","4","0","0","6","0","1005801","1","0","0","0","100580106"
"0","1","0","0","7","1.141","1005801","0","2","0","140","100580107"
"1.9","4","0","0","8","0","1005801","1","0","0","0","100580108"
"0","1","0","0","9","1.78","1005801","0","2","140","380","100580109"
"4.544","4","0","0","10","0","1005801","1","0","0","0","100580110"
"0","2","vo_ske_0102","vo_ske","11","0","1005801","0","0","0","0","100580111"
"0","1","0","0","12","1.322","1005801","0","3","0","195","100580112"
"2.917","4","0","0","13","0","1005801","1","0","0","0","100580113"
"0","2","vo_ske_0103","vo_ske","14","0","1005801","0","0","0","0","100580114"
"0","1","0","0","15","1.932","1005801","0","4","0","228","100580115"
"2.582","4","0","0","16","0","1005801","1","0","0","0","100580116"
