6943697a8fcbf0617a7dbf94f11e1979a021189081368bbb0569cfac2c6792ec,22d678552fd0062f07332fa29d3d0ce217ef4478d8d50c5166534c29b08d423d,c2ecf652c49da23b2cda7694b94faf1315cfef843c20101cc7616824fb7de48d,7438e4529aee9877dc883858d7e8c95518f55bf514136631924b89de8a0b76fe,4c56bf2f0f3d50310f1b61017a81d7eea25fe6880d23866f60ac6b62b5926ae6,f40c240409a7c8bf366b998fb6fb9d12bba61e83b9840bf7623efa533417c291,5bcac5eaf0d9d8d0fdde7e59d9a3fb8712f46e9e0772d64cd18e39c5a9e0f713,2dac2fe0bc86e5c7eb4e6b31ade8c69c10452b9e43e6336d6754fd68f040d9b4,f6994c8f5d429b58d901675dc78ce7392917f1fc1502bef9b11b0c1bbe90a052,2a13c744e19d3a4f9bcf3f2babdcc3f327a1e8527c287ad9ca6eb424ea0dccbf,c759524d6f7bcb22e41c32e7dc40c06fa8190693c5bd7c97bf404ef1e7ae948a,e5fe53791f872a7e5edd9fb0b9ad96db0123885662aa6a7b0aa0dc95842edee4,8261288ad13adf515ac807bf300993cd75498b833d95b7bc0728095ea96bdc9e,608ee9427ee71f185b52565434580090394e18c713771f7d55345893681e6e30,e33a130bba6a01cb2db320425ec491464ac2ae0a98b07c3e8f9ca94d700fef95
"10118","1","5118061","7","91002","青空の下で謁見","フリーマーケットを訪れたジータが出会ったのは\n城をこっそり抜け出していたペコリーヌだった。","ペコリーヌとの出会い","20063115","40","フリーマーケット会場","8","0","2","2834"
"10118","1","5118062","7","91002","未来の騎空団\nマスコット？","ジータたちがフリーマーケットを巡っていると\n露店を出していたマホに声をかけられる。","マホとの出会い","20063115","40","フリーマーケット会場","8","0","2","2835"
"10118","1","5118063","7","91002","お嬢さまからの\n緊急依頼","ジータが騎空団への依頼を確認していると、\n高笑いをしながらアキノが現れる。","アキノとの出会い","20063115","40","ランドソル市街地","8","0","2","2837"
"10118","1","5118064","18","91002","黄金色の悩みごと","ジータたちは、フリーマーケット会場で\n少し困った様子のジュンを見かける。","ジュンとの出会い","20063115","40","フリーマーケット会場","8","0","2","4108402"
"10118","1","5118065","18","91002","白熱！　格闘大会！","フリーマーケットの隅で開かれる格闘大会──\nそこにはカオリもいて……？","カオリとの出会い","20063115","40","フリーマーケット会場","8","0","2","4107402"
"10118","1","5118066","16","91002","祭り太鼓はオーエドの華","太鼓祭を控えるオーエド町──\nジータは、困った様子のニノンと出会う。","ニノンとの出会い","20063115","40","オーエド町","8","1","2","9000227"
"10118","1","5118067","19","91002","人気者は遅れて\nやってくる","ビカラはイベントに出演中のスズナを見かける。\nしかし、スズナはどこか困っているようで……？","スズナとの出会い","20063115","40","フリーマーケット会場","8","0","3","2101181"
"10118","1","5118068","18","91002","巫女・ミーツ・魔法少女","ビカラたちが街を散策していると、通りかかった\nナナカが興奮した様子で近づいてきて……？","ナナカとの出会い","20063115","40","ランドソル市街地","8","0","3","4109402"
"10118","1","5118069","18","91002","ネズ耳は二度なくなる","ネズ耳をなくしてしまい絶望するビカラ。同じ頃\nキャルとコッコロは落とし物を拾っており……","キャル＆コッコロとの出会い","20063115","40","フリーマーケット会場","8","0","3","4305402"
"10118","1","5118070","18","91002","この出会いにカンパイ！","街外れでひと休みをしていたビカラたちは、\nすっかりゴキゲンな様子のユカリと出会う。","ユカリとの出会い","20063115","40","ランドソル市街地","8","0","3","4101402"
"10118","1","5118071","18","91002","陰陽アンサンブル","ビカラは、人混みに怯えるアオイを心配し、\n陽気に声をかけるも……","アオイとの出会い","20063115","40","ランドソル市街地","8","0","3","4106402"
"10118","1","5118072","7","91002","運試し十番勝負！","ビカラがフリーマーケット会場を歩いていると\n占いをしていたシノブに声をかけられる。","シノブとの出会い","20063115","40","フリーマーケット会場","8","1","3","2836"
"10118","0","5118600","0","0","彼女たちの新たな日常","0","オープニング","20063115","0","0","0","0","1","0"
