7f29455f6a31ffafec3a79efa1d8eb80a61d10de8e4cd6718ae1378cb28bd5bf,4df548f8a259ea48831035ca7527074c7e06e780d14a379012cc66d0cca67544,f647eadb3dd644aeef5a90f6e714d3930586062264420e58eba7fe6c510edb6c,3ef173f782d4e44342e069887e7503997ada4dd05440e09052d9c26b535b9568,91b42425451b45ab43f0bd8f8d10125c470a8fe622cc8a6eed060366a4ae4e72,14aafad1b9d5e0fe9312ec9a3099dfded54911e70aa5fae26ffd25d44400e367,a7fd9c33951f56db6bb8da0ab7a6e135bc16b5800c0f6e3305db01ad09dfa8e6
"1","0","0","1","1","1","1"
"4","0","0","2","1","2","1"
"5","12","0","1","1","3","1"
"2","0","0","2","1","4","1"
"8","0","0","1","2","5","1"
"1","0","0","1","1","1","2"
"1","0","0","2","1","2","2"
"6","0","0","1","1","3","2"
"1","0","0","2","1","4","2"
"1","0","0","3","1","5","2"
"3","11","0","1","3","6","2"
"1","0","0","2","1","7","2"
"3","0","0","1","1","8","2"
"1","0","0","1","2","9","2"
"1","0","0","1","1","1","3"
"10","0","0","2","1","2","3"
"11","0","0","1","1","3","3"
"5","0","0","2","1","4","3"
"6","0","0","3","1","5","3"
"3","0","0","3","1","6","3"
"3","9","0","4","2","7","3"
"7","0","0","4","1","8","3"
"1","0","0","4","1","9","3"
"9","8","0","1","3","10","3"
"4","0","0","2","1","11","3"
"1","0","0","1","1","12","3"
"3","0","0","4","1","13","3"
"3","11","0","3","2","14","3"
"4","10","0","1","1","1","4"
"12","12","0","1","1","2","4"
"1","10","0","2","1","3","4"
"11","4","0","1","1","4","4"
"1","0","0","2","1","5","4"
"4","13","0","1","1","6","4"
"2","6","0","2","1","7","4"
"8","0","0","1","1","8","4"
"8","10","0","2","1","9","4"
"1","10","0","1","1","1","5"
"11","5","0","2","1","2","5"
"1","7","0","1","1","3","5"
"5","12","0","2","1","4","5"
"1","11","0","1","1","5","5"
"3","4","0","2","1","6","5"
"5","12","0","2","1","7","5"
"2","6","0","1","1","8","5"
"11","4","0","2","1","9","5"
"8","8","0","1","1","10","5"
"4","10","0","1","1","11","5"
"5","10","0","2","1","12","5"
"8","7","0","1","1","1","6"
"4","10","0","2","1","2","6"
"1","11","0","1","1","3","6"
"8","8","0","2","1","4","6"
"11","6","0","1","1","5","6"
"2","7","0","1","2","6","6"
"5","4","0","1","1","7","6"
"4","10","0","2","1","8","6"
"10","13","0","1","2","9","6"
"8","7","0","1","1","1","7"
"12","10","0","2","1","2","7"
"4","12","0","2","1","3","7"
"11","7","0","1","1","4","7"
"1","10","0","1","1","5","7"
"5","12","0","2","1","6","7"
"5","11","0","2","1","7","7"
"8","10","0","2","1","8","7"
"2","8","0","1","1","9","7"
"8","7","0","1","1","10","7"
"4","9","0","2","1","11","7"
"1","10","0","1","2","1","8"
"12","10","0","2","1","2","8"
"12","5","0","1","1","3","8"
"5","12","0","1","1","4","8"
"1","10","0","2","1","5","8"
"5","12","0","1","1","6","8"
"5","12","0","1","1","7","8"
"1","10","0","2","1","8","8"
"8","9","0","2","1","9","8"
"4","9","0","1","2","10","8"
"4","8","0","1","1","1","9"
"5","10","0","1","1","2","9"
"4","7","0","2","1","3","9"
"6","8","0","2","1","4","9"
"1","10","0","1","1","5","9"
"11","11","0","1","1","6","9"
"1","6","0","1","1","7","9"
"5","8","0","2","1","8","9"
"8","7","0","2","1","9","9"
"4","6","0","1","1","10","9"
"11","10","0","2","1","1","10"
"1","7","0","1","1","2","10"
"8","8","0","1","2","3","10"
"5","9","0","2","1","4","10"
"10","8","0","1","1","5","10"
