9ac4a6fa00f2daf27a4b9286dc6d1e7216f3c6c888c784307300430c052d81d0,6c7d0818b27021e4cbe337f82d231125cafbd25f37dd8d5c738c77bc476be46b,13c14123fc861dd2f0b82f5653954680baaf6e824752974300497a4060a75c21,85104768f265a47f99e1fe9b4466fac191781b988b046196e13e9ddf83867cc5,a74e6d0d165ad24a5b55845aeda2c4be28ef8e0f8c65afcfe200fbcd98550c48,727cc34871b641e72ac3f943875e6510ff5c257ffb3ba0d1d69f53ae7a3f51b5,0153979a8d768b97fd8f31b90a81ddbe6067d9501e30993ef202016bc59ce56c,ebbbe80082c895e7a0087d1476cd64ff7a8fa1bc848c4f38f00e8313c7fef3fb,4a2de093aadb55e126c00b18895abaff3973297f515e40d3e414d6fb1b673a7e,f73de5dd20bdcb5e073e84c7947269140da01fdd99d183f1993a0cf9ad052b95
"1100001","575","1002","1","1","32","1003","1001","1","10590"
"1100002","575","1005","1","1","32","1006","1004","1","10590"
"1100003","575","1008","1","1","32","1009","1007","2","10590"
"1100004","500","1011","1","1","33","1012","1010","1","11820"
"1100005","500","1014","1","1","33","1015","1013","1","11820"
"1100006","500","1017","1","1","33","1018","1016","2","11820"
"1100007","500","1020","1","1","33","1021","1019","4","11820"
"1100008","375","1023","1","1","35","1024","1022","1","13050"
"1100009","375","1026","1","1","35","1027","1025","1","13050"
"1100010","375","1029","1","1","35","1030","1028","6","13050"
"1200001","575","2002","2","1","34","2003","2001","1","10590"
"1200002","575","2005","2","1","34","2006","2004","1","10590"
"1200003","575","2008","2","1","34","2009","2007","1","10590"
"1200004","575","2011","2","1","34","2012","2010","1","10590"
"1200005","575","2014","2","1","34","2015","2013","2","10590"
"1200006","575","2017","2","1","34","2018","2016","4","10590"
"1200007","575","2020","2","1","34","2021","2019","6","10590"
"1200008","500","2023","2","1","35","2024","2022","1","11820"
"1200009","500","2026","2","1","35","2027","2025","1","11820"
"1200010","500","2029","2","1","35","2030","2028","1","11820"
"1200011","500","2032","2","1","35","2033","2031","1","11820"
"1200012","500","2035","2","1","35","2036","2034","4","11820"
"1200013","500","2038","2","1","35","2039","2037","6","11820"
"1200014","375","2041","2","1","38","2042","2040","1","13050"
"1200015","375","2044","2","1","38","2045","2043","1","13050"
"1200016","375","2047","2","1","38","2048","2046","1","13050"
"1200017","375","2050","2","1","38","2051","2049","1","13050"
"1200018","375","2053","2","1","38","2054","2052","2","13050"
"1200019","375","2056","2","1","38","2057","2055","4","13050"
"1200020","375","2059","2","1","38","2060","2058","6","13050"
"1300001","575","3002","3","1","37","3003","3001","1","10590"
"1300002","575","3005","3","1","37","3006","3004","1","10590"
"1300003","575","3008","3","1","37","3009","3007","1","10590"
"1300004","575","3011","3","1","37","3012","3010","1","10590"
"1300005","575","3014","3","1","37","3015","3013","1","10590"
"1300006","575","3017","3","1","37","3018","3016","1","10590"
"1300007","575","3020","3","1","37","3021","3019","2","10590"
"1300008","575","3023","3","1","37","3024","3022","2","10590"
"1300009","575","3026","3","1","37","3027","3025","4","10590"
"1300010","575","3029","3","1","37","3030","3028","6","10590"
"1300011","500","3032","3","1","38","3033","3031","1","11820"
"1300012","500","3035","3","1","38","3036","3034","1","11820"
"1300013","500","3038","3","1","38","3039","3037","1","11820"
"1300014","500","3041","3","1","38","3042","3040","1","11820"
"1300015","500","3044","3","1","38","3045","3043","1","11820"
"1300016","500","3047","3","1","38","3048","3046","1","11820"
"1300017","500","3050","3","1","38","3051","3049","2","11820"
"1300018","500","3053","3","1","38","3054","3052","4","11820"
"1300019","500","3056","3","1","38","3057","3055","4","11820"
"1300020","500","3059","3","1","38","3060","3058","6","11820"
"1300021","375","3062","3","1","40","3063","3061","1","13050"
"1300022","375","3065","3","1","40","3066","3064","1","13050"
"1300023","375","3068","3","1","40","3069","3067","1","13050"
"1300024","375","3071","3","1","40","3072","3070","1","13050"
"1300025","375","3074","3","1","40","3075","3073","1","13050"
"1300026","375","3077","3","1","40","3078","3076","1","13050"
"1300027","375","3080","3","1","40","3081","3079","2","13050"
"1300028","375","3083","3","1","40","3084","3082","4","13050"
"1300029","375","3086","3","1","40","3087","3085","6","13050"
"1300030","375","3089","3","1","40","3090","3088","6","13050"
"2100001","700","4002","1","2","29","4003","4001","3","9360"
"2100002","700","4005","1","2","29","4006","4004","5","9360"
"2100003","700","4008","1","2","29","4009","4007","7","9360"
"2100004","700","4011","1","2","29","4012","4010","3","9360"
"2100005","700","4014","1","2","29","4015","4013","5","9360"
"2100006","700","4017","1","2","29","4018","4016","7","9360"
"2100007","575","4020","1","2","30","4021","4019","3","10590"
"2100008","575","4023","1","2","30","4024","4022","5","10590"
"2100009","575","4026","1","2","30","4027","4025","7","10590"
"2100010","575","4029","1","2","30","4030","4028","3","10590"
"2200001","700","5002","2","2","33","5003","5001","3","9360"
"2200002","700","5005","2","2","33","5006","5004","5","9360"
"2200003","700","5008","2","2","33","5009","5007","7","9360"
"2200004","700","5011","2","2","33","5012","5010","3","9360"
"2200005","700","5014","2","2","33","5015","5013","5","9360"
"2200006","700","5017","2","2","33","5018","5016","7","9360"
"2200007","700","5020","2","2","33","5021","5019","3","9360"
"2200008","700","5023","2","2","33","5024","5022","5","9360"
"2200009","700","5026","2","2","33","5027","5025","7","9360"
"2200010","700","5029","2","2","33","5030","5028","3","9360"
"2200011","700","5032","2","2","33","5033","5031","5","9360"
"2200012","700","5035","2","2","33","5036","5034","7","9360"
"2200013","575","5038","2","2","34","5039","5037","3","10590"
"2200014","575","5041","2","2","34","5042","5040","5","10590"
"2200015","575","5044","2","2","34","5045","5043","7","10590"
"2200016","575","5047","2","2","34","5048","5046","3","10590"
"2200017","575","5050","2","2","34","5051","5049","5","10590"
"2200018","575","5053","2","2","34","5054","5052","7","10590"
"2200019","575","5056","2","2","34","5057","5055","5","10590"
"2200020","575","5059","2","2","34","5060","5058","7","10590"
"2300001","700","6002","3","2","33","6003","6001","3","9360"
"2300002","700","6005","3","2","33","6006","6004","5","9360"
"2300003","700","6008","3","2","33","6009","6007","7","9360"
"2300004","700","6011","3","2","33","6012","6010","3","9360"
"2300005","700","6014","3","2","33","6015","6013","5","9360"
"2300006","700","6017","3","2","33","6018","6016","7","9360"
"2300007","700","6020","3","2","33","6021","6019","3","9360"
"2300008","700","6023","3","2","33","6024","6022","5","9360"
"2300009","700","6026","3","2","33","6027","6025","7","9360"
"2300010","700","6029","3","2","33","6030","6028","3","9360"
"2300011","700","6032","3","2","33","6033","6031","5","9360"
