fc2caf2f18e1981721e265fefbb6cf6fc7f1551d5d23f6d97475423ebe4dc833,1980175af4bca78583ef6d14d3a056d6a52dcfc4fd2bdd7b22d4e56c53109def,819fef1c3581aa7b6c3101d0b026d146312e4e8fcbe3ea3634070c41b5635af0,3c1ca8e10303969e4574b8959c108d43fadd9d5dec023ec6ca27a4857ecf6f9f,1da707b39b5fd53e13cf2a8e543e48709fec95f291e62569a870e845f8663b2d,0ed17f6a50df54d18fdeb38e60f2bdc7b70d413d97d357a3eb01c745954a143f,fea22d328d77f204d2ea93d195f962cc7444f7a2a78e337f916fcb15d8a27a3d,a2299efa0033edc08e687c749ada4cd073b65221997f74437a903869f28ab85f,68fd639b678cd97ad184b8cf3433b2dd1bb996f8b5ff93b084116f70e1cf8310,ebd3662f0a03a08b29646d1df36f7b0aed5a6e57c6aa7a089bf03f78e9006f66
"調子が上がって\nきたなっ","vo_minigame_1013_icon_1_002_001","1","訓練はまだ\nここからですわ","2","2","1000","vo_minigame_1013_icon_2_002_001","2","3000"
"ほらほら、\nまだいけるだろ？","vo_minigame_1013_icon_1_003_001","2","クスクス、悪くない\n流れですわね","2","2","5000","vo_minigame_1013_icon_2_003_001","2","3000"
"へへっ、おまえら\nやるじゃねえか！","vo_minigame_1013_icon_1_004_001","3","すばらしい\n記録ですわ","3","2","10000","vo_minigame_1013_icon_2_004_001","2","3000"
"あたしたちはまだ\n止まらねえぜ！","vo_minigame_1013_icon_1_005_001","4","乗りに乗って\nいますわね","3","3","10000","vo_minigame_1013_icon_2_005_001","2","3000"
"見てろよ！\nマコト班の快進撃だ！","vo_minigame_1013_icon_1_005_002","5","まだまだ行きます\nついてきなさい","3","3","10000","vo_minigame_1013_icon_2_005_002","2","3000"
"うおぉぉっ！\n絶好調だぜ！","vo_minigame_1013_icon_1_005_003","6","エリコ班の\n本領発揮ですわ！","3","3","10000","vo_minigame_1013_icon_2_005_003","2","3000"
"どこまで行けるか\n楽しみだなっ！","vo_minigame_1013_icon_1_006_001","7","ここからは\n前人未到の領域です！","3","4","0","vo_minigame_1013_icon_2_006_001","2","3000"
"まだ諦めんなよっ","vo_minigame_1013_icon_1_007_001","8","厄介でしたわ…","4","5","1","vo_minigame_1013_icon_2_007_001","3","1000"
"冷やっとしたぜ…！","vo_minigame_1013_icon_1_007_002","9","油断大敵です","4","5","1","vo_minigame_1013_icon_2_007_002","3","1000"
"弱音を吐くなっ","vo_minigame_1013_icon_1_007_003","10","忌々しいっ…","4","5","1","vo_minigame_1013_icon_2_007_003","3","1000"
"マコト班集合！","vo_minigame_1013_icon_1_008_001","11","大所帯ですわね","3","6","99","vo_minigame_1013_icon_2_008_001","4","1500"
"連携してくぞ！","vo_minigame_1013_icon_1_008_002","12","エリコ班へようこそ","3","6","99","vo_minigame_1013_icon_2_008_002","4","1500"
"みんなに力を！","vo_minigame_1013_icon_1_020_001","13","ナナカちゃんに\nお任せあれ","6","8","0","vo_minigame_1013_icon_2_020_001","1","3000"
"任せてくれたまえ","vo_minigame_1013_icon_1_022_001","14","はっはっは！\n任せろ！","7","9","0","vo_minigame_1013_icon_2_022_001","1","3000"
"ほな、いきまひょか","vo_minigame_1013_icon_1_023_001","15","どんどんいくわよ","8","10","0","vo_minigame_1013_icon_2_023_001","1","3000"
