f0b58cc48f59338efdb3930d1db66efdf7e25bdec84a4d1040da6a5f04cae66f,c00c9bc1ab328cceec6a9de23d831aded79060b079453983b315c6d92bb19ef7,6eab3b0bb30e07cb6bba637cd08d25e3ac0b9728c3a4fb9fa21daa42190a583d,1266d79f78f4cbfa0bdbe5f287bc2254be69286eaa6c40dd2f1249b17e6f967d,fa1849ca84d0d304575571eaab10585ccb4fa58852306424f6b08e065eb3c7b3,0bf0fca5f55e9d4c6ecb7f75f8e16fa70102ab509fe00f5571a80cac3db6ab09,e3fc75b2846136a29d920c1ae7e2e60c7d3d4fd8b07c64e52a23fd9bfa19e11f,470e50b7451fc89a6695d547b7b040a97f087a48632fa61f2cc49fac2985782c
"53001","平凡な未鑑定トレジャー","平凡な\n未鑑定トレジャー","1","200","100","1","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。"
"53002","貴重な未鑑定トレジャー","貴重な\n未鑑定トレジャー","2","400","200","1","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。"
"53003","至高の未鑑定トレジャー","至高の\n未鑑定トレジャー","3","800","400","1","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。"
"53004","平凡なジェムストーン","平凡なジェムストーン","1","200","100","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。"
"53005","貴重なジェムストーン","貴重なジェムストーン","2","400","200","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。"
"53006","至高のジェムストーン","至高のジェムストーン","3","800","400","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。"
"53007","平凡なインゴット","平凡なインゴット","1","200","100","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。"
"53008","貴重なインゴット","貴重なインゴット","2","400","200","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。"
"53009","至高のインゴット","至高のインゴット","3","800","400","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。"
"53010","平凡なスクロール","平凡なスクロール","1","200","100","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。"
"53011","貴重なスクロール","貴重なスクロール","2","400","200","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。"
"53012","至高のスクロール","至高のスクロール","3","800","400","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。"
"53013","平凡なティアラ","平凡なティアラ","1","200","100","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。"
"53014","貴重なティアラ","貴重なティアラ","2","400","200","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。"
"53015","至高のティアラ","至高のティアラ","3","800","400","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。"
"53016","平凡なルーン","平凡なルーン","1","200","100","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。"
"53017","貴重なルーン","貴重なルーン","2","400","200","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。"
"53018","至高のルーン","至高のルーン","3","800","400","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。"
"53019","平凡なクラウン","平凡なクラウン","1","200","100","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。"
"53020","貴重なクラウン","貴重なクラウン","2","400","200","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。"
"53021","至高のクラウン","至高のクラウン","3","800","400","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。"
"53022","平凡なアーティファクト","平凡なアーティファクト","1","200","100","0","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。"
"53023","貴重なアーティファクト","貴重なアーティファクト","2","400","200","0","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。"
"53024","至高のアーティファクト","至高のアーティファクト","3","800","400","0","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。"
