97f2eab3aec61842ac28fd03eda11a40c5cecfff22d241468f1ea18364d19cda,9792d9de75310ea408e231b08e80c8ca165495ce805778bde1e692d5271350d2,23be72fb4eeee15d98cd762dfe94bd6988017597b519b04c278345e596baac08,82dc6710e384b6beb153577bea0b348071e519af4116df8210f15319849065fa,b4ceedd9ba6b6dabcad4f179f5276a0a085d606b5514981cb1d2997152f0ae36,0f25d89d2a7848e6b6d29c7d92ce0633d8471aefb74aa47b5674a7d1ca43f930
"1001","99001001","1","15","11001001","1"
"0","99001001","10","8","91002","2"
"1001","99001002","1","15","11001002","3"
"0","99001002","10","8","91002","4"
"1002","99001003","1","15","11001003","5"
"0","99001003","20","8","91002","6"
"1003","99001004","1","15","11001004","7"
"0","99001004","30","8","91002","8"
"1001","99001005","1","15","11001005","9"
"0","99001005","10","8","91002","10"
"1001","99001006","1","15","11001006","11"
"0","99001006","10","8","91002","12"
"1002","99001007","1","15","11001007","13"
"0","99001007","20","8","91002","14"
"1003","99001008","1","15","11001008","15"
"0","99001008","30","8","91002","16"
"1001","99001009","1","15","11001009","17"
"0","99001009","10","8","91002","18"
"1001","99001010","1","15","11001010","19"
"0","99001010","10","8","91002","20"
"1002","99001011","1","15","11001011","21"
"0","99001011","20","8","91002","22"
"1003","99001012","1","15","11001012","23"
"0","99001012","30","8","91002","24"
"1001","99001017","1","15","11001017","33"
"0","99001017","30","8","91002","34"
"1001","99001018","1","15","11001018","35"
"0","99001018","30","8","91002","36"
"1002","99001019","1","15","11001019","37"
"0","99001019","30","8","91002","38"
"1003","99001020","1","15","11001020","39"
"0","99001020","30","8","91002","40"
"1001","99001021","0","15","11001021","41"
"1002","99001022","0","15","11001022","42"
"1001","99001023","1","15","11001023","43"
"0","99001023","30","8","91002","44"
"1001","99001024","1","15","11001024","45"
"0","99001024","30","8","91002","46"
"1002","99001025","1","15","11001025","47"
"0","99001025","30","8","91002","48"
"1003","99001026","1","15","11001026","49"
"0","99001026","30","8","91002","50"
"1001","99001027","1","15","11001027","51"
"0","99001027","30","8","91002","52"
"1001","99001028","1","15","11001028","53"
"0","99001028","30","8","91002","54"
"1002","99001029","1","15","11001029","55"
"0","99001029","30","8","91002","56"
"1003","99001030","1","15","11001030","57"
"0","99001030","30","8","91002","58"
"1001","99001031","1","15","11001031","59"
"0","99001031","30","8","91002","60"
"1001","99001032","1","15","11001032","61"
"0","99001032","30","8","91002","62"
"1002","99001033","1","15","11001033","63"
"0","99001033","30","8","91002","64"
"1003","99001034","1","15","11001034","65"
"0","99001034","30","8","91002","66"
"1001","99001039","0","15","11001039","75"
"1002","99001040","0","15","11001040","76"
"1003","99001041","0","15","11001041","77"
"1001","99001042","1","15","11001042","78"
"0","99001042","30","8","91002","79"
"1001","99001043","1","15","11001043","80"
"0","99001043","30","8","91002","81"
"1002","99001044","1","15","11001044","82"
"0","99001044","30","8","91002","83"
"1003","99001045","1","15","11001045","84"
"0","99001045","30","8","91002","85"
"1001","99001046","1","15","11001046","86"
"1001","99001046","1","15","11001050","87"
"0","99001046","30","8","91002","88"
"1001","99001047","1","15","11001047","89"
"0","99001047","30","8","91002","90"
"1002","99001048","1","15","11001048","91"
"0","99001048","30","8","91002","92"
"1003","99001049","1","15","11001049","93"
"0","99001049","30","8","91002","94"
"1001","99001051","1","15","11001051","95"
"0","99001051","30","8","91002","96"
"1001","99001052","1","15","11001052","97"
"0","99001052","30","8","91002","98"
"1002","99001053","1","15","11001053","99"
"0","99001053","30","8","91002","100"
"1003","99001054","1","15","11001054","101"
"0","99001054","30","8","91002","102"
"1001","99001055","1","15","11001055","103"
"0","99001055","30","8","91002","104"
"1001","99001056","1","15","11001056","105"
"0","99001056","30","8","91002","106"
"1002","99001057","1","15","11001057","107"
"0","99001057","30","8","91002","108"
"1003","99001058","1","15","11001058","109"
"0","99001058","30","8","91002","110"
"1001","99001059","1","15","11001059","111"
"0","99001059","30","8","91002","112"
"1001","99001060","1","15","11001060","113"
"0","99001060","30","8","91002","114"
"1002","99001061","1","15","11001061","115"
"0","99001061","30","8","91002","116"
"1003","99001062","1","15","11001062","117"
"0","99001062","30","8","91002","118"
"1001","99001063","1","15","11001063","119"
"0","99001063","30","8","91002","120"
"1001","99001064","1","15","11001064","121"
"0","99001064","30","8","91002","122"
"1002","99001065","1","15","11001065","123"
"0","99001065","30","8","91002","124"
"1003","99001066","1","15","11001066","125"
"0","99001066","30","8","91002","126"
"1001","99001067","1","15","11001067","127"
"0","99001067","30","8","91002","128"
"1001","99001068","1","15","11001068","129"
"0","99001068","30","8","91002","130"
"1002","99001069","1","15","11001069","131"
"0","99001069","30","8","91002","132"
"1003","99001070","1","15","11001070","133"
"0","99001070","30","8","91002","134"
"1001","99001071","0","15","11001071","135"
"1002","99001072","0","15","11001072","136"
"1003","99001073","0","15","11001073","137"
"1001","99001074","1","15","11001074","138"
"0","99001074","30","8","91002","139"
"1001","99001075","1","15","11001075","140"
"0","99001075","30","8","91002","141"
"1002","99001076","1","15","11001076","142"
"0","99001076","30","8","91002","143"
"1003","99001077","1","15","11001077","144"
"0","99001077","30","8","91002","145"
"1001","99001078","1","15","11001078","146"
"0","99001078","30","8","91002","147"
"1001","99001079","1","15","11001079","148"
"0","99001079","30","8","91002","149"
"1002","99001080","1","15","11001080","150"
"0","99001080","30","8","91002","151"
"1003","99001081","1","15","11001081","152"
"0","99001081","30","8","91002","153"
"1001","99001082","1","15","11001082","154"
"0","99001082","30","8","91002","155"
"1001","99001083","1","15","11001083","156"
"0","99001083","30","8","91002","157"
"1002","99001084","1","15","11001084","158"
"0","99001084","30","8","91002","159"
"1003","99001085","1","15","11001085","160"
"0","99001085","30","8","91002","161"
"1001","99001086","0","15","11001086","162"
"1002","99001087","0","15","11001087","163"
"1002","99001088","0","15","11001088","164"
"1002","99001089","0","15","11001089","165"
"1003","99001090","0","15","11001090","166"
"1001","99001091","1","15","11001091","167"
"0","99001091","30","8","91002","168"
"1001","99001092","1","15","11001092","169"
"0","99001092","30","8","91002","170"
"1002","99001093","1","15","11001093","171"
"0","99001093","30","8","91002","172"
"1003","99001094","1","15","11001094","173"
"0","99001094","30","8","91002","174"
"1001","99001095","1","15","11001095","175"
"0","99001095","30","8","91002","176"
"1001","99001096","1","15","11001096","177"
"0","99001096","30","8","91002","178"
"1002","99001097","1","15","11001097","179"
"0","99001097","30","8","91002","180"
"1003","99001098","1","15","11001098","181"
"0","99001098","30","8","91002","182"
"1001","99001099","1","15","11001099","183"
"0","99001099","30","8","91002","184"
"1001","99001100","1","15","11001100","185"
"0","99001100","30","8","91002","186"
"1002","99001101","1","15","11001101","187"
"0","99001101","30","8","91002","188"
"1003","99001102","1","15","11001102","189"
"0","99001102","30","8","91002","190"
"1001","99001103","1","15","11001103","191"
"0","99001103","30","8","91002","192"
"1001","99001104","1","15","11001104","193"
"0","99001104","30","8","91002","194"
"1002","99001105","1","15","11001105","195"
"0","99001105","30","8","91002","196"
"1003","99001106","1","15","11001106","197"
"0","99001106","30","8","91002","198"
"1001","99001107","1","15","11001107","199"
"0","99001107","30","8","91002","200"
"1001","99001108","1","15","11001108","201"
"0","99001108","30","8","91002","202"
"1002","99001109","1","15","11001109","203"
"0","99001109","30","8","91002","204"
"1003","99001110","1","15","11001110","205"
"0","99001110","30","8","91002","206"
"1001","99001111","1","15","11001111","207"
"0","99001111","30","8","91002","208"
"1001","99001112","1","15","11001112","209"
"0","99001112","30","8","91002","210"
"1002","99001113","1","15","11001113","211"
"0","99001113","30","8","91002","212"
"1003","99001114","1","15","11001114","213"
"0","99001114","30","8","91002","214"
"1001","99001115","1","15","11001115","215"
"0","99001115","30","8","91002","216"
"1001","99001116","1","15","11001116","217"
"0","99001116","30","8","91002","218"
"1002","99001117","1","15","11001117","219"
"0","99001117","30","8","91002","220"
"1003","99001118","1","15","11001118","221"
"0","99001118","30","8","91002","222"
"1001","99001119","1","15","11001119","223"
"0","99001119","30","8","91002","224"
"1001","99001120","1","15","11001120","225"
"0","99001120","30","8","91002","226"
"1002","99001121","1","15","11001121","227"
"0","99001121","30","8","91002","228"
