3402bab1417a60dac91128d253d7d8d31e3ab7ade3122e8f6e5fdf3a763845d2,17c8629d940ff08c423d42437b3e3cdf9890a63d129a97dfd670c0079ed45e5e
"1","999999999"
"2","5"
"3","3"
"4","1"
"5","1"
"6","2"
"7","3"
"8","999999999"
"9","999999999"
"10","9"
"11","2"
"12","4"
"13","6"
"14","7"
"100","2"
"101","300"
"102","600"
"103","1200"
"104","2400"
"105","4800"
"106","9999"
"201","500"
"202","500"
"203","500"
"204","500"
"205","500"
"211","100"
"212","100"
"213","100"
"214","100"
"215","100"
"221","100"
"222","200"
"223","100"
"224","1000"
"225","1500"
