126bb24a00562a96efe36959d054aa1c7e6f64aa315ac92ac71e893fb964c77e,f9f5f08e4e9d7d77915b875023d4aff20759ea42451c8d3ceb1a2516aafdfb3a,7005ac6345293664c59442988bf3b015fe4ac369c76e61a3d4ce4b2b7254e320,733cbdbebc7748a375444f212adf43ba3ab0787f714f09f0c23f76191f03d642,05c2cecb54fc36884c42f912381833c0a27a92bd87152b4aa2cd05b03b78b8ae,1cc64ffd8ee99048f97ed8e6c9664b6c8da5295e8149fb052d203259da6a8d6c,0c9dd42cb5ed1c1aabb027326c3e519562fc50ee4ea373e146a8cc9951675e79,095bb8f47af590fa96cc4fc25388d53904e55de3de97e7be32a393b4f3afffca,007833da7258cadb0381844764499673045e95377e19b2609e2c83d1e97866aa,1dcec325997b68d9c7ac401e56afd771cef2f700c6703ea645a986798590cf37
"8","22","2","53003","2","15","3","","-1","10001"
"5","22","1","53003","1","1","3","","14","10002"
"2","23","0","52019","0","0","3","ワカナの施し","0","10003"
"8","22","2","53003","2","15","4","","-1","10004"
"5","22","1","53003","1","1","4","","14","10005"
"2","23","0","52019","0","0","4","ワカナの施し","0","10006"
"8","22","2","53003","2","15","5","","-1","10007"
"5","22","1","53003","1","1","5","","14","10008"
"2","23","0","52019","0","0","5","ワカナの施し","0","10009"
"8","22","2","53003","2","15","6","","-1","10010"
"5","22","1","53003","1","1","6","","14","10011"
"2","23","0","52019","0","0","6","ワカナの施し","0","10012"
"8","22","2","53003","2","15","7","","-1","10013"
"5","22","1","53003","1","1","7","","14","10014"
"2","23","0","52019","0","0","7","ワカナの施し","0","10015"
"8","22","2","53003","2","15","8","","-1","10016"
"5","22","1","53003","1","1","8","","14","10017"
"2","23","0","52019","0","0","8","ワカナの施し","0","10018"
"8","22","2","53003","2","15","9","","-1","10019"
"5","22","1","53003","1","1","9","","14","10020"
"2","23","0","52019","0","0","9","ワカナの施し","0","10021"
"8","22","2","53003","2","15","10","","-1","10022"
"5","22","1","53003","1","1","10","","14","10023"
"2","23","0","52019","0","0","10","ワカナの施し","0","10024"
"8","22","2","53003","2","15","11","","-1","10025"
"5","22","1","53003","1","1","11","","14","10026"
"2","23","0","52019","0","0","11","ワカナの施し","0","10027"
"8","22","2","53003","2","15","12","","-1","10028"
"5","22","1","53003","1","1","12","","14","10029"
"2","23","0","52019","0","0","12","ワカナの施し","0","10030"
"8","22","2","53003","2","15","13","","-1","10031"
"5","22","1","53003","1","1","13","","14","10032"
"2","23","0","52019","0","0","13","ワカナの施し","0","10033"
"8","22","2","53003","2","15","14","","-1","10034"
"5","22","1","53003","1","1","14","","14","10035"
"2","23","0","52019","0","0","14","ワカナの施し","0","10036"
