79f121bd427219bb75a6eb2d99220aedde7ab6169e463f0fad1508e004870c59,e2ed62c0431f2ccf770e879917384a5661b9d2d46dfa3cc9638454d355544707,fd4bb8976b22e6b279bbbf1ec8cdb073f961263839fdad263b2a159b8d6e000b,5028ce31eff3664b1ac2ca63e1476ebaaab03e55ef00f43a18e94dc29b1f5240,e83c3ed6359a2afc4e5806be43e616c7adf2d2aef778f6a604103a469b8a15ea,75f1f7e66c347a06a00a6653ffdc2976bc1782de456911042bc4bc7ed56a1832,379a17e48da2708880d7e3e44f64f25f2511deabed21d14bf05eefb66f4fe64e,8b73ab30468169f72c09df355747a1533e9aac5e777dbb56096d5194553d0fb4,284e2737db358fe9fd2c39b9924a627fa81f367e0980c963bf67af129ecc6d3d,7a52b401fdd325cca3b1e57d43af97189002d1cdecbdc272c44e14428101ad7f
"パグ","1","0","0","バグ","ハグ","0","0","2110001","バク"
"手首","1","0","0","テクノロジー","テイク","0","0","2110003","テクニック"
"ゆきやけ","1","0","0","なだれ","じひびき","0","0","2110005","ふぶき"
"大理石","1","0","0","磁石","黒曜石","0","0","2110006","化石"
"ミスト","1","0","0","オーシャン","ガルフ","0","0","2110007","リバー"
"カットマーク","1","0","0","アットマーク","バットマーク","0","0","2110008","ラットマーク"
"建物の中の場所","1","0","0","太陽の日があたる場所","いつもすずしい場所","0","0","2110010","太陽があたらない場所"
"バレンタインデート","1","0","0","アップデート","ハッピーデート","0","0","2110011","ダブルデート"
"バリケード","1","0","0","ブリザード","オブリガード","0","0","2110012","ブルドーザー"
"火星","1","0","0","太陽","地球","0","0","2110014","月"
"新幹線","1","0","0","地平線","電話線","0","0","2110016","放物線"
"青歴史","1","0","0","黒歴史","赤歴史","0","0","2110018","白歴史"
"みそ","1","0","0","しょうゆ","お酢","0","0","2110019","みりん"
"顔","1","0","0","背中","手のひら","0","0","2110021","お腹"
"看板","1","0","0","鉄板","ベニヤ板","0","0","2110022","ガラス板"
"エンコード","1","0","0","ドレスコード","バーコード","0","0","2110023","プレスコード"
"まくおとし","1","0","0","こけらおとし","やくおとし","0","0","2110024","だるまおとし"
"ライン","1","0","0","コイン","ライス","0","0","2110025","コイル"
"パラソル","1","0","0","アパレル","ナチュラル","0","0","2110026","パラレル"
"薄塗り","1","0","0","透かし","上塗り","0","0","2110028","ぼかし"
"胃薬","1","0","0","目薬","塗り薬","0","0","2110031","風邪薬"
"石の上","1","0","0","ぬか","馬の耳","0","0","2110032","のれん"
