48f8ccf8766c0f8b7521151476025e391a452f4ae2386843de2965b139d77181,ae7a95b7ddbac64cbf519c7d3a5fc7fb76d2ada9cb48b1477dc361e261fa5deb,551e5334d7c56869d481e08a974e6bcca09668000dcc59304901fb8a13c2b59b,d0dec55679139e11f8b4be4ddc0583f77aa62531aecdb4393fc1685252f54405,b8861d7d64a100162a286dddb6347dc2bfa53518b8c1c4e42dc8488f94096692,ab53f2cbc57aa59e08494f6a83632f3d068eff92e462027873ecb49c20d7a048
"212","211","3001","803100263","1","2146041"
"212","211","3002","803100263","1","2146042"
"212","211","3003","803100263","1","2146043"
"212","211","3004","803100263","1","2146044"
"212","213","3006","803100272","1","2147041"
"212","213","3007","803100272","1","2147042"
"313","202","30011","803100253","1","2145039"
"302","105","30012","803100253","0","2145040"
"311","204","30021","803100256","1","2145069"
"312","205","30022","803100256","1","2145070"
"310","212","30031","803100259","1","2145099"
"301","107","30032","803100259","0","2145100"
"307","110","30041","803100262","0","2146039"
"302","105","30042","803100262","0","2146040"
"314","203","30051","803100267","1","2146081"
"312","205","30061","803100269","1","2147019"
"303","106","30062","803100269","0","2147020"
"313","202","30071","803100271","1","2147039"
"310","212","30072","803100271","1","2147040"
"100","104","300101","803100251","0","2145011"
"100","104","300102","803100251","0","2145012"
"102","105","300103","803100251","0","2145013"
"100","104","300104","803100251","0","2145014"
"102","105","300105","803100251","0","2145015"
"103","106","300106","803100251","0","2145016"
"102","105","300107","803100251","0","2145017"
"103","106","300108","803100251","0","2145018"
"111","204","300109","803100251","1","2145019"
"100","104","300110","803100251","0","2145020"
"100","104","300111","803100252","0","2145021"
"102","105","300112","803100252","0","2145022"
"100","104","300113","803100252","0","2145023"
"102","105","300114","803100252","0","2145024"
"103","106","300115","803100252","0","2145025"
"102","105","300116","803100252","0","2145026"
"103","106","300117","803100252","0","2145027"
"111","204","300118","803100252","1","2145028"
"100","104","300119","803100252","0","2145029"
"100","104","300120","803100252","0","2145030"
"102","105","300121","803100253","0","2145031"
"100","104","300122","803100253","0","2145032"
"102","105","300123","803100253","0","2145033"
"112","208","300124","803100253","1","2145034"
"110","212","300125","803100253","1","2145035"
"100","104","300126","803100253","0","2145036"
"102","105","300127","803100253","0","2145037"
"103","106","300128","803100253","0","2145038"
"101","107","300201","803100254","0","2145041"
"101","107","300202","803100254","0","2145042"
"102","105","300203","803100254","0","2145043"
"103","106","300204","803100254","0","2145044"
"113","202","300205","803100254","1","2145045"
"114","203","300206","803100254","1","2145046"
"101","107","300207","803100254","0","2145047"
"113","202","300208","803100254","1","2145048"
"114","203","300209","803100254","1","2145049"
"101","107","300210","803100254","0","2145050"
"101","107","300211","803100255","0","2145051"
"102","105","300212","803100255","0","2145052"
"103","106","300213","803100255","0","2145053"
"113","202","300214","803100255","1","2145054"
"114","203","300215","803100255","1","2145055"
"101","107","300216","803100255","0","2145056"
"113","202","300217","803100255","1","2145057"
"114","203","300218","803100255","1","2145058"
"101","107","300219","803100255","0","2145059"
"101","107","300220","803100255","0","2145060"
"102","105","300221","803100256","0","2145061"
"103","106","300222","803100256","0","2145062"
"101","107","300223","803100256","0","2145063"
"112","208","300224","803100256","1","2145064"
"110","212","300225","803100256","1","2145065"
"102","105","300226","803100256","0","2145066"
"103","106","300227","803100256","0","2145067"
"101","107","300228","803100256","0","2145068"
"100","104","300301","803100257","0","2145071"
"101","107","300302","803100257","0","2145072"
"101","107","300303","803100257","0","2145073"
"113","202","300304","803100257","1","2145074"
"114","203","300305","803100257","1","2145075"
"100","104","300306","803100257","0","2145076"
"101","107","300307","803100257","0","2145077"
"111","204","300308","803100257","1","2145078"
"112","205","300309","803100257","1","2145079"
"100","104","300310","803100257","0","2145080"
"101","107","300311","803100258","0","2145081"
"101","107","300312","803100258","0","2145082"
"113","202","300313","803100258","1","2145083"
"114","203","300314","803100258","1","2145084"
"100","104","300315","803100258","0","2145085"
"101","107","300316","803100258","0","2145086"
"111","204","300317","803100258","1","2145087"
"112","205","300318","803100258","1","2145088"
"100","104","300319","803100258","0","2145089"
"101","107","300320","803100258","0","2145090"
"100","104","300321","803100259","0","2145091"
"101","107","300322","803100259","0","2145092"
"113","202","300323","803100259","1","2145093"
"112","208","300324","803100259","1","2145094"
"100","104","300325","803100259","0","2145095"
"101","107","300326","803100259","0","2145096"
"111","204","300327","803100259","1","2145097"
"112","205","300328","803100259","1","2145098"
"102","105","300401","803100260","0","2146011"
"102","105","300402","803100260","0","2146012"
"113","202","300403","803100260","1","2146013"
"114","203","300404","803100260","1","2146014"
"102","105","300405","803100260","0","2146015"
"113","202","300406","803100260","1","2146016"
"114","203","300407","803100260","1","2146017"
"102","105","300408","803100260","0","2146018"
"102","105","300409","803100260","0","2146019"
"102","105","300410","803100260","0","2146020"
"102","105","300411","803100261","0","2146021"
"113","202","300412","803100261","1","2146022"
"114","203","300413","803100261","1","2146023"
"102","105","300414","803100261","0","2146024"
"113","202","300415","803100261","1","2146025"
"114","203","300416","803100261","1","2146026"
"102","105","300417","803100261","0","2146027"
"102","105","300418","803100261","0","2146028"
"113","202","300419","803100261","1","2146029"
"113","202","300420","803100261","1","2146030"
"113","202","300421","803100262","1","2146031"
"114","203","300422","803100262","1","2146032"
"102","105","300423","803100262","0","2146033"
"112","208","300424","803100262","1","2146034"
"110","212","300425","803100262","1","2146035"
"113","202","300426","803100262","1","2146036"
"113","202","300427","803100262","1","2146037"
"102","105","300428","803100262","0","2146038"
"100","104","300501","803100264","0","2146051"
"100","104","300502","803100264","0","2146052"
"100","104","300503","803100264","0","2146053"
"100","104","300504","803100264","0","2146054"
"102","105","300505","803100264","0","2146055"
"103","106","300506","803100264","0","2146056"
"100","104","300507","803100264","0","2146057"
"100","104","300508","803100264","0","2146058"
"102","105","300509","803100264","0","2146059"
"103","106","300510","803100264","0","2146060"
"100","104","300511","803100265","0","2146061"
"100","104","300512","803100265","0","2146062"
"100","104","300513","803100265","0","2146063"
"100","104","300514","803100265","0","2146064"
"102","105","300515","803100265","0","2146065"
"103","106","300516","803100265","0","2146066"
"100","104","300517","803100265","0","2146067"
"100","104","300518","803100265","0","2146068"
"102","105","300519","803100265","0","2146069"
"103","106","300520","803100265","0","2146070"
"100","104","300521","803100266","0","2146071"
"100","104","300522","803100266","0","2146072"
"113","202","300523","803100266","1","2146073"
"114","203","300524","803100266","1","2146074"
"100","104","300525","803100266","0","2146075"
"112","208","300526","803100266","1","2146076"
"110","212","300527","803100266","1","2146077"
"113","202","300528","803100266","1","2146078"
"114","203","300529","803100266","1","2146079"
"100","104","300530","803100266","0","2146080"
"114","203","300601","803100268","1","2146091"
"113","202","300602","803100268","1","2146092"
"102","105","300603","803100268","0","2146093"
"114","203","300604","803100268","1","2146094"
"103","106","300605","803100268","0","2146095"
"114","203","300606","803100268","1","2146096"
"111","204","300607","803100268","1","2146097"
"114","203","300608","803100268","1","2146098"
"113","202","300609","803100268","1","2146099"
"102","105","300610","803100268","0","2146100"
"114","203","300611","803100269","1","2147011"
"103","106","300612","803100269","0","2147012"
"114","203","300613","803100269","1","2147013"
"111","204","300614","803100269","1","2147014"
"110","212","300615","803100269","1","2147015"
"114","203","300616","803100269","1","2147016"
"102","105","300617","803100269","0","2147017"
"103","106","300618","803100269","0","2147018"
"111","204","300701","803100270","1","2147021"
"100","104","300702","803100270","0","2147022"
"101","107","300703","803100270","0","2147023"
"113","202","300704","803100270","1","2147024"
"114","203","300705","803100270","1","2147025"
"102","105","300706","803100270","0","2147026"
"112","205","300707","803100270","1","2147027"
"111","204","300708","803100270","1","2147028"
"100","104","300709","803100270","0","2147029"
"101","107","300710","803100270","0","2147030"
"113","202","300711","803100271","1","2147031"
"114","203","300712","803100271","1","2147032"
"102","105","300713","803100271","0","2147033"
"112","205","300714","803100271","1","2147034"
"107","110","300715","803100271","0","2147035"
"111","204","300716","803100271","1","2147036"
"100","104","300717","803100271","0","2147037"
"101","107","300718","803100271","0","2147038"
