7d5ca8a1ff8219366586c3425a8e6ee8ae9d085fbd2a351f44fdc3a148385349,5658b958e46de82ae20d11c7c6b5b71c703567f4c71d3fec233932fd377a1c5f,c988c866164772973cd6fb262226e03c1d0b2b7a00f48cd30c5941522cfd11cc,7dce408cbfdc00506d4e14ece9c462a69c083d51da76a30c4442bf04f5d5a5f0,233e4b47a8c6a4dfde5909c1ee04109179bc81c3d526a270a5bad713b294eb32,0e4b58733d4962782b249b449957ba9ea44e200a2e8e628c1e9f7ea0b8bf8cf4,f54575ae38935999695715bedf281c640e74e55779f94109b66fee96549e6163,1f6bc08671be2246ae3a65be71e300cef6efc03543e4f06124f4cd64ad0b72a2,0c2cb4a997a324ae33b667515d64c27654c8c47092bd1776a37b1e19564afccb,5e6e8f35f25f4b255372a04aa619639bf5095e4f0b409088dd71cbae1f2a9161,d810aa0a106b9bb364fd94179601da58d4b7515a2cb77c2f6d6b442fa7e3dcdc
"1.3","2","1001","55","1000001","1","<weapon>_idle","0","-250","-100","110010001"
"1","100","1001","0","100","31","","","1","0","110010002"
"0","101","1001","0","101","31","","","1","0","110010003"
"1","4","1001","0","4","31","","","1","0","110010004"
"1","5","1001","94.5","5","31","","","1","0","110010005"
"","0","1001","","0","91","","","","","110010006"
"","0.4","1001","","0","93","","","","","110010007"
"0.2","1000001","1001","0","<weapon>_joy_short","3","","","","","110010008"
"","1.3","1001","","0","93","","","","","110010009"
"0","1000001","1001","1","<weapon>_run","3","","","","","110010010"
"","1000001","1001","-250","800","2","","","0","1","110010011"
"","0.7","1001","","0","93","","","","","110010012"
"","101","1001","","1","32","","","","","110010013"
"","0.7","1001","","0","93","","","","","110010014"
"1.3","2","1101","55","1000001","1","<weapon>_run","0","-250","-640","111010001"
"1","100","1101","0","100","31","","","1","0","111010002"
"0","101","1101","0","101","31","","","1","0","111010003"
"1","4","1101","0","4","31","","","1","0","111010004"
"","4","1101","","0","35","","","","","111010005"
"1","5","1101","0","5","31","","","1","0","111010006"
"1","10","1101","0","10","31","","","1","0","111010007"
"","0","1101","","","91","","","","","111010008"
"","100","1101","","1","35","","","","","111010009"
"","1000001","1101","-250","640","2","","","0","2.1","111010010"
"","1.7","1101","","0","93","","","","","111010011"
"","101","1101","","1","32","","","","","111010012"
"","0.7","1101","","0","93","","","","","111010013"
"1.3","1","2001","55","1000001","1","look_loop","0","-240","0","120010001"
"0","1","2001","0","1","31","","0","1","0","120010002"
"","1","2001","","0","35","","","","","120010003"
"","1","2001","","1","32","","","","","120010004"
"1","2","2001","345.4","2","31","","0","1","0","120010005"
"","2","2001","","0","35","","","","","120010006"
"0","3","2001","345.4","3","31","","0","1","0","120010007"
"","3","2001","","0","35","","","","","120010008"
"","3","2001","","1","32","","","","","120010009"
"1","31000001","2001","-345.4","31000001","31","","","1","0","120010010"
"1","31000002","2001","345.4","31000002","31","","","1","0","120010011"
"1","100","2001","0","100","31","","","1","0","120010012"
"0","101","2001","0","101","31","","","1","0","120010013"
"","0","2001","","","91","","","","","120010014"
"","100","2001","","1","35","","","","","120010015"
"0","1000001","2001","0","look_in","3","","0","1","look_loop","120010016"
"","1.3","2001","","0","93","","","","","120010017"
"0","12","2101","0","998","31","","","1","0","121010001"
"0","14","2101","0","997","31","","","1","0","121010002"
"0","16","2101","0","996","31","","","1","0","121010003"
"","31000001","2101","","0","32","","","","","121010004"
"","31000002","2101","","0","32","","","","","121010005"
"0","0","2101","-1","0","121","","","0","1","121010006"
"","1","2101","","1","35","","","","","121010007"
"","3","2101","","1","35","","","","","121010008"
"0","1000001","2101","0","pointing","3","","","","","121010009"
"","1","2101","","0","93","","","","","121010010"
"0","505","2101","-1.47","100","121","","","2","1.47","121010011"
"0.2","1000001","2101","1","run_talk1","3","","","","","121010012"
"","1000001","2101","-240","100","2","","","0","1","121010013"
"","se_travel","2101","0","se_travel_treasure_cha_run","23","","","","","121010014"
"","1","2101","","0","93","","","","","121010015"
"0","11","2201","0","998","31","","","1","0","122010001"
"0","13","2201","0","997","31","","","1","0","122010002"
"0","15","2201","0","996","31","","","1","0","122010003"
"","31000001","2201","","0","32","","","","","122010004"
"","31000002","2201","","0","32","","","","","122010005"
"","1","2201","","1","35","","","","","122010006"
"","3","2201","","1","35","","","","","122010007"
"0","1000001","2201","0","pointing","3","","","","","122010008"
"","1","2201","","0","93","","","","","122010009"
"0","-505","2201","1.47","100","121","","","2","1.47","122010010"
"0.2","1000001","2201","1","run_talk1","3","","","","","122010011"
"","1000001","2201","-240","100","2","","","0","1","122010012"
"","se_travel","2201","0","se_travel_treasure_cha_run","23","","","","","122010013"
"","1","2201","","0","93","","","","","122010014"
"0","300000","3000","345.4","300000","31","","","1","0","130000001"
"","0","3000","","","91","","","","","130000002"
"0","1.05","3000","1.05","1.05","123","","","7.4","1.05","130000003"
"0.2","1000001","3000","0","wait","3","","","","","130000004"
"","2","3000","","1","35","","","","","130000005"
"","4.9","3000","","0","93","","","","","130000006"
"0","0.95","3000","0.95","0.95","123","","","0.4","0.95","130000007"
"","300000","3000","","1","32","","","","","130000008"
"","0.1","3000","","0","93","","","","","130000009"
"","2","3000","","0","32","","","","","130000010"
"","0.1","3000","","0","93","","","","","130000011"
"","996","3000","","1","32","","","","","130000012"
"0","1000001","3000","0","joy_from_wait","3","","","","","130000013"
"","1.9","3000","","0","93","","","","","130000014"
"0","1000001","3000","0","glad_from_joy","3","","","","","130000015"
"","1.5","3000","","0","93","","","","","130000016"
"0.2","1000001","3000","1","run_gatein","3","","","","","130000017"
"","se_travel","3000","","se_travel_treasure_cha_run","23","","","","","130000018"
"","1000001","3000","-195","450","2","","","0","1","130000019"
"","0.5","3000","","1","93","","","","","130000020"
"0.4","1000001","3000","1","1","6","","0","0","1","130000021"
"","0.4","3000","","0","93","","","","","130000022"
"","1","3000","","","113","","","","","130000023"
"0","300100","3001","345.4","300100","31","","","1","0","130010001"
"1","990001","3001","345.4","990001","31","","","1","0","130010002"
"","0","3001","","","91","","","","","130010003"
"0","1.05","3001","1.05","1.05","123","","","7.4","1.05","130010004"
"0.2","1000001","3001","0","wait","3","","","","","130010005"
"","2","3001","","1","35","","","","","130010006"
"","5.4","3001","","0","93","","","","","130010007"
"0","0.95","3001","0.95","0.95","123","","","0.4","0.95","130010008"
"0.2","1000001","3001","0","glad","3","","","","","130010009"
"","300100","3001","","1","32","","","","","130010010"
"","996","3001","","1","32","","","","","130010011"
"","0.1","3001","","0","93","","","","","130010012"
"","2","3001","","0","32","","","","","130010013"
"","3","3001","","0","32","","","","","130010014"
"","1.5","3001","","0","93","","","","","130010015"
"0.2","1000001","3001","0","joy","3","","","","","130010016"
"","1.7","3001","","0","93","","","","","130010017"
"0","1000001","3001","1","run_gatein","3","","","","","130010018"
"","1000001","3001","-195","450","2","","","0","1","130010019"
"","0.5","3001","","1","93","","","","","130010020"
"0.4","1000001","3001","1","1","6","","0","0","1","130010021"
"","0.4","3001","","0","93","","","","","130010022"
"","1","3001","","","113","","","","","130010023"
"0","300100","3002","345.4","300100","31","","","1","0","130020001"
"1","990002","3002","345.4","990002","31","","","1","0","130020002"
"","0","3002","","","91","","","","","130020003"
"0","1.05","3002","1.05","1.05","123","","","7.4","1.05","130020004"
