61d9e1f728153379ee893ff686c560425c0c172dda32976ab647311818370141,f5e64605477e054cbadd8a3434caadbe4ff8d22d9527aa09ce044648a2874028,ba6716137f17fc9f13b5e85f301499985356afe2b55e5e2bb36e25c05b03833a,47fdaf7d863365f196eba05d0428d6a7d3b6e44099bafd0957db710ebf79d334,aec6657ab846d55954dd2dd1c0a4c4b7d1b698c3ae04e3ca5824b9a76f350752,52056585c0dba7fdae5294257f1b203fbdb3d13cc8b528956aae06e12e7307ea,5ca146edfb8ada256540f790d95cfe754bb8d64d54bbb16ead236aeb3de62c66,28a08bc9da9b4a38c9de72ee2916a1f9cef3fd132750764b54b9b5a53bc2996e,06c50b1e597cf907a65ff0789a35fe79a84259ff149316ca714853a416b7c87b,20cd73d38624f4611672256f651a8c0874d2296bc30a657c0ddce21d9873832b
"1","1003","1001","575","1","10590","1100001","32","1002","1"
"1","1006","1004","575","1","10590","1100002","32","1005","1"
"1","1009","1007","575","2","10590","1100003","32","1008","1"
"1","1012","1010","500","1","11820","1100004","33","1011","1"
"1","1015","1013","500","1","11820","1100005","33","1014","1"
"1","1018","1016","500","2","11820","1100006","33","1017","1"
"1","1021","1019","500","4","11820","1100007","33","1020","1"
"1","1024","1022","375","1","13050","1100008","35","1023","1"
"1","1027","1025","375","1","13050","1100009","35","1026","1"
"1","1030","1028","375","6","13050","1100010","35","1029","1"
"1","2003","2001","575","1","10590","1200001","34","2002","2"
"1","2006","2004","575","1","10590","1200002","34","2005","2"
"1","2009","2007","575","1","10590","1200003","34","2008","2"
"1","2012","2010","575","1","10590","1200004","34","2011","2"
"1","2015","2013","575","2","10590","1200005","34","2014","2"
"1","2018","2016","575","4","10590","1200006","34","2017","2"
"1","2021","2019","575","6","10590","1200007","34","2020","2"
"1","2024","2022","500","1","11820","1200008","35","2023","2"
"1","2027","2025","500","1","11820","1200009","35","2026","2"
"1","2030","2028","500","1","11820","1200010","35","2029","2"
"1","2033","2031","500","1","11820","1200011","35","2032","2"
"1","2036","2034","500","4","11820","1200012","35","2035","2"
"1","2039","2037","500","6","11820","1200013","35","2038","2"
"1","2042","2040","375","1","13050","1200014","38","2041","2"
"1","2045","2043","375","1","13050","1200015","38","2044","2"
"1","2048","2046","375","1","13050","1200016","38","2047","2"
"1","2051","2049","375","1","13050","1200017","38","2050","2"
"1","2054","2052","375","2","13050","1200018","38","2053","2"
"1","2057","2055","375","4","13050","1200019","38","2056","2"
"1","2060","2058","375","6","13050","1200020","38","2059","2"
"1","3003","3001","575","1","10590","1300001","37","3002","3"
"1","3006","3004","575","1","10590","1300002","37","3005","3"
"1","3009","3007","575","1","10590","1300003","37","3008","3"
"1","3012","3010","575","1","10590","1300004","37","3011","3"
"1","3015","3013","575","1","10590","1300005","37","3014","3"
"1","3018","3016","575","1","10590","1300006","37","3017","3"
"1","3021","3019","575","2","10590","1300007","37","3020","3"
"1","3024","3022","575","2","10590","1300008","37","3023","3"
"1","3027","3025","575","4","10590","1300009","37","3026","3"
"1","3030","3028","575","6","10590","1300010","37","3029","3"
"1","3033","3031","500","1","11820","1300011","38","3032","3"
"1","3036","3034","500","1","11820","1300012","38","3035","3"
