a6726dfd5556198233ca800fc6c005b997a741fba5ee1c18ed3a356d0b16a76a,b4625277fada8d6d86229a8e334a43db7cf146b290dd4f1734a9e7b47d6b19dc,63909434de9d9c5c50263cd4addfa93b97e4cc53798bf4f07d95fb60eca2e809,148523def9de556d0e739da5f7da5bf43b58128f055116f57655213ff21ab0fe,81efd65c56b10ad870f708811e7e6cf18cfecdf6444d2776e4da88d99332f848,f4ae2382e52a100126baab76bab1e1c51278f064ddd154b74cf075bba22e3ecb,207349dab82487ba9842d534df3f1e3465b09e7207473f48294234b5d1d3f4f4,f579a1c978758d4c03f6e724c374e9964baf2a5e1054f00624ec29280a8c9324,9ccec073c41f9bf795f3d62e615ad38482ea8491d9009f426daf4483bf1dd11f,6c617210dc8b6331b3a49b1b2c684e4e4099734e51cc6ae286a6d5b54cfedd2e,fb67f8d0b4799cee4cfa65a6acd458be32720ac055156b4e79b661101bb2fb09,0727a07218188ea856ecfc49a8c950fc4b30cd5db19def658f66c7b233c6f9b1,5c698d787d41558bc08d5a6eb587ea115e1c40f778fefc360e90bc91efc5242f,b4e9eb1baa486cc10d698afc1419d440c19888155e064d071fa4ded14ba69041,7410df490648236a30965797b5cee7b25104f760650b7f78a3f42495a863033a
"10118","フリーマーケット会場","20063115","1","フリーマーケットを訪れたジータが出会ったのは\n城をこっそり抜け出していたペコリーヌだった。","91002","7","青空の下で謁見","2","0","2834","ペコリーヌとの出会い","5118061","40","8"
"10118","フリーマーケット会場","20063115","1","ジータたちがフリーマーケットを巡っていると\n露店を出していたマホに声をかけられる。","91002","7","未来の騎空団\nマスコット？","2","0","2835","マホとの出会い","5118062","40","8"
"10118","ランドソル市街地","20063115","1","ジータが騎空団への依頼を確認していると、\n高笑いをしながらアキノが現れる。","91002","7","お嬢さまからの\n緊急依頼","2","0","2837","アキノとの出会い","5118063","40","8"
"10118","フリーマーケット会場","20063115","1","ジータたちは、フリーマーケット会場で\n少し困った様子のジュンを見かける。","91002","18","黄金色の悩みごと","2","0","4108402","ジュンとの出会い","5118064","40","8"
"10118","フリーマーケット会場","20063115","1","フリーマーケットの隅で開かれる格闘大会──\nそこにはカオリもいて……？","91002","18","白熱！　格闘大会！","2","0","4107402","カオリとの出会い","5118065","40","8"
"10118","オーエド町","20063115","1","太鼓祭を控えるオーエド町──\nジータは、困った様子のニノンと出会う。","91002","16","祭り太鼓はオーエドの華","2","1","9000227","ニノンとの出会い","5118066","40","8"
"10118","フリーマーケット会場","20063115","1","ビカラはイベントに出演中のスズナを見かける。\nしかし、スズナはどこか困っているようで……？","91002","19","人気者は遅れて\nやってくる","3","0","2101181","スズナとの出会い","5118067","40","8"
"10118","ランドソル市街地","20063115","1","ビカラたちが街を散策していると、通りかかった\nナナカが興奮した様子で近づいてきて……？","91002","18","巫女・ミーツ・魔法少女","3","0","4109402","ナナカとの出会い","5118068","40","8"
"10118","フリーマーケット会場","20063115","1","ネズ耳をなくしてしまい絶望するビカラ。同じ頃\nキャルとコッコロは落とし物を拾っており……","91002","18","ネズ耳は二度なくなる","3","0","4305402","キャル＆コッコロとの出会い","5118069","40","8"
"10118","ランドソル市街地","20063115","1","街外れでひと休みをしていたビカラたちは、\nすっかりゴキゲンな様子のユカリと出会う。","91002","18","この出会いにカンパイ！","3","0","4101402","ユカリとの出会い","5118070","40","8"
"10118","ランドソル市街地","20063115","1","ビカラは、人混みに怯えるアオイを心配し、\n陽気に声をかけるも……","91002","18","陰陽アンサンブル","3","0","4106402","アオイとの出会い","5118071","40","8"
"10118","フリーマーケット会場","20063115","1","ビカラがフリーマーケット会場を歩いていると\n占いをしていたシノブに声をかけられる。","91002","7","運試し十番勝負！","3","1","2836","シノブとの出会い","5118072","40","8"
"10118","0","20063115","0","0","0","0","彼女たちの新たな日常","1","0","0","オープニング","5118600","0","0"
