6ad0ef9426119bb68d7665df4e7c68bf400bf250de5fb1f34c293206ee0a3a21,d86c9010d365194eca84662b9d27caede6ec2cd1bf31e506fe43b1cbe0c0953c,f50e2a65b1e89ba9d7b624683677bf03ab90f0da07b59cc233a009ae02cd4e63,fb39572b08cba510f763a56880685061081791a08d454783e0d2aeb8431bd4d3,cb267cc4df627e9695eae7ec00f82f641975acea73dafb819953d9e143fdd3ff,1c761942285b424a314aa90d18c26161c0b5bc359ab7a2c5b67229c8b45ee2d8,3608cee0aa97318c12f82a869471bfdd3eac3c7401916587e0bddf023380c33f,923a020290d224629703e9c09f14d01b372af330aae608d616ba6b84f3e52c21,fe691102879fe9cb18fc971c0d3a6a702d63b1a940aca492a6906df566648c9d,bc57d9990eb128497c8a783b1f4410e0aec49dea4ce81205ea473fec0e1a6bb5
"10590","1100001","32","1","1002","1","575","1001","1","1003"
"10590","1100002","32","1","1005","1","575","1004","1","1006"
"10590","1100003","32","1","1008","1","575","1007","2","1009"
"11820","1100004","33","1","1011","1","500","1010","1","1012"
"11820","1100005","33","1","1014","1","500","1013","1","1015"
"11820","1100006","33","1","1017","1","500","1016","2","1018"
"11820","1100007","33","1","1020","1","500","1019","4","1021"
"13050","1100008","35","1","1023","1","375","1022","1","1024"
"13050","1100009","35","1","1026","1","375","1025","1","1027"
"13050","1100010","35","1","1029","1","375","1028","6","1030"
"10590","1200001","34","1","2002","2","575","2001","1","2003"
"10590","1200002","34","1","2005","2","575","2004","1","2006"
"10590","1200003","34","1","2008","2","575","2007","1","2009"
"10590","1200004","34","1","2011","2","575","2010","1","2012"
"10590","1200005","34","1","2014","2","575","2013","2","2015"
"10590","1200006","34","1","2017","2","575","2016","4","2018"
"10590","1200007","34","1","2020","2","575","2019","6","2021"
"11820","1200008","35","1","2023","2","500","2022","1","2024"
"11820","1200009","35","1","2026","2","500","2025","1","2027"
"11820","1200010","35","1","2029","2","500","2028","1","2030"
"11820","1200011","35","1","2032","2","500","2031","1","2033"
"11820","1200012","35","1","2035","2","500","2034","4","2036"
"11820","1200013","35","1","2038","2","500","2037","6","2039"
"13050","1200014","38","1","2041","2","375","2040","1","2042"
"13050","1200015","38","1","2044","2","375","2043","1","2045"
"13050","1200016","38","1","2047","2","375","2046","1","2048"
"13050","1200017","38","1","2050","2","375","2049","1","2051"
"13050","1200018","38","1","2053","2","375","2052","2","2054"
"13050","1200019","38","1","2056","2","375","2055","4","2057"
"13050","1200020","38","1","2059","2","375","2058","6","2060"
"10590","1300001","37","1","3002","3","575","3001","1","3003"
"10590","1300002","37","1","3005","3","575","3004","1","3006"
"10590","1300003","37","1","3008","3","575","3007","1","3009"
"10590","1300004","37","1","3011","3","575","3010","1","3012"
"10590","1300005","37","1","3014","3","575","3013","1","3015"
"10590","1300006","37","1","3017","3","575","3016","1","3018"
"10590","1300007","37","1","3020","3","575","3019","2","3021"
"10590","1300008","37","1","3023","3","575","3022","2","3024"
"10590","1300009","37","1","3026","3","575","3025","4","3027"
"10590","1300010","37","1","3029","3","575","3028","6","3030"
"11820","1300011","38","1","3032","3","500","3031","1","3033"
"11820","1300012","38","1","3035","3","500","3034","1","3036"
"11820","1300013","38","1","3038","3","500","3037","1","3039"
"11820","1300014","38","1","3041","3","500","3040","1","3042"
"11820","1300015","38","1","3044","3","500","3043","1","3045"
"11820","1300016","38","1","3047","3","500","3046","1","3048"
"11820","1300017","38","1","3050","3","500","3049","2","3051"
"11820","1300018","38","1","3053","3","500","3052","4","3054"
"11820","1300019","38","1","3056","3","500","3055","4","3057"
"11820","1300020","38","1","3059","3","500","3058","6","3060"
"13050","1300021","40","1","3062","3","375","3061","1","3063"
"13050","1300022","40","1","3065","3","375","3064","1","3066"
"13050","1300023","40","1","3068","3","375","3067","1","3069"
"13050","1300024","40","1","3071","3","375","3070","1","3072"
"13050","1300025","40","1","3074","3","375","3073","1","3075"
"13050","1300026","40","1","3077","3","375","3076","1","3078"
"13050","1300027","40","1","3080","3","375","3079","2","3081"
"13050","1300028","40","1","3083","3","375","3082","4","3084"
"13050","1300029","40","1","3086","3","375","3085","6","3087"
"13050","1300030","40","1","3089","3","375","3088","6","3090"
"9360","2100001","29","2","4002","1","700","4001","3","4003"
"9360","2100002","29","2","4005","1","700","4004","5","4006"
"9360","2100003","29","2","4008","1","700","4007","7","4009"
"9360","2100004","29","2","4011","1","700","4010","3","4012"
"9360","2100005","29","2","4014","1","700","4013","5","4015"
"9360","2100006","29","2","4017","1","700","4016","7","4018"
"10590","2100007","30","2","4020","1","575","4019","3","4021"
"10590","2100008","30","2","4023","1","575","4022","5","4024"
"10590","2100009","30","2","4026","1","575","4025","7","4027"
"10590","2100010","30","2","4029","1","575","4028","3","4030"
"9360","2200001","33","2","5002","2","700","5001","3","5003"
"9360","2200002","33","2","5005","2","700","5004","5","5006"
"9360","2200003","33","2","5008","2","700","5007","7","5009"
"9360","2200004","33","2","5011","2","700","5010","3","5012"
"9360","2200005","33","2","5014","2","700","5013","5","5015"
"9360","2200006","33","2","5017","2","700","5016","7","5018"
"9360","2200007","33","2","5020","2","700","5019","3","5021"
"9360","2200008","33","2","5023","2","700","5022","5","5024"
"9360","2200009","33","2","5026","2","700","5025","7","5027"
"9360","2200010","33","2","5029","2","700","5028","3","5030"
"9360","2200011","33","2","5032","2","700","5031","5","5033"
"9360","2200012","33","2","5035","2","700","5034","7","5036"
"10590","2200013","34","2","5038","2","575","5037","3","5039"
"10590","2200014","34","2","5041","2","575","5040","5","5042"
"10590","2200015","34","2","5044","2","575","5043","7","5045"
"10590","2200016","34","2","5047","2","575","5046","3","5048"
"10590","2200017","34","2","5050","2","575","5049","5","5051"
"10590","2200018","34","2","5053","2","575","5052","7","5054"
"10590","2200019","34","2","5056","2","575","5055","5","5057"
"10590","2200020","34","2","5059","2","575","5058","7","5060"
"9360","2300001","33","2","6002","3","700","6001","3","6003"
"9360","2300002","33","2","6005","3","700","6004","5","6006"
"9360","2300003","33","2","6008","3","700","6007","7","6009"
"9360","2300004","33","2","6011","3","700","6010","3","6012"
"9360","2300005","33","2","6014","3","700","6013","5","6015"
"9360","2300006","33","2","6017","3","700","6016","7","6018"
"9360","2300007","33","2","6020","3","700","6019","3","6021"
"9360","2300008","33","2","6023","3","700","6022","5","6024"
"9360","2300009","33","2","6026","3","700","6025","7","6027"
"9360","2300010","33","2","6029","3","700","6028","3","6030"
"9360","2300011","33","2","6032","3","700","6031","5","6033"
"9360","2300012","33","2","6035","3","700","6034","7","6036"
"9360","2300013","33","2","6038","3","700","6037","3","6039"
"9360","2300014","33","2","6041","3","700","6040","5","6042"
"9360","2300015","33","2","6044","3","700","6043","7","6045"
"9360","2300016","33","2","6047","3","700","6046","3","6048"
"9360","2300017","33","2","6050","3","700","6049","5","6051"
"9360","2300018","33","2","6053","3","700","6052","7","6054"
"10590","2300019","34","2","6056","3","575","6055","3","6057"
"10590","2300020","34","2","6059","3","575","6058","5","6060"
"10590","2300021","34","2","6062","3","575","6061","7","6063"
"10590","2300022","34","2","6065","3","575","6064","3","6066"
"10590","2300023","34","2","6068","3","575","6067","5","6069"
"10590","2300024","34","2","6071","3","575","6070","7","6072"
"10590","2300025","34","2","6074","3","575","6073","3","6075"
"10590","2300026","34","2","6077","3","575","6076","5","6078"
"10590","2300027","34","2","6080","3","575","6079","7","6081"
"10590","2300028","34","2","6083","3","575","6082","3","6084"
"10590","2300029","34","2","6086","3","575","6085","5","6087"
"10590","2300030","34","2","6089","3","575","6088","7","6090"
"14280","3100001","39","3","7002","1","340","7001","1","7003"
"14280","3100002","39","3","7005","1","340","7004","1","7006"
"14280","3100003","39","3","7008","1","340","7007","1","7009"
"14280","3100004","39","3","7011","1","340","7010","1","7012"
"14280","3100005","39","3","7014","1","340","7013","1","7015"
"14280","3100006","39","3","7017","1","340","7016","1","7018"
"13050","3100007","36","3","7020","1","375","7019","1","7021"
"13050","3100008","36","3","7023","1","375","7022","1","7024"
"13050","3100009","36","3","7026","1","375","7025","1","7027"
"13050","3100010","36","3","7029","1","375","7028","1","7030"
"14280","3200001","41","3","8002","2","340","8001","1","8003"
"14280","3200002","41","3","8005","2","340","8004","1","8006"
"14280","3200003","41","3","8008","2","340","8007","1","8009"
"14280","3200004","41","3","8011","2","340","8010","1","8012"
"14280","3200005","41","3","8014","2","340","8013","1","8015"
"14280","3200006","41","3","8017","2","340","8016","1","8018"
"14280","3200007","41","3","8020","2","340","8019","1","8021"
"14280","3200008","41","3","8023","2","340","8022","1","8024"
