6be64c4fb2b64fa17f5fc5c9192618883a2592a6a470292e0f70d7059592c10e,66cc4b6905ae0f2c3cd0bd6e47860319c4dfae196d65bd73d5955d3d72fc48fe,1c57dbd22abea88663547f6136b764665818a7a0f6b535de51feed742962e4e9,cbef67b61b480d0019110352ff7c87f4459bb2b77ec297e64ccaa5c1c7ed9e6a,15c71d762745b3629a7afe875bf9fd77f76e939789a1d8237731a0d272037440,ffbf2677d37bf9d42e3651d41b8d55e4fe391a7688c6a4d18a85c0bcca274cfc,d96666b193cc6294685767c9e423737078d2328b7d05a6c4e8c1aa66253e61e7,f1384f9506db3ecc132bc4f8bd252a26414ed009ccbce34ba18d8239c2766972,1c5ee447120d7753d0c2384e14a0039cdca8febf83afad4c89a2caa60b072158
"100101","1","3","1001","4101","100000001","3","0","★を累計3個獲得しよう"
"100102","2","6","1001","4101","100000002","6","0","★を累計6個獲得しよう"
"100103","3","9","1001","4101","100000003","9","1","★を累計9個獲得しよう"
"100104","4","12","1001","4101","100000004","12","0","★を累計12個獲得しよう"
"100105","5","15","1001","4101","100000005","15","0","★を累計15個獲得しよう"
"100106","6","18","1001","4101","100000006","18","0","★を累計18個獲得しよう"
"100107","7","21","1001","4101","100000007","21","1","★を累計21個獲得しよう"
"100108","8","24","1001","4101","100000008","24","0","★を累計24個獲得しよう"
"100109","9","27","1001","4101","100000009","27","1","★を累計27個獲得しよう"
"100110","10","30","1001","4101","100000010","30","0","★を累計30個獲得しよう"
"100111","11","33","1001","4101","100000011","33","0","★を累計33個獲得しよう"
"100112","12","36","1001","4101","100000012","36","1","★を累計36個獲得しよう"
"100113","13","39","1001","4101","100000013","39","0","★を累計39個獲得しよう"
"100114","14","42","1001","4101","100000014","42","0","★を累計42個獲得しよう"
"100115","15","45","1001","4101","100000015","45","1","★を累計45個獲得しよう"
"100116","16","48","1001","4101","100000016","48","0","★を累計48個獲得しよう"
"100117","17","51","1001","4101","100000017","51","1","★を累計51個獲得しよう"
"100118","18","54","1001","4101","100000018","54","0","★を累計54個獲得しよう"
"100201","1","3","1002","4101","100200001","3","0","★を累計3個獲得しよう"
"100202","2","6","1002","4101","100200002","6","0","★を累計6個獲得しよう"
"100203","3","9","1002","4101","100200003","9","1","★を累計9個獲得しよう"
"100204","4","12","1002","4101","100200004","12","0","★を累計12個獲得しよう"
"100205","5","15","1002","4101","100200005","15","0","★を累計15個獲得しよう"
"100206","6","18","1002","4101","100200006","18","0","★を累計18個獲得しよう"
"100207","7","21","1002","4101","100200007","21","1","★を累計21個獲得しよう"
"100208","8","24","1002","4101","100200008","24","0","★を累計24個獲得しよう"
"100209","9","27","1002","4101","100200009","27","1","★を累計27個獲得しよう"
"100210","10","30","1002","4101","100200010","30","0","★を累計30個獲得しよう"
"100211","11","33","1002","4101","100200011","33","0","★を累計33個獲得しよう"
"100212","12","36","1002","4101","100200012","36","1","★を累計36個獲得しよう"
"100213","13","39","1002","4101","100200013","39","0","★を累計39個獲得しよう"
"100214","14","42","1002","4101","100200014","42","0","★を累計42個獲得しよう"
"100215","15","45","1002","4101","100200015","45","1","★を累計45個獲得しよう"
"100216","16","48","1002","4101","100200016","48","0","★を累計48個獲得しよう"
"100217","17","51","1002","4101","100200017","51","1","★を累計51個獲得しよう"
"100218","18","54","1002","4101","100200018","54","0","★を累計54個獲得しよう"
"100301","1","3","1003","4101","100300001","3","0","★を累計3個獲得しよう"
"100302","2","6","1003","4101","100300002","6","0","★を累計6個獲得しよう"
"100303","3","9","1003","4101","100300003","9","1","★を累計9個獲得しよう"
"100304","4","12","1003","4101","100300004","12","0","★を累計12個獲得しよう"
"100305","5","15","1003","4101","100300005","15","0","★を累計15個獲得しよう"
"100306","6","18","1003","4101","100300006","18","0","★を累計18個獲得しよう"
"100307","7","21","1003","4101","100300007","21","1","★を累計21個獲得しよう"
"100308","8","24","1003","4101","100300008","24","0","★を累計24個獲得しよう"
"100309","9","27","1003","4101","100300009","27","1","★を累計27個獲得しよう"
"100310","10","30","1003","4101","100300010","30","0","★を累計30個獲得しよう"
"100311","11","33","1003","4101","100300011","33","0","★を累計33個獲得しよう"
"100312","12","36","1003","4101","100300012","36","1","★を累計36個獲得しよう"
"100313","13","39","1003","4101","100300013","39","0","★を累計39個獲得しよう"
"100314","14","42","1003","4101","100300014","42","0","★を累計42個獲得しよう"
"100315","15","45","1003","4101","100300015","45","1","★を累計45個獲得しよう"
"100316","16","48","1003","4101","100300016","48","0","★を累計48個獲得しよう"
"100317","17","51","1003","4101","100300017","51","1","★を累計51個獲得しよう"
"100318","18","54","1003","4101","100300018","54","0","★を累計54個獲得しよう"
"100401","1","3","1004","4101","100400001","3","0","★を累計3個獲得しよう"
"100402","2","6","1004","4101","100400002","6","0","★を累計6個獲得しよう"
