cf25dc525aaefc26ed7f918540236d142ec4d7ea8b5bf169cd52e4d2aa89f01c,c71de0331aaa2802d42ca21fd0cb738e69dac58562e0760b334b9e02e58fe8b9,acdf2b52dada1ddb2e898f12322124793c74c28f35f8cc1004eff470488be11c,274e4d0476ed830b3afc5e236aa6f8c6411b668c33014a5492f607f47da8f8a7,42b323d6b10eb29a741d20d100fc4718ba528d9a30e8aa025817a6f1f5767805,b8b6a9c09cdde751cf35e2f6257e55f3dc232bb4403bbf6c79e2aa2b02da4962,6c637065c2f1483b182f5b3e06928eb9ca10afa76a1eb6a3d2003445a8e69dc6
"300900","0","0.8","31001","0.8","-10","100721"
"302300","0","0.7","31002","0.7","-40","100722"
"302400","0","0.8","31003","0.8","-40","100261"
"302500","0","0.9","31004","0.9","-20","100283"
"301700","0","0.9","31005","0.9","-10","101611"
"310100","0","0.7","31006","0.7","-40","102174"
"399800","-80","0.3","31007","0.3","-60","102751"
"314901","-20","0.9","31008","0.9","20","103001"
"318405","30","0.7","31009","0.7","-110","103232"
"320100","0","1","31010","1","-10","103371"
