49797028d87a15bb75a15777073ccab9bf35c95b0d03447495f0c172c39dcd6e,8e294a03195703454addc82610f59b26e95e16ffeb58bd0662ceb2b87851bf62,1fce393158a609722dc1997c20390894ca9f60c681ad0d78412ca4b1f673bcfb,b7fb0aee842fc0c66c4c67973b74d8dd15e7a7379d8214d4ef2102461bd30212,f619f800a2a63712eea1c0b83e1574041de89df49dcc039acd21cb65cab4094c,1d28c0644756154850bc10094f0f12ed8ec26e172fe1ac4dce8e44198583f06d,daddc93c71c8d5c6f12f4084f9303934922eb668b343b94c1941e1fef53ead56,da815a1d7aa8611011ca8d090c3158ca5ffcfd28dc3dc99b2503c967c11795e5,5104d416be362b71b236cfa85bf4f39b80d1d2b5ce45d921cdf479689c24204e,afba92e3dc479926b8233fbb854f227906fc6562f3f75ad36c114bbbe7c134d8
"懐かしき過去の結晶","0","0","0","20059104","0","5110601","オープニング","0","10110"
"リーダーはどっちだ！","91002","0","30","20059104","1","5110602","オクトーの追想　その1","8","10110"
"勝ちたい理由","91002","0","30","20059105","1","5110603","オクトーの追想　その2","8","10110"
"聞き上手な誓約女君","91002","0","30","20059108","1","5110604","クリスティーナの追想　その1","8","10110"
"秘めたる本当の実力……？","91002","0","30","20059109","1","5110605","ダイゴの追想　その1","8","10110"
"友と書いてライバルと読む","91002","0","30","20059110","1","5110606","ラビリスタの追想　その1","8","10110"
"悪と正義の高笑い","91002","0","30","20059112","1","5110607","マサキの追想","8","10110"
"プリンセスナイトとは","91002","0","30","20059113","1","5110608","ラジラジの追想　その1","8","10110"
"まだ見ぬ日々に想い馳せて","91002","0","30","20059114","1","5110609","オクトーの追想　その3","8","10110"
"跳躍王のお仕置き","91002","0","30","20060103","1","5111602","ラジラジの追想　その2","8","10111"
"二人なら絶対だって","91002","0","30","20060105","1","5111603","クリスティーナの追想　その2","8","10111"
"虎の尾を踏む","91002","0","30","20060108","1","5111604","ダイゴの追想　その2","8","10111"
"一番怪しい七冠は誰だ","91002","0","30","20060109","1","5111605","ラビリスタの追想　その2","8","10111"
"簡単すぎる問題","91002","0","30","20060110","1","5111606","ネネカの追想","8","10111"
"魔物使いは語る","91002","0","30","20060113","1","5111607","オクトーの追想　その4","8","10111"
"悪党たちの目指す未来","91002","0","30","20060113","1","5111608","オクトーの追想　その5","8","10111"
"過去を超える思い出を","9000222","1","1","0","0","5111609","エンディング","16","10111"
