8ba0b7793b50d8a8845a92cb3bdd67abae55adf5519ab33e0e377a13c15c41ef,f8b31df6036fc0525dc34b31ca233e5334ea5470ebcaa586425b0236f368a923,09227dabaabc233a7d1bb975784f704092dc483199cf867acb8be8438290eb50,475abe440e6978404a1f0b6d7758f76ff23ea50d0240d477d4e7d65d61cf7a2c,12212636e66e2a06fd1f4d09e965a22fbc682f5531cbaeef58092458c21383a6
"3","0","1","111011101","1"
"3","0","1","111021101","1"
"3","0","1","133011101","1"
"5","0","1","133011201","1"
"3","0","1","133020101","1"
"3","1","1","133020201","1"
"3","0","1","133030101","1"
"3","0","1","133030201","2"
"3","0","1","133030301","3"
"3","1","1","133030401","1"
"3","1","1","133030501","2"
"3","1","1","133030601","3"
"3","0","1","133040101","1"
"3","1","1","133040201","1"
"3","2","1","133040301","1"
"3","3","1","133040401","1"
"3","0","1","133051101","1"
"5","0","1","133051201","1"
"3","0","2","134010101","1"
"3","0","2","134010201","3"
"3","0","1","134021101","1"
"5","0","1","134021201","1"
"4","0","2","140010101","1"
"1","1","2","140010201","1"
"1","0","2","140010301","1"
"1","0","1","140020101","3"
