42e0ad0a8f5d5a44fefbd538863e4cbaa0e5168230a28335406c7dfadf641b10,8caece1b8b824e793bb4cad1de513107e5918b822ce20fdbad09525a3fdbde24,98f53ffc31a92b58fb7e000558327886ab2e89ccfc27e731722bc3e9950a3e60,e29e91c9bf75a8ee8ebce52f088e86bcfbc9ee623d0f697f80bcfa539f74fd7a,8d90f162e95be57c7f65395f8bbbaf75ee5f0316e3345a853e2e04002cdb2082,8b2f499a7dd52797d1374c9d1b666f29745ecbb5bca4c7a83baaef6474cef0a6,358ef7039604989e108ccedb6e6cff16d3770d76a6102c966c494c101923385b,7a67a08f86a11e6bbff3630ca56301ee4fcd99d4aa9824670b372f44705ebc69,5f50c6bd44f294e08d10a284c0365dd2aa529a0b744998e5b9b545310faa6393,8180db02824643dbb28fe0cae8816589283c389123e23e08deed87f81c49ded7
"1","10174101","0","ウヅキとリンのメモリー","10174","0","0","0","0","7001"
"2","10174103","0","ニュージェネレーションズのメモリー","10174","0","0","0","0","7002"
"4","10174103","0","ウヅキとミオのメモリー","10174","0","0","0","0","7003"
"6","10174105","0","美食殿のメモリー","10174","0","0","0","0","7004"
"7","10174105","0","リンとミオのメモリー","10174","0","0","0","0","7005"
"8","10174105","0","ニュージェネレーションズのメモリー","10174","0","0","0","0","7006"
"9","10174107","0","ニュージェネレーションズと美食殿のメモリー","10174","0","0","0","0","7007"
"10","10174107","0","美食殿のメモリー","10174","0","0","0","0","7008"
"14","10175105","0","ニュージェネレーションズと美食殿のメモリー","10175","0","0","0","0","7009"
"3","10174103","0","ニュージェネレーションズのメモリー","10174","0","0","0","0","7102"
"5","10174103","0","美食殿のメモリー","10174","0","0","0","0","7103"
"11","10174107","0","ニュージェネレーションズと美食殿のメモリー","10174","0","0","0","0","7104"
"12","10175105","0","ニュージェネレーションズと美食殿のメモリー","10175","0","0","0","0","7105"
"13","10175105","0","ニュージェネレーションズと美食殿のメモリー","10175","0","0","0","0","7106"
"15","10174101","2405","","10174","1","1","0","7","7201"
