d2aa98485c3ca50bde5639b88f6922332e0c87ed15496b282f2c8c5952208046,b354833c8baa8c23a43fd3b6d3674df76cb8dac68e54bab3faaef421baf9c316,0b52b6e3978e515b4810a6533b97e316834c68f691ee156a4aa10690971ab1ec,49bad2109f41e121ed5414ff3e96a990d1ba10b3c6c136ea53d0341ffeeffe7a,8ca437f0281765230504f03d081ac2058276390e394f1a3b5df628bdb96f7bc0,db70b56d52ff6d23b976f37bfb03459e2facfb6dbc1863bad3d8778f921dbaf2,b5cfdf28fe8cc117224b43b7fcf6202ebff5e93dccc5078dbc0dac39ef3dff40,146b11056c0752dc2c8701cd8b9999f15ea1dc9a979fc4cf6ee8f0ff7328bb6d
"2001","0","0","101","短時間、障害物バリアを展開！","0","短時間、障害物バリアを展開する　（ＴＰ上昇率：大）","3"
"3","0","5","102","中時間、スピードとジャンプ小アップ！","5","中時間、スピードとジャンプを　　小アップ（ＴＰ上昇率：小）","5"
"1","0","0","103","短時間、スピード中アップ！","6","短時間、スピードを中アップ　　　（ＴＰ上昇率：中）","4"
"2001","0","0","104","中時間、障害物バリアを展開！","0","中時間、障害物バリアを展開する　（ＴＰ上昇率：小）","5"
"1","0","0","105","中時間、スピード小アップ！","3","中時間、スピードを小アップ　　　（ＴＰ上昇率：小）","6"
"1001","0","0","106","中時間、対戦相手のスピード小ダウン！","4","中時間、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：大）","6"
"3","0","16","107","中時間、スピードとジャンプ特大アップ！","17","中時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：小）","5"
"1","0","0","108","ラウンド中、スピード中アップ！","8","ラウンド中、スピードを中アップ　（ＴＰ上昇率：小）","40"
"1","0","0","109","短時間、スピード特大アップ！","30","短時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","4"
"1001","0","0","110","ラウンド中、対戦相手が大きく減速！","10","ラウンド中、対戦相手のスピードを中ダウン（ＴＰ上昇率：小）","40"
"2001","0","0","111","ごく短時間、障害物バリアを展開！","0","ごく短時間、障害物バリアを　　　展開する（ＴＰ上昇率：大）","1"
"1004","0","0","112","短時間、先頭の対戦相手が大きく減速！","15","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：小）","4"
"1","0","0","113","中時間、スピード小アップ！","5","中時間、スピードを小アップ　　　（ＴＰ上昇率：大）","6"
"2","0","0","114","中時間、ジャンプ小アップ！","5","中時間、ジャンプを小アップ　　　（ＴＰ上昇率：大）","5"
"2002","0","0","115","長時間、バリアで能力ダウンを防ぐ！","0","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：特大）","7"
"1","0","0","116","累積で、スピード小アップ！","3","累積で、スピードを小アップ　　　（ＴＰ上昇率：特大）","25"
"1001","0","0","117","累積で、対戦相手が小さく減速！","3","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","25"
"3","0","20","118","長時間、スピードとジャンプ特大アップ！","30","長時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：中）","7"
"1004","0","0","119","短時間、先頭の対戦相手が大きく減速！","15","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","4"
"2002","0","0","120","長時間、バリアで能力ダウンを防ぐ！","0","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：大）","7"
"2","0","0","121","長時間、ジャンプ特大アップ！","30","長時間、ジャンプを特大アップ　　（ＴＰ上昇率：中）","12"
"1004","0","0","122","累積で、先頭の対戦相手が大きく減速！","15","累積で、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","30"
"4","8","2","123","短時間大きく加速した後、ごく短時間減速！","11","短時間スピード大アップ後、　　　スピードダウン（ＴＰ上昇率：大）","4"
"1","0","0","124","長時間、スピード中アップ！","9","長時間、スピードを中アップ　　　（ＴＰ上昇率：大）","8"
"2001","0","0","125","短時間、障害物バリアを展開！","0","短時間、障害物バリアを展開する　（ＴＰ上昇率：中）","4"
"1001","0","0","126","累積で、対戦相手が小さく減速！","3","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","30"
"1","0","0","127","長時間、スピード特大アップ！","22","長時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","10"
"2","0","0","128","短時間、ジャンプ特大アップ！","30","短時間、ジャンプを特大アップ　　（ＴＰ上昇率：大）","4"
"1001","0","0","129","短時間、対戦相手のスピード特大ダウン！","20","短時間、対戦相手のスピードを　　特大ダウン（ＴＰ上昇率：大）","3"
"1","0","0","130","短時間、スピード特大アップ！","30","短時間、スピードを特大アップ　　（ＴＰ上昇率：大）","4"
