e34d1cd769a1ae42eb94cc35636285dc815a88f32bd976b057e045be4cd8a6c6,9fb735f8215a4c0eb85c57468bb6824da1dd4c6b4b595787120d97bfa43d99a3,ee0e2c8292601cd710db74cd37fb8c91f8e6c91e1a159bc67330da7e105b7e54,38c24b1774f7a59b7d34cff684faaf7b94d420429dbbd0aa8509338d65732be8,b7d8f1a42e1a576dd1392c79ec9bfef3c85ed1835425ca1d717a67829ce93493
"41","26","1","1","1"
"41","101","1","2","2"
"61","61","1","3","3"
"50","82","1","4","4"
"41","21","1","5","5"
"41","108","1","6","6"
"55","79","1","7","7"
"68","57","1","8","8"
"44","28","1","9","9"
"44","97","1","10","10"
"55","47","1","11","11"
"67","68","1","12","12"
"38","10","1","13","13"
"38","119","1","14","14"
"52","90","1","15","15"
"65","28","1","16","16"
"40","25","1","17","17"
"40","101","1","18","18"
"58","65","1","19","19"
"64","36","1","20","20"
"41","25","1","21","21"
"41","86","1","22","22"
"60","40","1","23","23"
"40","16","1","24","24"
"40","115","1","25","25"
"63","28","1","26","26"
"41","28","1","27","27"
"41","96","1","28","28"
"55","70","1","29","29"
"41","33","1","30","30"
"41","83","1","31","31"
"68","57","1","32","32"
"37","36","1","33","33"
"37","82","1","34","34"
"58","82","1","35","35"
"38","27","1","36","36"
"38","102","1","37","37"
"52","39","1","38","38"
"65","62","1","39","39"
"38","28","1","40","40"
"38","93","1","41","41"
"56","54","1","42","42"
"63","28","1","43","43"
"40","39","1","44","44"
"40","115","1","45","45"
"55","21","1","46","46"
"66","60","1","47","47"
"38","15","1","48","48"
"38","76","1","49","49"
"53","58","1","50","50"
"61","36","1","51","51"
"38","28","1","52","52"
"38","89","1","53","53"
"56","23","1","54","54"
"66","67","1","55","55"
"40","31","2","56","56"
"40","89","2","57","57"
"67","42","2","58","58"
"55","61","2","59","59"
"40","21","2","60","60"
"40","93","2","61","61"
"57","61","2","62","62"
"68","44","2","63","63"
"43","21","2","64","64"
"43","101","2","65","65"
"57","56","2","66","66"
"75","108","2","67","67"
"37","30","2","68","68"
"37","83","2","69","69"
"53","39","2","70","70"
"67","24","2","71","71"
"38","25","2","72","72"
"38","91","2","73","73"
"65","83","2","74","74"
"55","65","2","75","75"
"39","21","2","76","76"
"39","93","2","77","77"
"62","26","2","78","78"
"72","107","2","79","79"
"38","36","2","80","80"
"38","86","2","81","81"
"55","50","2","82","82"
"62","25","2","83","83"
"40","24","2","84","84"
"40","86","2","85","85"
"65","46","2","86","86"
"58","69","2","87","87"
