45cd5cc041c50993fdb62159cec449f625c242fa6f8d16250ccd6e78339e8aef,49bdb777ae84ae944368ceef68c8e18102d355bdf9d0ccf27d778e4c85657683,fc89005d919c683836f531c1924ecaff2b71951939eeb897cd06616ce270542b,6a38262be3fded1aa30f79b487d1a15a90456beb9df62df75d88412ffad9ef63,2b255c585f4c037ceb8525f46b2842621a9bc7a29cac211f47c12fd8a2ad01ed,0cb1a46df665f25ee51575f7603317a32ed243cc50b7404751889a7c72c02185,a19791d43f015e4cc15b98acbde2f79b5e2b645f18144734b144f1fe5edcc5bd,6d639b325def9c216fdfb34d07ee419efb2213b68555ca4c59c2e862adee41c0
"1005","1005","2","ＴＰ250アップ","1005","0","0","バトル開始時、味方のＴＰが250アップ"
"1006","1006","2","ＴＰ250アップ","1006","0","0","バトル開始時、味方のＴＰが250アップ"
"1007","1007","2","ＴＰ250アップ","1007","0","0","バトル開始時、味方のＴＰが250アップ"
"1008","1008","2","ＴＰ250アップ","1008","0","0","バトル開始時、味方のＴＰが250アップ"
"100501","100501","1","物理攻撃ダウン90秒","1005","27160000000000","36000","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100502","100502","1","物理攻撃ダウン90秒","1005","26040000000000","36000","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100503","100503","1","物理防御ダウン90秒","1005","25200000000000","36000","バトル開始から90秒間、敵の物理防御力がダウン"
"100504","100504","1","魔法防御ダウン90秒","1005","24360000000000","36000","バトル開始から90秒間、敵の魔法防御力がダウン"
"100505","100505","1","物理攻撃ダウン90秒","1005","23520000000000","36000","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100506","100506","1","物理攻撃ダウン90秒","1005","22400000000000","36000","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100507","100507","1","物理防御ダウン90秒","1005","21560000000000","36000","バトル開始から90秒間、敵の物理防御力がダウン"
"100508","100508","1","魔法防御ダウン90秒","1005","20720000000000","36000","バトル開始から90秒間、敵の魔法防御力がダウン"
"100509","100509","1","物理攻撃ダウン90秒","1005","19600000000000","36000","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100510","100510","1","物理攻撃ダウン90秒","1005","18760000000000","36000","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100511","100511","1","物理攻撃ダウン90秒","1005","17920000000000","36000","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100512","100512","1","物理攻撃ダウン90秒","1005","16800000000000","36000","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100513","100513","1","物理防御ダウン90秒","1005","15960000000000","36000","バトル開始から90秒間、敵の物理防御力がダウン"
"100514","100514","1","魔法防御ダウン90秒","1005","15120000000000","36000","バトル開始から90秒間、敵の魔法防御力がダウン"
"100515","100515","1","物理攻撃ダウン90秒","1005","14280000000000","36000","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100516","100516","1","物理攻撃ダウン90秒","1005","13160000000000","36000","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100517","100517","1","物理防御ダウン90秒","1005","12320000000000","36000","バトル開始から90秒間、敵の物理防御力がダウン"
"100518","100518","1","魔法防御ダウン90秒","1005","11480000000000","36000","バトル開始から90秒間、敵の魔法防御力がダウン"
"100519","100519","1","物理攻撃ダウン90秒","1005","10360000000000","36000","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100520","100520","1","物理攻撃ダウン90秒","1005","9520000000000","36000","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100521","100521","1","物理攻撃ダウン90秒","1005","8680000000000","36000","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100522","100522","1","物理攻撃ダウン90秒","1005","7560000000000","36000","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100523","100523","1","物理防御ダウン90秒","1005","6720000000000","36000","バトル開始から90秒間、敵の物理防御力がダウン"
"100524","100524","1","魔法防御ダウン90秒","1005","5880000000000","36000","バトル開始から90秒間、敵の魔法防御力がダウン"
"100525","100525","1","物理攻撃ダウン90秒","1005","5040000000000","36000","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100526","100526","1","ＴＰ150アップ","1005","3920000000000","36000","バトル開始時、味方のＴＰが150アップ"
"100527","100527","1","無敵10秒","1005","3080000000000","36000","バトル開始から10秒間、味方が無敵状態になる"
"100528","100528","1","物理攻撃ダウン90秒","1005","2240000000000","36000","バトル開始から90秒間、敵の物理攻撃力がダウン"
"100529","100529","1","物理防御ダウン90秒","1005","1120000000000","36000","バトル開始から90秒間、敵の物理防御力がダウン"
"100530","100530","1","魔法防御ダウン90秒","1005","280000000000","36000","バトル開始から90秒間、敵の魔法防御力がダウン"
"100601","100601","1","魔法攻撃アップ90秒","1006","43650000000000","36000","バトル開始から90秒間、味方の魔法攻撃力がアップ"
"100602","100602","1","物理攻撃アップ90秒","1006","41850000000000","36000","バトル開始から90秒間、味方の物理攻撃力がアップ"
"100603","100603","1","物理防御ダウン90秒","1006","40500000000000","36000","バトル開始から90秒間、敵の物理防御力がダウン"
"100604","100604","1","魔法防御ダウン90秒","1006","39150000000000","36000","バトル開始から90秒間、敵の魔法防御力がダウン"
"100605","100605","1","魔法攻撃アップ90秒","1006","37800000000000","36000","バトル開始から90秒間、味方の魔法攻撃力がアップ"
"100606","100606","1","物理攻撃アップ90秒","1006","36000000000000","36000","バトル開始から90秒間、味方の物理攻撃力がアップ"
"100607","100607","1","毎秒ＨＰ回復90秒","1006","34650000000000","36000","バトル開始から90秒間、味方のＨＰが毎秒回復"
"100608","100608","1","物理攻撃アップ90秒","1006","33300000000000","36000","バトル開始から90秒間、味方の物理攻撃力がアップ"
"100609","100609","1","物理攻撃アップ90秒","1006","31500000000000","36000","バトル開始から90秒間、味方の物理攻撃力がアップ"
"100610","100610","1","魔法防御ダウン90秒","1006","30150000000000","36000","バトル開始から90秒間、敵の魔法防御力がダウン"
"100611","100611","1","魔法攻撃アップ90秒","1006","28800000000000","36000","バトル開始から90秒間、味方の魔法攻撃力がアップ"
