9edd4598624eaf0249b7f06e6b38b855ee7ed077360546085d6fd95f96e6bccc,f18a378396ae6a804be03da57ee0aa197a28b64ea3d2c3819ec70f5eca1ecd60,20f6899e6f00ab1323cf1ccc3624cb47b3b00c98185eb9f7dfed0fdb5f24657e,333a1950da86831d36a224c47ecf0f0677a83b2f851337c44c51993afbd0f03f,453a76a6f8e43894419246dbe3e65eafe0b84103044a5e8ceecc289cf41fd377,1ab2ad901b08e01ac29c4154a6608f0cf2ef5225f229b0ae1385b6968477c27a,6e9600b36a4f19f06706f135e27ae7efecaeb5e279daeebc3aee7ace679f47d3,05e23ec9cc146c913d2d93fc073776adb8521d6234c5311e76dc17078d77e31d,d6fa007e31ba5068f3c350802df15689692b450f5bceaab54a27820d9f2ec7e1
"1101001","0","0","21","0","0","600","1101002","0"
"1101002","600","0","22","0","0","2400","1101003","0"
"1101003","-1500","50","20","0","0","1","1","0"
"1101011","0","0","21","0","0","900","1101012","0"
"1101012","700","0","22","0","0","2100","1101013","0"
"1101013","-1500","200","20","0","0","1","1","0"
"1101021","0","0","21","0","0","400","1101022","0"
"1101022","500","0","22","0","0","2000","1101023","0"
"1101023","-1500","350","20","0","0","1","1","0"
"1101031","0","0","21","0","0","1000","1101032","0"
"1101032","900","0","22","0","0","1800","1101033","0"
"1101033","-1500","500","20","0","0","1","1","0"
"1101041","0","0","21","0","0","500","1101042","0"
"1101042","800","0","22","0","0","1600","1101043","0"
"1101043","-1500","750","20","0","0","1","1","0"
"1101101","2","2","1","0","0","1","25","2"
"1102001","-2000","-100","20","0","0","1","1","0"
"1102101","2","10","1","0","0","1","20","2"
"1102102","0","0","10","0","0","2","200000","2"
"1103001","0","0","21","0","0","500","1103002","0"
"1103002","0","0","3","0","0","0","1000","2"
"1202001","3000","0","2","0","0","3","-15","2"
"1204001","30000","0","2","0","0","3","15","1"
"1205001","30000","0","2","0","0","3","10","1"
"1206001","30000","0","2","0","0","3","10","1"
"1207001","30000","0","2","0","0","3","10","1"
"1208001","3000","0","2","0","0","2","15","1"
"1209001","3000","0","2","0","0","1","25","1"
"1210001","3000","0","2","0","0","2","10","1"
"1210002","0","0","21","0","0","3000","1210003","0"
"1210003","30000","0","2","0","0","1","15","1"
"1211001","3000","0","2","0","0","2","-10","1"
"1211002","0","0","21","0","0","3000","1211003","0"
"1211003","30000","0","2","0","0","1","-15","2"
"1213001","30000","0","2","0","0","1","-10","2"
"1213002","30000","0","2","0","0","2","-10","2"
"1214001","1500","0","2","0","0","3","-25","2"
"1216001","3000","0","2","0","0","3","-20","2"
"1218001","30000","0","2","0","0","3","20","1"
"1219001","30000","0","2","0","0","3","15","1"
"1220001","30000","0","2","0","0","3","15","1"
"1221001","30000","0","2","0","0","3","15","1"
"1222001","3000","0","2","0","0","2","20","1"
"1223001","3000","0","2","0","0","1","30","1"
"1224001","3000","0","2","0","0","2","15","1"
"1224002","0","0","21","0","0","3000","1224003","0"
"1224003","30000","0","2","0","0","1","20","1"
"1225001","3000","0","2","0","0","2","-10","1"
"1225002","0","0","21","0","0","3000","1225003","0"
"1225003","30000","0","2","0","0","1","-20","2"
"1227001","30000","0","2","0","0","1","-15","2"
"1227002","30000","0","2","0","0","2","-15","2"
"1228001","1500","0","2","0","0","3","-35","2"
"1229001","30000","0","2","0","0","3","20","1"
"1230001","3000","0","2","0","0","2","20","1"
"1230002","0","0","21","0","0","3000","1230003","0"
"1230003","30000","0","2","0","0","1","50","1"
"1232001","3000","0","2","0","0","3","-25","2"
"1234001","30000","0","2","0","0","3","25","1"
"1235001","30000","0","2","0","0","3","20","1"
"1236001","30000","0","2","0","0","3","20","1"
"1237001","30000","0","2","0","0","3","20","1"
"1238001","3000","0","2","0","0","2","25","1"
"1239001","3000","0","2","0","0","1","35","1"
"1240001","3000","0","2","0","0","2","20","1"
"1240002","0","0","21","0","0","3000","1240003","0"
"1240003","30000","0","2","0","0","1","25","1"
"1241001","3000","0","2","0","0","2","-10","1"
"1241002","0","0","21","0","0","3000","1241003","0"
"1241003","30000","0","2","0","0","1","-25","2"
"1242001","30000","0","2","0","0","1","-20","2"
"1242002","30000","0","2","0","0","2","-20","2"
"1244001","1500","0","2","0","0","3","-75","2"
"1246001","30000","0","2","0","0","3","20","1"
"1247001","30000","0","2","0","0","3","30","1"
"1247002","0","0","21","0","0","3000","1247003","0"
"1247003","3000","0","2","0","0","1","25","1"
"1248001","3000","0","2","0","0","1","75","1"
"1249001","1500","0","2","0","0","3","-90","2"
"2101001","30000","0","2","0","0","2","10","1"
"2102001","30000","0","2","0","0","2","10","1"
"2103001","3000","0","2","0","0","2","-15","2"
"2103002","3000","0","2","0","0","3","-15","2"
"2105001","3000","0","2","0","0","3","-25","2"
"2107001","30000","0","2","0","0","3","25","1"
"2108001","30000","0","2","0","0","3","10","1"
"2109001","30000","0","2","0","0","3","10","1"
"2110001","30000","0","2","0","0","3","10","1"
"2111001","3000","0","2","0","0","2","15","1"
"2112001","3000","0","2","0","0","1","25","1"
"2113001","3000","0","2","0","0","2","10","1"
"2113002","0","0","21","0","0","3000","2113003","0"
"2113003","30000","0","2","0","0","1","25","1"
"2114001","3000","0","2","0","0","2","-10","1"
"2114002","0","0","21","0","0","3000","2114003","1"
"2114003","30000","0","2","0","0","1","-25","2"
"2116001","30000","0","2","0","0","1","-10","2"
"2116002","30000","0","2","0","0","2","-10","2"
"2117001","1500","0","2","0","0","3","-50","2"
"3301001","0","0","21","0","0","300","3301002","0"
"3301002","30","20","20","0","0","2","1","0"
"3301101","1","100","1","0","0","1","0","2"
"3302001","1","40","1","0","0","1","0","2"
"3302002","1","60","1","0","0","1","0","2"
"3303001","1","12","1","0","0","1","0","2"
"3303002","1","28","1","0","0","1","0","2"
"3304001","1","40","1","0","0","1","0","2"
"3304002","1","100","1","0","0","1","0","2"
"3305001","0","0","21","0","0","200","3305011","0"
"3305002","0","0","21","0","0","200","3305012","0"
"3305003","0","0","21","0","0","200","3305013","0"
"3305004","0","0","21","0","0","200","3305014","0"
"3305005","0","0","21","0","0","200","3305015","0"
"3305006","0","0","21","0","0","200","3305016","0"
"3305011","26","15","20","0","30","2","1","0"
"3305012","29","8","20","0","15","2","1","0"
"3305013","30","0","20","0","0","2","1","0"
"3305014","29","-8","20","0","-15","2","1","0"
"3305015","26","-15","20","0","-30","2","1","0"
"3305016","180","0","10","0","0","1","30000","1"
"3305101","1","20","1","0","0","1","0","2"
"3402001","274","29","20","0","0","2","1","0"
"3402101","0","0","11","0","0","2000","500000","3"
"3403001","0","0","21","0","0","200","3403002","0"
"3403002","0","0","10","0","0","1","200000","1"
"4001001","0","0","4","0","0","0","0","3"
"4001002","0","0","1","0","0","0","99999","3"
"4002001","9","9","1","9","9","9","99999","3"
