21291d6ad8f47129936afca081d1f025546ad4908511b3c9c2008cdbd5368f75,23fdc8f615e0f69b524fb188c1bfa69469a1368300daf56748438ab810363a8d,191649f1167acaae42cd2c6af26bbe9814611b1eba6f760592926e8940973528,67141da813a038afb44f3196e4ad470c4e789d9471d045347117b0fb810d0f34,d93441d769ac9cb3c7cee35ca270e167280ac727cd64dc61270cf3dea7c082da,6e46b2e2384a6ff3d77541becb469a97e870a68470e946a94976cbd3fb1d6661,69cf8560d36ea32fca21e4126d6aec3caa0a9f793243b419230c606489cbc421,94e0bad8d4e33148c37247d34ed2d4fdbfb4005afa875ab1537101117a223891,8fd0cda6b0c1d3161b3051cd75b71df7dfb365665d3d021150e5f1751b1d2b2a,1273c0c956c3cc91e65fb095e21b9f87866886fb6817dde7dce0f1761cd61780,1529fa826cb1ed4bc3835bb93167c835093105ad462e59701e4ac9878a37dd65
"","","","1082","","","イ","","","",""
"","","","1107","","","オ","","","",""
"","","","1176","","","","","","ツ",""
"","","","1189","ル","","ー","ホ","","",""
"","","","1192","","","ゥー","","","",""
"","","","1245","","","イ","","","",""
"","","ゃさ","1250","ちそ","","","","","",""
"ナイト","ナイア","ア","2013","メ","ナメア","ト","イ","トメア","ナ","イトメ"
"ランド","ランル","ル","2014","","ドソル","ラ","ソ","ンドル","ン","ラドソ"
"そるの","そるう","う","2015","","そのう","と","","るのと","る","そのと"
"るなう","るなと","の","2016","う","るのう","と","な","のとう","る","なのと"
"ひくう","ひくて","","2017","い","ひてい","う","","くうて","く","ひうて"
"ふゃ","ふゃ","ん","2019","し","ふん","ゃ","","","ふ","しん"
"むしわ","ぎゅわ","ぎ","2020","む","むゅわ","し","わ","ぎしゅ","ゅ","むぎし"
"","E","","2031","","","","","S","",""
"AE","","","2032","","","","","","",""
"","A","","2033","","R","","","","",""
"","E","","2034","","I","","","","",""
"","UA","","2036","","R","","","","",""
"Y","E","","2037","","L","","","","","E"
"I","E","","2038","","L","","","","","V"
"","L","","2040","","I","","","","",""
"","","","2041","","A","","","","",""
"","","","2042","","","","","Y","",""
"","","","2043","","A","","","K","",""
"","","","2045","","A","","","","",""
"","","","2046","","R","","","Q","",""
"","A","","2047","","R","","","","",""
"","","","2048","","A","","","KQ","",""
"","B","","2049","","","","","","",""
"T","U","","2050","","A","","","","",""
"P","EI","","2052","","C","","","","",""
"T","I","","2053","","A","","","","",""
"S","","","2054","","","","","","",""
"","","","2055","","R","","","","",""
"","V","","2056","","","","","","",""
"","","","2058","","WU","","","","",""
"","","","2059","","","","","R","",""
"","","","2060","","","","","R","",""
"","","","2062","","S","","","","",""
"S","A","","2063","","E","","","","","S"
"A","","","2064","","A","","","","",""
"S","A","","2065","","","","","","",""
"","","","2066","","","","","C","",""
"","B","","2067","","","","","","",""
"","I","","2068","","","","","L","",""
"","","","2069","","E","","","C","",""
"","E","","2070","","","","","","","D"
"I","A","","2071","","","","","","","N"
"A","","","2074","","C","","","","",""
"A","","","2077","","A","","","","",""
"","","し","2092","","","","","","ち",""
"ト","ン","","2130","","ァ","","","フ","","ム"
"","","聞聴","2200","わ","","聴言","視","","か",""
"","","ビブ","2201","","","","","","ー",""
"","","ル","2202","","","","","","",""
"","","","2216","鯉","","飯","麦","","",""
"","","","2261","う","","ゅ","し","","",""
"","","","2264","","","","","","ぅ",""
"","","","2266","","","ー","","","",""
"","","き","2295","く","","ふ","ひ","","ん",""
"","","だ","2313","","","","","","",""
"","","","3020","","ナ","","","ル","",""
"","","","3066","","","ェ","フ","","",""
"","","","3068","","","","く","","",""
"","","","3073","が","","","","","",""
"","","生","3084","","","","","","",""
"","","ア","3158","","","","","","",""
"","","","3165","ひ","","","","","",""
"","","か","3187","","","","","","",""
"","","シス","3191","デ","","","","","オ",""
"","","さ","3193","","","","","","ま",""
"","","","3195","","","","","ブ","",""
"","","","3222","ス","","","","","",""
"","","ず","3238","","","","","","",""
"","","帰","3271","","","","","","",""
"","","","3277","","","ク","","","",""
"","","","3318","ア","","","","","",""
"","","し","4029","","","","","","ち",""
"","","","4049","","","","","","X",""
"","","た","4052","","","","","","",""
"","","さ","4077","","","","","","",""
"","","","4154","","","","","","帯",""
"","そ","","4157","","","","","","",""
"","い","","4167","","","","","","",""
"","","","4171","","","","","二","",""
"倍","","","4194","","小","","","","",""
"約","","","4195","","大","","","","",""
"","","","4196","底","","","高","","",""
"","","","4197","","","","","半","",""
"","","く","4203","","","","","","",""
"","","","4220","ウ","","","","","",""
"","","","4222","","","ィ","","","",""
"","","","4247","","","","セ","","",""
"","","","5010","ー","","","","","",""
"","","","5011","ワ","","","","","",""
"ラモ","","","5030","","","","","","","テカ"
"オモ","","","5031","","","","","","","レカ"
"","","","5051","ー","","","","","",""
"","","ら","5066","か","","お","","","",""
"","","","5100","ぶ","","","","","",""
"じ","","","5109","","つ","","","み","","つ"
"タ","ン","","5140","","ウ","","","カ","","ー"
"","","","5147","","","","","","ロ",""
"","","","5160","と","","","","","",""
"戌酉子","戌卯辰","","5193","虎","戌酉卯","牛","","卯辰戌","","卯戌子"
"","","","6060","","","","","","ト",""
"","","","6065","ほ","","","","","",""
"","","ィ","6157","","","","","","",""
"","","","6188","","","","","","","ト"
"","","","6203","ド","","ン","イ","","",""
"","","ジ","6216","ク","","","","","ラ",""
"","ウ","","6227","","ョ","","","チ","",""
