f08a496fedd21a48b545b6a4f9a9a0afdcd0e6c9c3586d555b3801f096b1cb1b,79bed05e3a49a8b1a78320110ee95942e8a245d5802bc50951a73583109b8922,149fd7d0d6ab6a23785ed210474e9fb43770e794fe2147a0337fa86c775523b9,087a61077eeb9db2a7bd625ac8325809a2a421a880ce431af34d97dc9fbc3854,8015cf42f6b9f4bbf1f222cb8dcb81d10044645e4e603500ec05c27d8bcf53e9,934446ff8a5a5f5682911ec380edf2926163ae8f58b1bcf4f709eaafde3c79ac,bb1fa837c30bf44e0e5fe11dd9d9c55ece8b8905ab0921b9b5ec8c07a13b1fc9,5c3d4f4e6d431fffa3a71ed3e48ac51ffa03002156606262091acccc2f049fd0,6b9642cbc4b3d35a17e11924521424a917b08e0835539b4929bab0abb58d7606,4484d9b5cbea3772e3ed4c94e56728e3780a6d2921ad7191d59a34c646f35dbe,7e855265a1db2e0c0140bbc8f9e69a434b84be714d7ee93ddf1539d3fcc24ae5,c1cc083a99a9866882a974466012dbcf6612755dc5bdaac7b39dd5f75778c33b
"0","924073101","92407","1","500000000","92407120","90","1","924072101","924071100","1","92407110"
"92407110","924073102","92407","1","1000000000","92407130","90","2","924072102","924071200","2","92407120"
"92407120","924073103","92407","1","1500000000","92407140","90","3","924072103","924071300","3","92407130"
"92407130","924073104","92407","1","0","0","90","4","924072104","924071400","3","92407140"
"0","924073201","92407","1","500000000","92407220","90","1","924072201","924072100","1","92407210"
"92407210","924073202","92407","1","1000000000","92407230","90","2","924072202","924072200","2","92407220"
"92407220","924073203","92407","1","1500000000","92407240","90","3","924072203","924072300","3","92407230"
"92407230","924073204","92407","1","0","0","90","4","924072204","924072400","3","92407240"
"0","924073301","92407","1","500000000","92407320","90","1","924072301","924073100","1","92407310"
"92407310","924073302","92407","1","1000000000","92407330","90","2","924072302","924073200","2","92407320"
"92407320","924073303","92407","1","1500000000","92407340","90","3","924072303","924073300","3","92407330"
"92407330","924073304","92407","1","0","0","90","4","924072304","924073400","3","92407340"
"0","924083101","92408","1","500000000","92408120","90","1","924082101","924081100","1","92408110"
"92408110","924083102","92408","1","1000000000","92408130","90","2","924082102","924081200","2","92408120"
"92408120","924083103","92408","1","1500000000","92408140","90","3","924082103","924081300","3","92408130"
"92408130","924083104","92408","1","0","0","90","4","924082104","924081400","3","92408140"
"0","924083201","92408","1","500000000","92408220","90","1","924082201","924082100","1","92408210"
"92408210","924083202","92408","1","1000000000","92408230","90","2","924082202","924082200","2","92408220"
"92408220","924083203","92408","1","1500000000","92408240","90","3","924082203","924082300","3","92408230"
"92408230","924083204","92408","1","0","0","90","4","924082204","924082400","3","92408240"
"0","924083301","92408","1","500000000","92408320","90","1","924082301","924083100","1","92408310"
"92408310","924083302","92408","1","1000000000","92408330","90","2","924082302","924083200","2","92408320"
"92408320","924083303","92408","1","1500000000","92408340","90","3","924082303","924083300","3","92408330"
"92408330","924083304","92408","1","0","0","90","4","924082304","924083400","3","92408340"
