2019205f5f469c7df906bcaf392bdd9924f1e35a56f352907cb45b7d00ec556d,ac3dac293fe4bd74e1005d6e20dd9757d1bdd7f2876252b6507ab156c647f580,6997ce03fc77fda8a60047c42004ae5f95cc8b804389c274ecb398c54766faa3,31e90bbc55913a8a461b2b860131408800d3b710d0ac3d96053c58ae4eb4c387,6cd9c5cec31dd3226223d90e3823ea80afad39a1126d8497892e0b196258f5dd,4eb1b072bc5426592698c80aa7110a6b6b74d72a6c542a84a7f7ee67fb5bc246,13cf3b3c079edd64f3ebb5acec6fe37df9f43baf678cf5c83c61a4ccc0e6deec
"10","ボスNORMAL討伐で解放！","72004021","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","107601","20004"
"12","ボスNORMAL討伐で解放！","72005021","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","108001","20005"
"15","ボスNORMAL討伐で解放！","72007021","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","108201","20007"
"17","ボスNORMAL討伐で解放！","72009021","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","108501","20009"
"19","ボスNORMAL討伐で解放！","72010021","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","108901","20010"
"21","ボスNORMAL討伐で解放！","72011021","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","109001","20011"
"22","ボスNORMAL討伐で解放！","72013021","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","109301","20013"
"23","ボスNORMAL討伐で解放！","72015021","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","110101","20015"
"24","ボスNORMAL討伐で解放！","72016021","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","110501","20016"
"25","ボスNORMAL討伐で解放！","72018021","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","111201","20018"
