6f2813cc92ae72b90f582ed6069b397bcbb8ce72fbea08388e9ade5ea627507f,46c308a6e4bbe978c9da5665ee1bfd1c0ac196c9a8f55836a3a8171c7e846285,48333ecfa0ae71e72d260fcf3bc85860df6aad7f8c48e8cc30c86fdb095dfb13,d8c18413f3a2c8fc04d383b3f2dc7273d6ea39d5dd2fed3ec0241a1595e4df5c,fb630e02c29c3cc13b3cfb13e5fa08aad35bf4c605ddd9eaae0516a164c99266,e16c0cd6bf35e9c56725f782f180d0fe0fb5d287486c768490e93cb33ea4d919,d3926b5687dd947d1eea9d31c7b7aa143111f516b05ecbeb3fe23ae941e62300,a5c9f2a02b625bca4bc393faa1e2315dbb3da31b713e9fc19a5f8b10ab4b5fee,a168d6a02612a04ff897914180ee481b1c2260ae3fca37b8719befcf061d2d90,8428eef3ed59f17982383a960c5e219aeb28ad410e431b1189f1cca985c9cdd9,6b5458714ec97f0173cbb2262c13eb2815c0bb318b3920d1f0d399e04cb553c0
"1","1","1010001","850","1","5","-120","100","1","102611","ttk_idle_def"
"2","","1010002","0","1","31","1","0","1","2",""
"1","","1010003","-80","1","31","1","-120","1","1",""
"1","","1010004","","1","93","","","","",""
"vo_minigame_1005","","1010005","0","1","21","","0","","vo_minigame_1005_top_000",""
"102611","0.3","1010006","0","1","3","1","ttk_idle_doya","0.3","ttk_doya",""
"102611","0","1010007","8","1","11","","","0","任された仕事は\nきちんとやるよ",""
"0","","1010008","","1","91","","","","",""
"1","1","1020001","850","2","5","-120","100","1","102611","ttk_idle_def"
"2","","1020002","0","2","31","1","0","1","2",""
"1","","1020003","-80","2","31","1","-120","1","1",""
"1","","1020004","","2","93","","","","",""
"vo_minigame_1005","","1020005","0","2","21","","0","","vo_minigame_1005_top_001",""
"102611","0.3","1020006","0","2","3","1","ttk_idle_def","0.3","ttk_idle_smile",""
"102611","0","1020007","8","2","11","","","0","あたしの前に\n現れたこと\n後悔させてあげる",""
"0","","1020008","","2","91","","","","",""
"1","1","1030001","850","3","5","-120","100","1","102611","ttk_idle_def"
"2","","1030002","0","3","31","1","0","1","2",""
"1","","1030003","-80","3","31","1","-120","1","1",""
"1","","1030004","","3","93","","","","",""
"vo_minigame_1005","","1030005","0","3","21","","0","","vo_minigame_1005_top_002",""
"102611","0.3","1030006","0","3","3","1","ttk_idle_joy","0.1","ttk_joy",""
"102611","0","1030007","8","3","11","","","0","コツをつかめば\n結構楽しいかも\nいや、労働は労働か…",""
"2.2","","1030008","","3","93","","","","",""
"102611","0.3","1030009","1","3","3","","","0.3","ttk_talk_sad",""
"3","","1030010","","3","93","","","","",""
"102611","0.3","1030011","1","3","3","","","0.3","ttk_idle_def",""
"0","","1030012","","3","91","","","","",""
"1","1","1040001","850","4","5","-120","100","1","102611","ttk_idle_def"
"2","","1040002","0","4","31","1","0","1","2",""
"1","","1040003","-80","4","31","1","-120","1","1",""
"1","","1040004","","4","93","","","","",""
"vo_minigame_1005","","1040005","0","4","21","","0","","vo_minigame_1005_top_003",""
"102611","0.3","1040006","0","4","3","1","ttk_idle_shock","0.3","ttk_shock",""
"102611","0","1040007","8","4","11","","","0","ねずみのことなんか\n知りたくないよ\nはぁ…めんどくさい",""
"5","","1040008","","4","93","","","","",""
"102611","0.3","1040009","1","4","3","","","0.3","ttk_idle_def",""
"0.7","","1040010","","4","93","","","","",""
"1","1","1050001","850","5","5","-120","100","1","102611","ttk_idle_def"
"2","","1050002","0","5","31","1","0","1","2",""
"1","","1050003","-80","5","31","1","-120","1","1",""
"1","","1050004","","5","93","","","","",""
"vo_minigame_1005","","1050005","0","5","21","","0","","vo_minigame_1005_top_004",""
"102611","0.3","1050006","0","5","3","","","0.3","ttk_surprise",""
"102611","0","1050007","8","5","11","","","0","うわっ！？\nこっちこないでよ！\nはぁ…チマチマ\n追い払うのは大変だ…",""
"0.9","","1050008","","5","93","","","","",""
"102611","0.3","1050009","1","5","3","","","0.3","ttk_talk_anger",""
"0.8","","1050010","","5","93","","","","",""
"102611","0.3","1050011","0","5","3","1","ttk_talk_sad","0.3","ttk_sad",""
"5","","1050012","","5","93","","","","",""
"102611","0.3","1050013","1","5","3","","","0.3","ttk_idle_def",""
"0","","1050014","","5","91","","","","",""
"1","1","1060001","850","6","5","-120","100","1","102611","ttk_idle_def"
"2","","1060002","0","6","31","1","0","1","2",""
"1","","1060003","-80","6","31","1","-120","1","1",""
"1","","1060004","","6","93","","","","",""
"vo_minigame_1005","","1060005","0","6","21","","0","","vo_minigame_1005_top_005",""
"102611","0.3","1060006","1","6","3","","","0.3","ttk_idle_worry",""
"102611","0","1060007","8","6","11","","","0","こんなことに\n慣れたくないよ…\nでも牧場のためには\nやるしかないか",""
"7","","1060008","","6","93","","","","",""
"102611","0.3","1060009","0","6","3","1","ttk_idle_def","0.3","ttk_amz",""
"0","","1060010","","6","91","","","","",""
