c60acbb9a1da6a7efcb91db8c504aa9157fa91da61af22184544f33e098ea315,4e9b547623f46bdebeaa2975e6ca59d1e6fa4bbbae3207117fbd6cfa75b80f21,709f56e815924c085aa04bcd905347d613ca8515e4ae58603c9923746aa2e7f0,5e1615506fcfc27679af2c123ded525de213385e7fc1c552ce9fa6e381d991aa,2cd30a143507d3a24afef56a68a114d547fc0da4a0033128c696373e6473f2c5
"26999","0","1","1","ひよっこ"
"26999","0","2","1","未熟者"
"26999","0","3","1","稚魚"
"26999","0","4","3","ビギナーランナー"
"26999","0","5","1","赤ちゃん"
"26999","0","6","1","ベイビー"
"26999","0","7","1","小物"
"26999","0","8","1","へっぽこ"
"26999","0","9","1","素人"
"33999","27000","10","1","小魚"
"33999","27000","11","1","初心者"
"33999","27000","12","3","エンジョイランナー"
"33999","27000","13","1","若輩者"
"33999","27000","14","1","ルーキー"
"33999","27000","15","1","ガール"
"33999","27000","16","1","注目株"
"33999","27000","17","1","原石"
"33999","27000","18","2","ニューホープ"
"50399","34000","19","1","探究者"
"50399","34000","20","1","暴れん坊"
"50399","34000","21","1","申し子"
"50399","34000","22","1","奇才"
"50399","34000","23","1","大物"
"50399","34000","24","1","麒麟児"
"50399","34000","25","1","ホープ"
"50399","34000","26","1","新星"
"50399","34000","27","1","逸材"
"59999","50400","28","1","マーメイド"
"59999","50400","29","1","先輩"
"59999","50400","30","1","中級者"
"59999","50400","31","3","ビーチフラッガー"
"59999","50400","32","1","魚"
"59999","50400","33","1","チーフ"
"59999","50400","34","1","キャプテン"
"59999","50400","35","1","一人前"
"59999","50400","36","1","セミプロ"
"59999","50400","37","1","大型新人"
"69999","60000","38","1","流れ星"
"69999","60000","39","1","先生"
"69999","60000","40","1","ドルフィン"
"69999","60000","41","1","職人"
"69999","60000","42","1","レーサー"
"69999","60000","43","1","トゥンヌス"
"69999","60000","44","1","中の中"
"69999","60000","45","2","ビッグネーム"
"69999","60000","46","1","異才"
"69999","60000","47","1","エリート"
"69999","60000","48","1","仕事人"
"69999","60000","49","1","玄人"
"83999","70000","50","1","オルカ"
"83999","70000","51","1","名人"
"83999","70000","52","1","魔術師"
"83999","70000","53","1","師匠"
"83999","70000","54","1","サブマリン"
"83999","70000","55","2","スプリンター"
"83999","70000","56","1","名手"
"83999","70000","57","2","エースランナー"
"83999","70000","58","1","プロ"
"83999","70000","59","1","看板選手"
"83999","70000","60","1","第一人者"
"83999","70000","61","1","ドン"
"99999","84000","62","2","スピードスター"
"99999","84000","63","1","豪傑"
"99999","84000","64","1","プリンセス"
"99999","84000","65","1","女神"
"99999","84000","66","1","マスター"
"99999","84000","67","2","ナンバーワン"
"99999","84000","68","1","寵児"
"99999","84000","69","3","ワイルドグリフォン"
"99999","84000","70","1","ワイバーン"
"99999","84000","71","2","エキスパート"
"99999","84000","72","2","トップランナー"
"119999","100000","73","1","韋駄天"
"119999","100000","74","1","クイーン"
"119999","100000","75","2","チャンピオン"
"119999","100000","76","2","天才ランナー"
"119999","100000","77","3","レコードホルダー"
"119999","100000","78","1","極致"
"119999","100000","79","2","ネプテリオン"
"119999","100000","80","2","シードレイク"
"119999","100000","81","1","女傑"
"119999","100000","82","1","革命家"
"119999","100000","83","2","ビッグスター"
"999999","120000","84","2","ファンタジスタ"
"999999","120000","85","2","スーパースター"
"999999","120000","86","3","ワールドチャンプ"
"999999","120000","87","1","レジェンド"
"999999","120000","88","1","超人"
"999999","120000","89","1","トルペドン"
"999999","120000","90","1","カルキノス"
"999999","120000","91","2","アクアリオス"
"999999","120000","92","1","至宝"
"999999","120000","93","3","グランドマスター"
"999999","120000","94","1","英雄"
"999999","120000","95","1","天下取り"
