dc759c5e236f60075123d6ee5b43eaa10aec27ebf5838cf456214896e95e797f,e05238411750f5328c32db2ab414461c9e03359aec82cde34b037bf4db7b001a,d2447f9d7b4bfad752059935bd7b6e9ff8de2fda816c656484281a9d51868c1b,9005cb319a608a6e382c891454beb8422dd22c553c2a3a454408bc6dd346e399
"1","1","スロウ","8"
"2","2","ヘイスト","8"
"3","3","麻痺","8"
"4","4","凍結","8"
"5","5","束縛","8"
"6","6","睡眠","8"
"7","7","スタン","8"
"8","8","石化","8"
"9","9","拘留","8"
"0","10","拘留(ダメージ)","9"
"1","11","毒","9"
"2","12","火傷","9"
"3","13","呪い","9"
"0","14","魅了","11"
"-1","15","暗闇","12"
"-1","16","沈黙","13"
"-1","17","即死","30"
"-1","18","ノックバック","3"
"1","19","混乱","11"
"4","20","猛毒","9"
"-1","21","千里眼","56"
"-1","22","回復阻害","59"
"-1","23","恐慌","61"
"-1","24","刻印付与","60"
"-1","25","畏怖","62"
"-1","26","トナカイ化","69"
"10","27","気絶","8"
"5","28","呪詛","9"
"-1","29","ＨＰ変化","70"
"11","30","時間停止","8"
"-1","31","ＨＰ回復量減少","76"
"-1","32","弱体被ダメージ上昇","78"
"1","33","行動時毒ダメージ","79"
"14","34","スタン（別枠）","8"
"7","35","毒（別枠）","9"
"8","36","呪い（別枠）","9"
"2","37","混乱（別枠）","11"
"13","38","結晶化","8"
"1","39","スロウ(加算可能)","83"
"2","40","ヘイスト(加算可能)","83"
"3","41","バフ消去","49"
"10","42","バリア消去","49"
"9","43","黒炎","9"
"2","44","ヘイストフィールド","99"
"1","45","スロウフィールド","99"
"20","46","バフ消去（指定）","49"
"5","47","殴り刻印（攻撃ヒット）","101"
"10","48","行動時界雷ダメージ","79"
"9","49","状態異常時間延長","112"
"1","50","執着状態","116"
"15","51","アラクネ拘束","117"
"3","52","操糸","11"
