68340317f2f67c709f0fe6b21ff3f0c5b75fb463e44d4600085f04250ada514d,bd874854e8d7aac731e5dc8970e6f148e3d529a8f91402d059c632466f4c5c2d,4ba348e6e78c8e16b401965a424b3af0e23e334e0fa2cf43d70c70a5aad008ff,f0ed32a061744c5f872ad0419750c545147abd7a31d6fdc84653f32675f346d7,015e9c2b8fe33bc722909aa5f24a55f110fa1ba141c34002272e203ae10b0577,bdb06a1a4b1492136fbb32a551d86fd4ac0a182e07991789875fc331281600b1,41f6aab4e444cb31a270a2101b7ee6c262f97f254ee0c86c61c3ea3ad627af6b,82e29c9aa2f4f6b864ae001c8c46178be675259ff945644fbbfb21bac55a0674,a49e369c985568ab91621231f8d75d05bcd17439dd4a0b9df2b69fe21b23c660,c82a781624dcda187550db7bd62fabc33702d210c79d6c13ad22c76badbf1554,364f9c5099f9ce5701bfcb462bb64ed2cce567c1703c1e3d424528ac0e423ca5,833611033f1fb9e5916275edd7fa3b6f0eaf1267af4fa22ae92475dcc8b39d2d,0de200e70f883065ea9d2ec02a565fd477d57370eae966d81f9b3eb993d3a273,02e4e5d7dd4c50126c6fd9478e42baaed8fc2cbd2ea2104965b723651438d6bc,4ca3c12e00c56272415e52021f9930d8538d326314ba9865a70e48555d4a7c2a,d33fe3bfbc5e271956fc90156bd1563c1d232639f84ba7086b04b07ab6cea41b,c001e711a4c138d357387666575c0e16aff5a1fe293fb2e6a9e4f988a928a691,ecaabfdfa39626baea22749d30cbd50cb517445fefadc64abccd303ec62f4ba3,4ad1919d6d55b4ba2911b60976e68b3b8a5410c0fbfd3fe5cdba7ebb1cdc67c5
"50","0","1","80","0","0","1002200","2","0","1","0","0","94002","2000000","12","2","23001","20004","50"
"100","0","2","80","0","0","1002200","2","0","51","0","0","94002","1600000","12","2","23001","20004","40"
"200","0","3","60","0","0","1002200","2","0","101","0","0","94002","1400000","12","2","23001","20004","40"
"500","0","4","60","0","0","1002200","2","0","201","0","0","94002","1200000","12","2","23001","20004","35"
"1000","0","5","40","0","0","1002200","2","0","501","0","0","94002","1000000","12","2","23001","20004","35"
"1500","0","6","40","0","0","1002200","2","0","1001","0","0","94002","800000","12","2","23001","20004","30"
"2000","0","7","40","0","0","1002200","2","0","1501","0","0","94002","600000","12","2","23001","20004","25"
"3000","0","8","80","0","0","1002200","2","0","2001","0","0","94002","600000","12","2","23001","20003","25"
"5000","0","9","60","0","0","1002200","2","0","3001","0","0","94002","400000","12","2","23001","20003","20"
"10000","0","10","40","0","0","1002200","2","0","5001","0","0","94002","300000","12","2","23001","20003","15"
"100000","0","11","20","0","0","1002200","2","0","10001","0","0","94002","200000","12","2","23001","20003","10"
"200000","0","12","12","0","0","1002200","2","0","100001","0","0","94002","100000","12","2","23001","20003","5"
"300000","0","13","8","0","0","1002200","2","0","200001","0","0","94002","80000","12","2","23001","20003","5"
"400000","0","14","5","0","0","1002200","2","0","300001","0","0","94002","60000","12","2","23001","20003","5"
"-1","0","15","3","0","0","1002200","2","0","400001","0","0","94002","50000","12","2","23001","20003","5"
