5baab8496a14171adc2a4d86afe82ed2c1972499464fda2eeab5d22cce970b60,2a3c5b796391d31da848c0039bd8d25c35ab1b99793d60ac89db5f24075b6eab,5c1b05485e0815fd148b27970de119505dfba16e5c23c512298c93f086fafe1d,030b1f65eed6dea8648ff04dfc18cb0227a20859d1a4d7b5bce931f96bfc283a,a62ba4b997f27dd0143d60730a1bffe597327549f8fd91db91aa7bfa99c39dc1,b556e421d75ae0964fd606197b7365e54c456972edd6901b30f7865eb8aae021,a5c5b6315d05bf025f110bd828ab660487014fdd6d29eb288f7f236fb89e18c4,2f64a4d80a2fe9e4e69bc43b80130734ce6a4dbff3eff16e8e28a286a1909529,be22df550a1a38a7fd164c33668120022a09de671c6e4f89669cf39ad2f8c2e9,519d00883834063354f68f387e17de2a91b30b6320ad6392156e01b27892ca98,f045942f9591b754a5614b0341b4192d3882146cf7f690dab7371c5618656be7
"1.8","0","-225","idle_normal","100","-278","105811","5146061","1","1","61001"
"1.8","0","-225","idle_normal","101","-278","1058","5146061","6","5","61002"
"1.8","0","-385","kokkoro_idle_normal","103","-288","105911","5146061","1","1","61003"
"1.8","0","-385","kokkoro_idle_normal","104","-288","1059","5146061","3","5","61004"
"1.8","1","290","idle_normal","106","-278","106011","5146061","1","1","61005"
"1.8","1","290","idle_normal","107","-278","1060","5146061","4","5","61006"
"","","","","","","200","5146061","105811","13","61007"
"","","","","","","203","5146061","105911","13","61008"
"","","","","","","206","5146061","106011","13","61009"
"0.85","0","0","idle","15","-174","7","5146061","7","5","61010"
"1","0","290","empty","210","8","201","5146061","20","5","61011"
"1","0","0","empty","211","-78","202","5146061","20","5","61012"
"1","0","-315","empty","210","16","203","5146061","20","5","61013"
"1","0","0","empty","60","153","21","5146061","21","5","61014"
"1","","0","","0","1","1","5146061","1","31","61015"
"0","","-57.7","","0","1","2","5146061","2","31","61016"
"0","","0","","0","1","10","5146061","10","31","61017"
"0","","0","","0","1","11","5146061","11","31","61018"
"","","","","","","0","5146061","0","91","61019"
"","","","","0","","0","5146061","0","102","61020"
"","","","","","","0","5146061","1","93","61021"
"0.2","0","doya_talk_shy","","0","1","doya_in_shy","5146061","106011","3","61022"
"0.2","0","doya_talk_shy","","0","1","doya_in_shy","5146061","1060","3","61023"
"","","0","","0","","vo_apg_0101","5146061","vo_apg","21","61024"
"0","0","1","0","10","1","ジェットコースター乗車中の\n魔法の写真撮影サービス？\nフン、人の無防備な写真勝手に撮って、\n後で売り付けよーとかくだらないわ！","5146061","106011","11","61025"
"","","","","","","","5146061","0","91","61026"
"","","","","","","1","5146061","2","32","61027"
"","","","","","","fade105_in","5146061","2","37","61028"
"","","","","","","0","5146061","106011","4","61029"
"","","","","","","0","5146061","1060","4","61030"
"0.5","","","","1","","sad_idle_dere_shy","5146061","106011","3","61031"
"0.5","","","","1","","sad_idle_dere_shy","5146061","1060","3","61032"
"","","0","","0","","vo_apg_0102","5146061","vo_apg","21","61033"
"0","","","","0","","0102_in","5146061","201","3","61034"
"","","","","","","1","5146061","4.6","93","61035"
"0","","","","0","","0102_mid","5146061","201","3","61036"
"","","","","","","","5146061","","92","61037"
"0","","","","0","","0102_out","5146061","201","3","61038"
"","","","","","","0","5146061","0.2","93","61039"
"0.2","0","kyaru_smile_idle","","0","1","kyaru_smile_in","5146061","106011","3","61040"
"0.2","0","kyaru_smile_idle","","0","1","kyaru_smile_in","5146061","1060","3","61041"
"","","0","","0","","vo_apg_0103","5146061","vo_apg","21","61042"
"0","","","","0","","0103_in","5146061","201","3","61043"
"","","","","","","1","5146061","5.4","93","61044"
"0","","","","0","","0103_mid","5146061","201","3","61045"
"","","","","","","","5146061","","92","61046"
"0","","","","0","","0103_out","5146061","201","3","61047"
"","","","","","","0","5146061","0.2","93","61048"
"","","","","","","fade105_out","5146061","2","37","61049"
"","","","","","","1","5146061","105811","4","61050"
"","","","","","","1","5146061","1058","4","61051"
"0.2","","","","1","","surprise_talk","5146061","105811","3","61052"
"0.2","","","","1","","surprise_talk","5146061","1058","3","61053"
"","","0","","0","","vo_apg_0104","5146061","vo_apg","21","61054"
"0","0","1","0","10","1","……キャルちゃん、\n写真写りたくないんですかね…？","5146061","105811","11","61055"
"","","","","","","","5146061","0","91","61056"
"0.2","","","","1","","surprise_idle_talk1R","5146061","105811","3","61057"
"0.2","","","","1","","surprise_idle_talk1R","5146061","1058","3","61058"
"0.2","","","","1","","kokkoro_surprise_talk","5146061","105911","3","61059"
"0.2","","","","1","","kokkoro_surprise_talk","5146061","1059","3","61060"
"","","0","","0","","vo_apg_0105","5146061","vo_apg","21","61061"
"0","0","1","0","10","1","はい。\nどうやらそのようでございます","5146061","105911","11","61062"
"","","","","","","","5146061","0","91","61063"
"0.2","","","","1","","kokkoro_idle_normal","5146061","105911","3","61064"
"0.2","","","","1","","kokkoro_idle_normal","5146061","1059","3","61065"
"0.2","","","","1","","idle_normal_talk1R","5146061","105811","3","61066"
"0.2","","","","1","","idle_normal_talk1R","5146061","1058","3","61067"
"","","","","","","0","5146061","105811","4","61068"
"","","","","","","0","5146061","1058","4","61069"
"","","","","","","1","5146061","106011","4","61070"
