582f7de602a0a7a19d8ce1929265f3ed3d641bd1e743396d27e2ff5bd22b11a0,a1f61ec7792960e6492ef331623870e83c57820c7ba837f6868d2cf5f11e03a2,1b9108599b03d9dd7d2d914743c2e1c3478998c1da7c3c0a904e1ab67d0e7c09,6890fc85eb8f4f809d1c663a4091563b2917ad662a3bc215daadd519cd961eb2,5115481eefbfe495c71f1eba9d44ec1e65b27bae99bcc6eb7bf5e5dfa3cff3cd,4a3af104ba4688f5b97f55d445d177e3cb13b7d669c355908f7f11277ca34c04
"おまかせ","1","2020-02-15 15:00:00","1","1",""
"デフォルト","2","2020-02-15 15:00:00","2","2",""
"アニバーサリー","3","2020-02-15 15:00:00","3","3",""
"ピンク","1","2020-02-15 15:00:00","4","4",""
"レッド","1","2020-02-15 15:00:00","5","5",""
"イエロー","1","2020-02-15 15:00:00","6","6",""
"グリーン","1","2020-02-15 15:00:00","7","7",""
"ライトブルー","1","2020-02-15 15:00:00","8","8",""
"ブルー","1","2020-02-15 15:00:00","9","9",""
"パープル","1","2020-02-15 15:00:00","10","10",""
"グレー","1","2020-02-15 15:00:00","11","11",""
