3b0cbf489a8593f5f17641fafef21bf8f7dd401682c67f212c9e7ef066bc0273,a8d44bbabe89ef3f728d86383cd99bdecbd9ada26807021221b1fd07dac6ea56,319972355f072b92dfa55903a35a7d9a25b5c852f47f342f497b0a23a0c35df6,736ffc47c1540c99c91085475f4e66683a1489c2631f3af9c89ae47300928a6a,a97847e08288fbfe0174a573236134cb3d865e6a4d2a43b91d04e5b5948bf472,4bb9cd676b08cd691f59c91ec234d4a8ad0bd3f8cbda4cb3efd035b895c9bb0c,6f0f5fcfeb239d0781fefec18f1ade07ab3025b45fa4d864501f7833271bdaec,987f3963a2879c12e19353fcd7d49ff3c8d058dca4e2ac4fac8c20540c32bf07,9362f8ffd64aee5c373427cd8516b2c24fe183411cc42911b771f3c96ce3cb9d,9c0677aaaa305305b5b720c2c4473159938aff955802bb5aa9a459a7b86ec9df,453e602069b6a2bfc1b33983c6a9958a0a29c95281237bbe9470eb580e029d39,af9fe9e3424bff7b7a22548b77866e00b0fbc0ce298f6095457d4e8a06914b5e,8f63a10f51435b37420bb87bfbd851d09cfc7b184697f39f9935d3f27ee01663,6744ae3d97f4463b4da3660bf34adc0f35565aa754b61e07b770b8a807b7ee6a
"1.5","2","1.7","0","100000","0","10","1005001","0","-30","0","30","0","10050"
"1.5","1","1.7","0","100000","-40","0","1005001","10050101","25","0.03","-17","1","10050"
"1.5","3","1.7","0","100000","-23","10","1005001","0","-47","0","-32","0","10050"
"1.5","2","1.7","0","100000","0","10","1005002","0","-30","0","30","0","10050"
"1.5","1","1.7","0","100000","-40","0","1005002","10050201","25","0.03","-17","1","10050"
"1.5","3","1.7","0","100000","-23","10","1005002","0","-47","0","-32","0","10050"
"1.5","2","1.7","0","100000","0","10","1005003","0","-30","0","30","0","10050"
"1.5","1","1.7","0","100000","-40","0","1005003","10050301","25","0.03","-17","1","10050"
"1.5","3","1.7","0","100000","-23","10","1005003","0","-47","0","-32","0","10050"
"1.5","2","1.7","0","100000","0","10","1005004","0","-30","0","30","0","10050"
"1.5","1","1.7","0","100000","-40","0","1005004","10050401","25","0.03","-17","1","10050"
"1.5","3","1.7","0","100000","-23","10","1005004","0","-47","0","-32","0","10050"
"1.5","2","1.7","0","100000","0","10","1005005","0","-30","0","30","0","10050"
"1.5","1","1.7","0","100000","-40","0","1005005","0","25","0.03","-17","1","10050"
"1.5","3","1.7","0","100000","-23","10","1005005","0","-47","0","-32","0","10050"
"1.5","2","1.7","0","100000","0","10","1007701","0","-30","0","30","0","10077"
"1.5","1","1.7","0","100000","-40","0","1007701","10077101","25","0.03","-17","1","10077"
"1.5","3","1.7","0","100000","-23","10","1007701","0","-47","0","-32","0","10077"
"1.5","2","1.7","0","100000","0","10","1007702","0","-30","0","30","0","10077"
"1.5","1","1.7","0","100000","-40","0","1007702","10077201","25","0.03","-17","1","10077"
"1.5","3","1.7","0","100000","-23","10","1007702","0","-47","0","-32","0","10077"
"1.5","2","1.7","0","100000","0","10","1007703","0","-30","0","30","0","10077"
"1.5","1","1.7","0","100000","-40","0","1007703","10077301","25","0.03","-17","1","10077"
"1.5","3","1.7","0","100000","-23","10","1007703","0","-47","0","-32","0","10077"
"1.5","2","1.7","0","100000","0","10","1007704","0","-30","0","30","0","10077"
"1.5","1","1.7","0","100000","-40","0","1007704","10077401","25","0.03","-17","1","10077"
"1.5","3","1.7","0","100000","-23","10","1007704","0","-47","0","-32","0","10077"
"1.5","2","1.7","0","100000","0","10","1007705","0","-30","0","30","0","10077"
"1.5","1","1.7","0","100000","-40","0","1007705","0","25","0.03","-17","1","10077"
"1.5","3","1.7","0","100000","-23","10","1007705","0","-47","0","-32","0","10077"
"0.92","1","0.84","0","100000","-50","10","1008801","10088101","-25","0.03","-13","1","10088"
"0.8","2","0.7","0","100000","-50","0","1008801","0","-25","0","13","0","10088"
"0.92","1","0.84","0","100000","-50","10","1008802","10088201","-25","0.03","-13","1","10088"
"0.8","2","0.7","0","100000","-50","0","1008802","0","-25","0","13","0","10088"
"0.92","1","0.84","0","100000","-50","10","1008803","10088301","-25","0.03","-13","1","10088"
"0.8","2","0.7","0","100000","-50","0","1008803","0","-25","0","13","0","10088"
"0.92","1","0.7","0","100000","-50","10","1008804","10088401","-30","0.03","-17","1","10088"
"0.8","2","0.6","0","100000","-50","0","1008804","0","-30","0","30","0","10088"
"0.92","1","0.7","0","100000","-50","10","1008805","0","-30","0.03","-17","1","10088"
"0.8","2","0.6","0","100000","-50","0","1008805","0","-30","0","30","0","10088"
"1.5","2","1.7","0","100000","0","10","2002901","0","-30","0","30","0","20029"
