d4a5ec10fdbaf305ef340b5efd40d8946f487493628ff162717d899c47216b9d,2d672d1007973f7f959b9a3b834483652266fe54d8de5c3bed43d4fe8bf5dd9a,11d46a9c2453270c2173ad9c0860e9e81e1d17d4e11548a48e0b5808bd6c917c,d5984c47c6076b12ee909eb0a3eb3887bd48b71f12d9d8b9cb5b722538247b23,ea52f129ad5e01d9f43f96d071a719f452cc405875305edae12f0f70e06057dd,38afb6566198ba00b90c7e99471f47f828b05fde9a894a7a31d5d6c8c0212547,67ca770ffeb7c81dfc8923e1a5112fe9619060769b98cabd5b7524f8ede54730,4f8e2cf7d751bb2bbbc4c080897d59cd309f61a9ef8557afcf9871aab4cd1a32,789027dd9c1a37b3d317b1cdf6b9b27275cd60f90dee5ad5a6812ed9090d19dc,e9700a7737fe5c17f8cd5949c69824df588676dc4ad1a7aa76f4fbd14eb351fb,8b1ef3d18b9baa54bb9b3dbd292325e20c949312adb4ede87731ddef751ca0f1
"1","1","1","129811","drama_idle","167","100","1001","1.65","1","-224"
"1","0","1","129911","drama_idle","-49","100","1002","1.65","1","-224"
"1","","3","drama_idle","","","1","1003","0.2","129811",""
"1","0","3","drama_talk_arm_crossed_in","","drama_talk_arm_crossed_loop","0","1004","0.2","129911","1"
"1","","21","vo_minigame_1013_top_talk_1_000","","0","0","1005","","vo_minigame_1013",""
"1","0","11","魔物がいくらでも\n湧いてくるのなら、\n戦う相手に困りません\nむしろ好都合ですわね","0","1","6","1006","0","129911","0"
"1","","91","","","","","1007","","0",""
"1","","3","drama_idle_arm_crossed","","","1","1008","0.2","129911",""
"1","0","3","drama_talk_doya_in_smile","","drama_talk_doya_loop_smile","0","1009","0.2","129811","1"
"1","","21","vo_minigame_1013_top_talk_1_001","","0","0","1010","","vo_minigame_1013",""
"1","0","11","ははっ…\nそんな扱いになると\n魔物も少し気の毒に\n思えちまうな～","0.3","1","6","1011","0","129811","0"
"1","","91","","","","","1012","","0",""
"1","","3","drama_idle_arm_crossed","","","1","1013","0.2","129811",""
"1","0","3","drama_talk_smile_in","","drama_talk_smile_loop","0","1014","0.2","129911","1"
"1","","21","vo_minigame_1013_top_talk_1_002","","0","0","1015","","vo_minigame_1013",""
"1","0","11","訓練の糧になれるなら\n彼らも光栄でしょう\nクスクス…喜びの声が\n聞こえてくるようです","0.5","1","5","1016","0","129911","0"
"1","","91","","","","","1017","","0",""
"1","","3","drama_idle","","","1","1018","0.2","129911",""
"1","","3","drama_idle","","","1","1019","0.2","129811",""
"2","1","1","129811","drama_idle","167","100","2001","1.65","1","-224"
"2","0","1","129911","drama_idle","-49","100","2002","1.65","1","-224"
"2","","3","drama_idle","","","1","2003","0.2","129911",""
"2","","3","drama_talk_admire_in","","drama_talk_admire_loop","0","2004","0.2","129811","1"
"2","","21","vo_minigame_1013_top_talk_2_000","","0","0","2005","","vo_minigame_1013",""
"2","0","11","こうして兵士が大勢\n集まると、壮観だな\n訓練兵とは思えない\n迫力ってやつがあるよ","0.5","1","7","2006","0","129811","0"
"2","","91","","","","","2007","","0",""
"2","","3","drama_idle_admire","","","1","2008","0.2","129811",""
"2","","3","drama_talk_arm_crossed_in","","drama_talk_arm_crossed_loop","0","2009","0.2","129911","1"
"2","","21","vo_minigame_1013_top_talk_2_001","","0","0","2010","","vo_minigame_1013",""
"2","0","11","そんな彼らを従えて\n教育するのが私たち…\n期待に応え、全力で\nしつけてあげましょう","0.3","1","5","2011","0","129911","0"
"2","","91","","","","","2012","","0",""
"2","","3","drama_idle_arm_crossed","","","1","2013","0.2","129911",""
"2","","3","drama_talk_guts2_in","","drama_talk_guts2_loop","0","2014","0.2","129811","1"
"2","","21","vo_minigame_1013_top_talk_2_002","","0","0","2015","","vo_minigame_1013",""
"2","0","11","エリコの教官姿も、\nしっかり決まってるし\nよ～しっ、あたしも\n負けてられねえぜ！","0.3","1","8","2016","0","129811","0"
"2","","91","","","","","2017","","0",""
"2","","3","drama_idle","","","1","2018","0.2","129811",""
"2","","3","drama_idle","","","1","2019","0.2","129911",""
"3","1","1","129811","drama_idle","167","100","3001","1.65","1","-224"
"3","0","1","129911","drama_idle","-49","100","3002","1.65","1","-224"
"3","","3","drama_idle","","","1","3003","0.2","129811",""
"3","","3","drama_talk_thinking","","","1","3004","0.2","129911",""
"3","","21","vo_minigame_1013_top_talk_3_000","","0","0","3005","","vo_minigame_1013",""
"3","0","11","実際に魔物と対峙し、\nその体に刃を打ち込む\n訓練もこの感触が\nあってこそですわね","0.8","1","5","3006","0","129911","0"
"3","","91","","","","","3007","","0",""
"3","","3","drama_idle_thinking","","","1","3008","0.2","129911",""
"3","","3","drama_talk_sad_in","","drama_talk_sad_loop","0","3009","0.2","129811","1"
"3","","21","vo_minigame_1013_top_talk_3_001","","0","0","3010","","vo_minigame_1013",""
"3","0","11","相変わらず物騒な\n物言いしてるけど…\nま、理屈よりまず実践\nって教え方もありか","0.5","1","7","3011","0","129811","0"
"3","","91","","","","","3012","","0",""
"3","","3","drama_idle_sad","","","1","3013","0.2","129811",""
"3","","3","drama_talk_arm_crossed_in","","drama_talk_arm_crossed_loop","0","3014","0.2","129911","1"
"3","","21","vo_minigame_1013_top_talk_3_002","","0","0","3015","","vo_minigame_1013",""
