e05c735c342d6fa064e5ec7e41b4ead166d50ab5ed7239eb317ce06009ea991d,fc0d0b43aa4b3fc63c80764ba32b47c32e7b1b32bf1c9f016bed5f74e8694268,00ac02f8daf5ceb2a3a22c3820998ec5e01d9f25eb6572881fe815fb77ffd6db,4eb41becd40edeff2e54377ccb4328aa35c78e7e888c15dfbdb6e9d8ee1563c0,1e54fdfbfef597d25342ac043b0061fd041afa9ffb31517b7312f5c232ec42fe,4abebaf170da98a0a6b1ac292929edae20d2db3e39ac6551bc5c7cfd711a3f99,0ca171c65d529c272cf38800d3e443d6b31bd592d033b86f00163e6c427a31a2
"1","1","9999999","0","50","0","50"
"2","2","9999999","0","20","0","80"
"3","3","2000","0","70","0","30"
"3","4","5000","30","30","0","40"
"3","5","10000","40","0","20","40"
"3","6","15000","40","0","30","30"
"3","7","20000","40","0","35","25"
"3","8","25000","40","0","40","20"
"3","9","30000","40","0","45","15"
"3","10","35000","40","0","50","10"
"3","11","40000","35","0","55","10"
"3","12","45000","35","0","60","5"
"3","13","50000","30","0","65","5"
"3","14","55000","30","0","70","0"
"3","15","60000","25","0","75","0"
"3","16","65000","20","0","80","0"
"3","17","70000","15","0","85","0"
"3","18","75000","10","0","90","0"
"3","19","80000","5","0","95","0"
"3","20","9999999","0","0","100","0"
