4b31c6c3286ba6b0c5d0f32be5108e0cb546d3ff535dd8606d5ab7eda3ee7c93,bf5d91c1fea80e9be5efa657f8b12624df7a4e737625e82bc3968a596ce94a5f,7324f02a18db283775f8275b61a027e50edc9d38dd5022873b014d57e5450f10,41f9241576482e1702a1ae7bc6ea724709bf58fb90582ee40e74de48dca6d03b,04366a96ab83b11214861828d664b8ab6c8333e89c2da4fe8b35af0c528420de,04187945c46f607e80b0e60bc42b89525be57d309d030b135bbf2321051b7358,3e2e984bd7a94942e9969f3370ad41d36d44f80d19bb79453058c2cfc12b4a41,389961c8b75aea5cbc4b0ae41179061a37e73198e13a9e71222ad690541031a1,3b15480e2d3f1f592dceeff35d0bf720d9b5b95a21c75cda9745794f7181d335,95bd1c8f7102600eda2c8a5462afe88b5dc16d647a8c20c3e9808a06eed3329e,a5844f27eef8f436296650c54fa8f80e17222142643ca6e9135d8b0cbb8f4fac,29b57f7c7c3d97998604355ebfe5e9024b163f48315479d77ea0d18edc79feef,2aeabb336c734a4c44abbf67da2c14eabc7f48fb12c3ace0664444e25969aeda,89550f3bb4662e77697c89bba360855c37d3fca46c1fcc7c96ea039385b7cf7c,bec4e668d1f710ccb0d0af3bce523bd63bfaaf832c1a9d0e042bf95cb4699880,0c8ff88ffb064742b5bfe64437f4331510148301dd7c11ccb2df13573bbbe270,f85547ce622480303587678650da3cf25c8581607e04c1749d7c3e69351e87f7,6108c6c392332adeab4b973a5ef96c0ef508a3774f35229b40a816de65d1d7d1
"2","91002","1","150","2","20","12","20003","0","94002","8","5","150000","0","0","22003","1","5"
"2","91002","2","145","2","15","12","20003","0","94002","8","9","100000","0","0","22003","6","2"
"2","91002","3","140","2","11","12","20003","0","94002","8","19","80000","0","0","22002","10","5"
"2","91002","4","130","2","10","12","20003","0","94002","8","29","80000","0","0","22002","20","5"
"2","91002","5","120","2","9","12","20003","0","94002","8","39","70000","0","0","22002","30","4"
"2","91002","6","110","2","8","12","20003","0","94002","8","49","70000","0","0","22002","40","4"
"2","91002","7","100","2","7","12","20003","0","94002","8","99","60000","0","0","22002","50","3"
"2","91002","8","80","2","2","12","20003","0","94002","8","499","40000","0","0","22002","100","2"
"2","91002","9","50","2","7","12","20002","0","94002","8","999","20000","0","0","22002","500","1"
"2","91002","10","20","2","4","12","20002","0","94002","8","4999","16000","0","0","22001","1000","3"
"2","91002","11","15","2","3","12","20002","0","94002","8","9999","9000","0","0","22001","5000","2"
"2","91002","12","10","2","8","12","20001","0","94002","8","11999","4000","0","0","22001","10000","1"
"2","91002","13","5","2","7","12","20001","0","94002","8","13999","3000","0","0","22001","12000","1"
"2","91002","14","4","2","6","12","20001","0","94002","8","14999","2000","0","0","22001","14000","1"
"2","91002","15","3","2","5","12","20001","0","94002","8","30000","1800","0","0","22001","15000","1"
