59e08fdfddc62ca2787a6fed62d5002f177f2998e08cd7853ac17558c5a19588,02a641e79fa8fefa5db680237692fa29364f3ed067ca2ec2c240f7d2131fdf87,e0a4e06e634c1b8476012c2f3abb0b2b7ce5910808b3fbb8b6c0bfd1525ad556,7f22ce9c1c1a68c15da0f244eb1aae78f79a02d243fb077fa530ca60601d8c8d,29b957e873c875864013e27e76b096c061d0d9a1fd9967f07d7740bb13ef6bbf,1258f41e45bfc9fdf99b7f64af564449ccd7541359d414d42de7f69b17116bf1,71a2f77f38eaf0e896d274650abfe272a4cbe12d1d93fad921e479884c09bce7,6064c024010391882d36067e3d2acdc5a384effb1e8a78f5c728c19c4aa26054,91b0f41e218495d9d8ab910f658a3ac312cb8259a68e4c6f88e24c3ea48953da,b9601274e33c2c8076db84d607126f657071fc5fba36aee3e5e6170930cd9413,a5251edab99f0beccb0459e5cfce8f1e75b55dc67824de0159f52f24cd053683,a3e0ac4b0617425e0ca216dce42bfc61d5816c68a09ea671bb1e846b97b4e36c,f70fde646819b358d920a3cdc99b7dfe75e2938ec860980dfcb9e6858251786c
"Lost Princess","20","1","1","2018-10-18 15:00:00","","-1","","-1","A2001197329/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-01/1361481742?app=itunes","ろすとぷりんせす"
"Connecting Happy！！","17","2","2","2018-10-18 15:00:00","","-1","","-1","A2001197334/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-02/1361483195?app=itunes","こねくてぃんぐはっぴー"
"旅の始まり","20","3","3","2018-10-18 15:00:00","","-1","","1000","","","","たびのはじまり"
"森を駆ける風","20","4","4","2018-10-18 15:00:00","","-1","","1000","","","","もりをかけるかぜ"
"メサルティム","20","5","5","2018-10-18 15:00:00","","-1","","1000","","","","めさるてぃむ"
"ハツネのプレゼント大作戦","20","6","6","2018-10-18 15:00:00","","-1","","1000","","","","はつねのぷれぜんとだいさくせん"
"ジズ","20","7","7","2018-10-18 15:00:00","","-1","","1000","","","","じず"
"Smiley Contrast","20","8","8","2018-10-18 15:00:00","","-1","","1500","A2001305115/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-04/1411112401?app=itunes","すまいりーこんとらすと"
"ミノタウロス","20","9","9","2018-10-18 15:00:00","","-1","","1000","","","","みのたうろす"
"リトル・リリカル・アドベンチャーズ","20","10","10","2018-10-18 15:00:00","","-1","","1000","","","","りとるりりかるあどべんちゃーず"
"アルマ","20","11","11","2018-10-18 15:00:00","","-1","","1000","","","","あるま"
"リトルアドベンチャー","18","12","12","2018-10-18 15:00:00","","-1","","1500","A2001336697/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-05/1436280052?app=itunes","りとるあどべんちゃー"
"グラットン","20","13","13","2018-10-18 15:00:00","","-1","","1000","","","","ぐらっとん"
"トリックオアプリン！約束のハロウィンパーティー","20","14","14","2018-10-18 15:00:00","","-1","","1000","","","","とりっくおあぷりんやくそくのはろうぃんぱーてぃー"
"ジャック・オー・プリン","17","15","15","2018-10-18 15:00:00","","-1","","1000","","","","じゃっくおーぷりん"
"もっと！ふたりのパ～ティ～ナイト","20","16","16","2018-10-18 15:00:00","","-1","","1500","A2001411119/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-07/1450772144?app=itunes","もっとふたりのぱーてぃーないと"
"耀う氷の結晶","20","17","17","2018-10-18 15:00:00","","-1","","1000","","","","かがようこおりのけっしょう"
"Shining Future","20","18","18","2018-11-19 15:00:00","","3010003","","1500","A2001253711/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-03/1386518679?app=itunes","しゃいにんぐふゅーちゃー"
"風への誓い","20","19","19","2018-11-19 15:00:00","","3010003","","1500","A2001253711/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-03/1386518679?app=itunes","かぜへのちかい"
"君の笑顔が見たいから","18","20","20","2018-11-19 15:00:00","","3010003","","1500","A2001305115/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-04/1411112401?app=itunes","きみのえがおがみたいから"
"アマノジャクハート！","18","21","21","2018-11-19 15:00:00","","1054007","","1500","A2001336697/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-05/1436280052?app=itunes","あまのじゃくはーと"
"不穏な空気と立ち向かう闘志","20","22","22","2018-11-19 15:00:00","","-1","","1000","","","","ふおんなくうきとたちむかうとうし"
"ツインピッグス","20","23","23","2018-11-19 15:00:00","","-1","","1000","","","","ついんぴっぐす"
"ヴァンパイアハンターwithイリヤ","20","24","24","2018-11-19 15:00:00","","-1","","1000","","","","ヴぁんぱいあはんたーうぃずいりや"
"ガルグ","20","25","25","2018-11-19 15:00:00","","-1","","1000","","","","がるぐ"
"Peaceful*ちゃんぷるー","20","26","26","2018-11-19 15:00:00","","-1","","1500","A2001552686/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-09/1474199447?app=itunes","ぴーすふるちゃんぷるー"
"レサトパルト","20","27","27","2018-11-19 15:00:00","","-1","","1000","","","","れさとぱると"
"トワイライトブレイカーズ","20","28","28","2018-11-19 15:00:00","","-1","","1000","","","","とわいらいとぶれいかーず"
"オラム","20","29","29","2018-11-19 15:00:00","","-1","","1000","","","","おらむ"
"サイツヨでしょ、でしょ？","20","30","30","2018-11-19 15:00:00","","-1","","1500","A2001502066/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-08/1465192235?app=itunes","さいつよでしょでしょ"
"氷海の地","20","31","31","2018-11-19 15:00:00","","-1","","1000","","","","ひょうかいのち"
"氷と雪の世界","20","32","32","2018-12-19 15:00:00","","-1","","1000","","","","こおりとゆきのせかい"
"爽やかな風","20","33","33","2018-12-19 15:00:00","","-1","","1000","","","","さわやかなかぜ"
"カルキノス","20","34","34","2018-12-19 15:00:00","","-1","","1000","","","","かるきのす"
"デンジャラスバカンス！渚のグルメプリンセス","20","35","35","2018-12-19 15:00:00","","-1","","1000","","","","でんじゃらすばかんすなぎさのぐるめぷりんせす"
"テンタパス","20","36","36","2018-12-19 15:00:00","","-1","","1000","","","","てんたぱす"
"えがおのマイホーム","20","37","37","2018-12-19 15:00:00","","-1","","1500","A2001197334/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-02/1361483195?app=itunes","えがおのまいほーむ"
"サジタリウス","20","38","38","2018-12-19 15:00:00","","-1","","1000","","","","さじたりうす"
"忘却のキャロル","20","39","39","2018-12-19 15:00:00","","-1","","1000","","","","ぼうきゃくのきゃろる"
"フォギー","20","40","40","2018-12-19 15:00:00","","-1","","1000","","","","ふぉぎー"
"Ding Dong Holy Night♪","20","41","41","2018-12-19 15:00:00","","-1","","1500","A2001411119/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-07/1450772144?app=itunes","でぃんどんほーりーないと"
"険しき乾荒原","20","42","42","2019-01-18 15:00:00","","-1","","1000","","","","けわしきかんこうげん"
"オルレオン","20","43","43","2019-01-18 15:00:00","","-1","","1000","","","","おるれおん"
"タマキとミフユの無人島0ルピ生活","20","44","44","2019-01-18 15:00:00","","-1","","1000","","","","たまきとみふゆのむじんとうぜろるぴせいかつ"
"島クジラ","20","45","45","2019-01-18 15:00:00","","-1","","1000","","","","しまくじら"
"キンキラ☆ハピネス！","18","46","46","2019-01-18 15:00:00","","-1","","1500","A2001372582/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-06/1444266694?app=itunes","きんきらはぴねす"
"新たな船出","20","47","47","2019-01-18 15:00:00","","-1","","1000","","","","あらたなふなで"
"アルゲティ","20","48","48","2019-01-18 15:00:00","","-1","","1000","","","","あるげてぃ"
"新春トゥインクルクライシス！","20","49","49","2019-01-18 15:00:00","","-1","","1000","","","","しんしゅんとぅいんくるくらいしす"
"邪餅神ガミィ","20","50","50","2019-01-18 15:00:00","","-1","","1000","","","","じゃへいしんがみぃ"
"TwinkleStars","20","51","51","2019-01-18 15:00:00","","-1","","1500","A2001612987/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-10/1483895284?app=itunes","とぅいんくるすたーず"
"酷熱の砂漠","20","52","52","2019-02-15 15:00:00","","-1","","1000","","","","こくねつのさばく"
"メデューサ","20","53","53","2019-02-15 15:00:00","","-1","","1000","","","","めでゅーさ"
"黒鉄の亡霊（ナイトメア）","20","54","54","2019-02-15 15:00:00","","-1","","1000","","","","くろがねのないとめあ"
"リビングメイル","20","55","55","2019-02-15 15:00:00","","-1","","1000","","","","りびんぐめいる"
"Aloofness Code","20","56","56","2019-02-15 15:00:00","","-1","","1500","A2001372582/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-06/1444266694?app=itunes","あるーふねすこーど"
"Absolute Secret","20","57","57","2019-02-15 15:00:00","","2008015","","1500","A2001452543/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-lost-princess-%E3%82%88%E3%81%86%E3%81%93%E3%81%9D%E7%BE%8E%E9%A3%9F%E6%AE%BF%E3%81%B8/1458052782?app=itunes","あぶそりゅーとしーくれっと"
"アクアリオス","20","58","58","2019-02-15 15:00:00","","-1","","1000","","","","あくありおす"
"バトルオブバレンタイン！想いぶつかるスウィートバトル","20","59","59","2019-02-15 15:00:00","","-1","","1000","","","","ばとるおぶばれんたいんおもいぶつかるすうぃーとばとる"
"アグリーラブリー","20","60","60","2019-02-15 15:00:00","","-1","","1000","","","","あぐりーらぶりー"
"SUPER CHOCOLATE","20","61","61","2019-02-15 15:00:00","","-1","","1500","A2001502066/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-08/1465192235?app=itunes","すーぱーちょこれーと"
"砂海の中のオアシス","20","62","62","2019-03-19 15:00:00","","-1","","1000","","","","さかいのなかのおあしす"
"不思議な森","20","63","63","2019-03-19 15:00:00","","-1","","1000","","","","ふしぎなもり"
"トルペドン","20","64","64","2019-03-19 15:00:00","","-1","","1000","","","","とるぺどん"
"王都の名探偵　嘆きの追跡者（ストーカー）","20","65","65","2019-03-19 15:00:00","","-1","","1000","","","","おうとのめいたんていなげきのすとーかー"
"嘆きの女神","20","66","66","2019-03-19 15:00:00","","-1","","1000","","","","なげきのめがみ"
"未解決な想い","20","67","67","2019-03-19 15:00:00","","-1","","1500","A2001552686/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-09/1474199447?app=itunes","みかいけつなおもい"
"ロボリマ来襲！王都滅亡までのカウントダウン","20","68","68","2019-04-19 15:00:00","","-1","","1000","","","","ろぼりまらいしゅうおうとめつぼうまでのかうんとだうん"
"ロボリマ","20","69","69","2019-04-19 15:00:00","","-1","","1000","","","","ろぼりま"
"ロボリマ~終焉~","20","70","70","2019-04-19 15:00:00","","-1","","1000","","","","ろぼりましゅうえん"
"アストルムに咲く双輪の華","20","71","71","2019-04-19 15:00:00","","-1","","1000","","","","あすとるむにさくそうりんのはな"
"コア・ギガース","20","72","72","2019-04-19 15:00:00","","-1","","1000","","","","こあぎがーす"
"Crossing Destiny","20","73","73","2019-04-19 15:00:00","","-1","","1500","","","","くろっしんぐでぃすてぃにー"
"岩峰に潜むもの","20","74","74","2019-05-17 15:00:00","","-1","","1000","","","","がんほうにひそむもの"
"ショーグン道中記　白翼のサムライ","20","75","75","2019-05-17 15:00:00","","-1","","1000","","","","しょーぐんどうちゅうきはくよくのさむらい"
"アクダイカン","20","76","76","2019-05-17 15:00:00","","-1","","1000","","","","あくだいかん"
"白翼のグローリエ","20","77","77","2019-05-17 15:00:00","","-1","","1500","A2001612987/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-10/1483895284?app=itunes","はくよくのぐろーりえ"
"火山の麓","20","78","78","2019-06-18 15:00:00","","-1","","1000","","","","かざんのふもと"
"厳烈なる荒地","20","79","79","2019-06-18 15:00:00","","-1","","1000","","","","げんれつなるあれち"
"怠惰の狂人","20","80","80","2019-06-18 15:00:00","","-1","","1000","","","","たいだのきょうじん"
"鼓の音響く森","20","81","81","2019-07-18 15:00:00","","-1","","1000","","","","つづみのおとひびくもり"
"スズナレインボーステージ！","20","82","82","2019-07-18 15:00:00","","-1","","1000","","","","すずなれいんぼーすてーじ"
"雨神様","20","83","83","2019-07-18 15:00:00","","-1","","1000","","","","あまがみさま"
"背伸びFirst Kiss","20","84","84","2019-07-18 15:00:00","","-1","","1500","A2001629618/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-11/1488880119?app=itunes","せのびふぁーすときす"
"お兄ちゃん争奪！　シズルのお手伝い","20","85","85","2019-08-15 15:00:00","","-1","","1000","","","","おにいちゃんそうだつしずるのおてつだい"
"お兄ちゃん争奪！　エリコのお手伝い","20","86","86","2019-08-15 15:00:00","","-1","","1000","","","","おにいちゃんそうだつえりこのおてつだい"
"真夏のマホマホ王国 波打ち際のソウルサマー！","20","87","87","2019-08-15 15:00:00","","-1","","1000","","","","まなつのまほまほおうこくなみうちぎわのそうるさまー"
"マジムン","20","88","88","2019-08-15 15:00:00","","-1","","1000","","","","まじむん"
"We Are Golden","20","89","89","2019-08-15 15:00:00","","-1","","1500","A2001629618/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-11/1488880119?app=itunes","うぃーあーごーるでん"
"クウカ大回転","20","90","90","2019-09-16 15:00:00","","-1","","1000","","","","くうかだいかいてん"
"森の臆病者と聖なる学舎の異端児","20","91","91","2019-09-16 15:00:00","","-1","","1000","","","","もりのぼっちとせいなるがくしゃのりせえんぬ"
"オオドクマンドラゴラ","20","92","92","2019-09-16 15:00:00","","-1","","1000","","","","おおどくまんどらごら"
"なかよしセンセーション","20","93","93","2019-09-16 15:00:00","","-1","","1500","A2001640446/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-12/1491288056?app=itunes","なかよしせんせーしょん"
"不穏の根を踏み越えて","20","94","94","2019-10-16 15:00:00","","-1","","1000","","","","ふおんのねをふみこえて"
"カオリのマブイ式空手道場","20","95","95","2019-10-16 15:00:00","","-1","","1000","","","","かおりのまぶいしきからてどうじょう"
"リトル・ブレイブ・ハロウィンナイト！","20","96","96","2019-10-16 15:00:00","","-1","","1000","","","","りとるぶれいぶはろうぃんないと"
"ファントムバロン","20","97","97","2019-10-16 15:00:00","","-1","","1000","","","","ふぁんとむばろん"
"トリックホリック","20","98","98","2019-10-16 15:00:00","","-1","","1500","A2001640446/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-12/1491288056?app=itunes","とりっくほりっく"
"泥濘む森の先へ","20","99","94","2019-11-15 15:00:00","","-1","","1000","","","","ぬかるむもりのさきへ"
"大激戦！しりとりドラゴンズ","20","100","95","2019-11-15 15:00:00","","-1","","1000","","","","だいげきせんしりとりどらごんず"
"ドラゴンエクスプローラーズ","20","101","96","2019-11-15 15:00:00","","-1","","1000","","","","どらごんえくすぷろーらーず"
"ドラゴンもどき","20","102","97","2019-11-15 15:00:00","","-1","","1000","","","","どらごんもどき"
"in flames","20","103","98","2019-11-15 15:00:00","","-1","","1500","A2001716909/","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-14/1509394849?app=itunes","いんふれいむず"
"新たなる力への試練","20","104","104","2019-12-20 15:00:00","","-1","","1000","","","","あらたなるちからへのちょうせん"
