bb96ac412d3a9ead4fe480dd4fd99271b756fe81482a1c3d6664c8454bdfc017,b097dc1d3adb3c95362d4e88768637206796b8816d2dca63c4926c7b5df10df7,e400b9e669d6a23e3d6e5ea287a830b4b41e82b13d33d2db671500830829e379,dc2cf6607773ab865e54a9a0849ebd57e7f97bff61885d85bc6d4ec109bad0a2,e8ed96a7dc24a0959f4ac9388ff70784f70163826e8f94dfb7a4839920738336,343a222647e02a59885d6acf4340de2fbafdf4a20e448f0f6bc5ac0ab0adafcb,6c6012043095fc507ef69304a0ce931aa3561d17df9f5063380c99aa72c1daf3,6b517bb56bb87f5f2cec024ba1f42d4317b38ee0d1cf4b4fc51724da430ad6e0
"104","111","1","3","4","2","200","5"
"14","211","1","3","4","2","2","5"
"103","311","1","3","4","2","2","5"
"102","411","1","3","4","2","2","5"
"104","511","1","3","4","2","200","5"
"1","611","1","3","4","2","250","5"
"101","711","1","3","4","2","3","5"
"100","811","1","3","4","2","3","5"
"104","911","1","3","4","2","200","5"
"1","1011","1","3","4","2","250","5"
"3","1111","1","3","4","2","250","5"
"5","1112","1","3","4","2","250","5"
"6","1211","1","3","4","2","150","5"
"7","1212","1","3","4","2","150","5"
"104","1311","1","3","4","2","200","5"
"103","1411","1","3","4","2","2","5"
"102","1511","1","3","4","2","2","5"
"1","1611","1","3","4","2","250","5"
"104","1711","1","3","4","2","200","5"
"2","1811","1","3","4","2","500","5"
"4","1812","1","3","4","2","500","5"
"101","1911","1","3","4","2","3","5"
"100","2011","1","3","4","2","3","5"
"104","2111","1","3","4","2","200","5"
"1","2211","1","3","4","2","250","5"
"100","2311","1","3","4","2","3","5"
"101","2411","1","3","4","2","3","5"
"104","2511","1","3","4","2","200","5"
"2","2611","1","3","4","2","500","5"
"4","2612","1","3","4","2","500","5"
"6","2711","1","3","4","2","150","5"
"7","2712","1","3","4","2","150","5"
"2","2811","1","3","4","2","500","5"
"4","2812","1","3","4","2","500","5"
"104","2911","1","3","4","2","200","5"
"3","3011","1","3","4","2","250","5"
"5","3012","1","3","4","2","250","5"
"100","3111","1","3","4","2","3","5"
"101","3211","1","3","4","2","3","5"
"104","3311","1","3","4","2","200","5"
"100","3411","1","3","4","2","2","5"
"104","3511","1","3","4","2","200","5"
"103","3611","1","3","4","2","1","5"
"102","3711","1","3","4","2","1","5"
"2","3811","1","3","4","2","250","5"
"4","3812","1","3","4","2","250","5"
"102","3911","1","3","4","2","1","5"
"104","4011","1","3","4","2","200","5"
"100","4111","1","3","4","2","2","5"
"6","4211","1","3","4","2","150","5"
"7","4212","1","3","4","2","150","5"
"104","4311","1","3","4","2","200","5"
"103","4411","1","3","4","2","1","5"
"104","4511","1","3","4","2","200","5"
"101","4611","1","3","4","2","2","5"
