9aa5ba00393f0cc06223551a35842bd1d87aa96a16b5848463d889d3aed2ac6d,a509183a8a780f8930e12672644941298a4ac94ed071a193975456d8de7eb16d,e2ca2c9b5fde253e5654e1b6a6cb296ef128c0c49c1037f780ebf7e4f5f96b01,94124cca73cb50e6b6bd4feeb86f916e98f2aef28b0abec8fab1e0b0ddcde8e3,b57985bd8e3f80af9477371adb95ea0c65540b05c9ba5164456de079ea5213d6,2a2c46028b52e0219c648f4082ccf5c9d5876dae239ec14b9228a152151cf3ce,1eb77183aa86bedf1167e4e3c14bb1cf83f2a8b2a94099293ab62e80a9abf003,08905cc846a9e77578f718081535a5d5c9809fea2663a9c151798c0a17325690,76f6d61931138834fc935540c7a86993493d291bea3c76cd119f980a04a920d3,4869217d0a40865a97883150ab8e4a50349489191ee974507d7e29875f6e4c3c,1a5dea95d598d69c7309282ea3262406649f958492ba516ab33f3f3adb73c7e3,3a99b73c725e5de41079f5dd34fe1b293cb70d92eaf510ce674cb7755694e839
"2","24005","1","80001_3","1","80001","80001_1","80000","0","1","80001_2","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 1）"
"2","24006","1","80002_3","1","80002","80002_1","80000","0","1","80002_2","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 2）"
"2","24007","1","80003_3","1","80003","80003_1","80000","0","1","80003_2","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 3）"
"2","24008","1","80004_3","1","80004","80004_1","80000","0","1","80004_2","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 4）"
"2","24009","1","80005_3","1","80005","80005_1","80000","0","1","80005_2","★3確定 プリコネフェス記念ガチャチケット"
"2","24010","1","80006_3","1","80006","80006_1","80000","0","1","80006_2","★3確定 プリコネフェス2022記念ガチャチケット"
"2","24011","1","80007_3","1","80007","80007_1","80000","0","1","80007_2","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 1"
"2","24012","1","80008_3","1","80008","80008_1","80000","0","1","80008_2","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 2"
"2","24013","1","80009_3","1","80009","80009_1","80000","0","1","80009_2","★3確定アニメガチャチケット プリンセスコネクト！Re:Dive Season2 3"
"2","24014","1","80010_3","1","80010","80010_1","80000","0","1","80010_2","★3確定 プリコネフェス2023記念ガチャチケット"
"2","24015","1","80011_3","1","80011","80011_1","80000","0","1","80011_2","★3確定 5周年記念ガチャチケット"
"2","24016","1","80012_3","1","80012","80012_1","80000","0","1","80012_2","★3確定 スタートダッシュガチャチケット"
"2","24017","1","80013_3","1","80013","80013_1","80000","0","1","80013_2","★3確定 プリコネフェス2024記念ガチャチケット"
