008c2ca211bab731f4309710744ffa4568d3d1d193d0783d12bb40dc213b585a,4862ac5b019b46f0d919729d2c72fa6e122ce744ae558b31f9f0f3520d0e4f3e,757241e94daf85b74a94678dead36bd4539a3eb836f76fc5dad7d850f88f0ab1,ae1326afbf035bb068e7ce4f17c9f4515d2d8484b84397dac3b282ee4196e3af,308ea1e89c63998fcc664c83b1082f99023dc6f2d3ac5b3fc774fa4145a3222c,866de5ea8d6a732707bbc1d1a5ec4324fb8a2d2ab0efcef2c65b1a2c0a40a078,09b943bc531301af01a7612e0333970cf1ba08d86080b70dfb3c03839b18b03c,d066f1e8ac26a604f6590a98ed06f2323f95847ac40f9b4f73c9571a318cba04,76d3024cb0c6007a5dda2096eef98bb3d334794dba69e3ae118e888fa92827e9,771ac77e4b5066cb25584995a02953838ae625fddb270e87cb6fe517997052fe,ff7189930a0934f6c1b5d6981e53ee324fb718bf3d52b9a760f51189be1c4fab,478b6db898bdf781f7d0acbd73587a73a1a6e33dc43ca466bdbf2bf31522cbba,c3565051923b690707cac4210cbdf6b082f596758b09dc3761e0e8da5e3c2298,e09afacef79bd9f7b5e5d10bafaf9b41e3f7cffb043fafa233fc87d5f224e98c,7365eeb744bfac432eb6afc6b9aaaabbd20c41fab25f663370b2b4c23f228536
"bgm_M220","bgm_M220","800100101","1001001","？？？","100584","350","100584","-30","90","1","2","0","-75","100000"
"bgm_M220","bgm_M220","800100102","1001002","？？？","100584","350","100584","-30","90","1","2","0","-75","100000"
"bgm_M220","bgm_M220","800100103","1001003","？？？","100584","350","100584","-30","90","1","2","0","-75","100000"
"bgm_M221","bgm_M221","800100101","1001004","？？？","100584","350","100584","-30","90","1","2","0","-75","100000"
"bgm_M221","bgm_M221","800100102","1001005","？？？","100584","350","100584","-30","90","1","2","0","-75","100000"
"bgm_M221","bgm_M221","800100103","1001006","？？？","100584","350","100584","-30","90","1","2","0","-75","100000"
"bgm_M220","bgm_M220","800100201","1002001","？？？","100584","350","100584","-30","90","1","2","0","-75","100000"
"bgm_M220","bgm_M220","800100202","1002002","？？？","100584","350","100584","-30","90","1","2","0","-75","100000"
"bgm_M220","bgm_M220","800100203","1002003","？？？","100584","350","100584","-30","90","1","2","0","-75","100000"
"bgm_M221","bgm_M221","800100201","1002004","？？？","100584","350","100584","-30","90","1","2","0","-75","100000"
"bgm_M221","bgm_M221","800100202","1002005","？？？","100584","350","100584","-30","90","1","2","0","-75","100000"
"bgm_M221","bgm_M221","800100203","1002006","？？？","100584","350","100584","-30","90","1","2","0","-75","100000"
