09bfada72c1f959913ff6b8627819849ef7658760adf9da581a5e6f0df938db0,dcca5e0887bdc26ebfc5540995e51643bc36f768f7f3deec7633555ce6cccf75,d5ffcac0d92a280d87a9d88ed3526bd7bdee7ae60ba99fc3afd47056de4f656e,4a9ffcc5a87355565b3eb53b23a03e7a702ff7504c0716da3bb72864081635ea,e432b917028acaca86dc991249e91c1c292e94141f0a7e5861127fec191abf8a,6aae975f5ccf3c50529abd9e2ac4d6fa539a558e98decedaef27c1cd8076e305,8e962711c37fb2442291621139e0d254a9e9d67e4ce4d20b359a18428b06e590,fbbf6d5e1738458c1e221a3b4a7418aa9ae99f4170ed3dad5ae760c178e53b77,d4b468ca35ef444941ed5750417a0b89e19ba0a18a31b7028331754eecf0dd52,2f84e4b88fa5841e6b07eab9155817710422d5f9fccc04852e5cf8b772424abf,414e43aa3bbb6305656fe39bb77bb5ab069f8e862f78a51bb5de8c08b05d3e9b
"130011","100","0","0","1.3","1","0","1","bsm_idle_yamato","1","1001"
"bsm_drama_arm_crossed","0","bsm_drama_arm_crossed_loop","1","0.2","1","0","3","","130011","1002"
"vo_minigame_1014_top_1000","0","0","","","1","","21","","vo_minigame_1014","1003"
"弱肉強食、上等だよ\n正面から勝てない時は\n裏をかくことも考えな","5","1","0","0","1","0","11","1","130011","1004"
"","","","","","1","","91","","0","1005"
"bsm_idle_yamato","1","","","0.3","1","","3","","130011","1006"
"130011","100","0","0","1.3","2","0","1","bsm_idle_yamato","1","2001"
"bsm_drama_thinking","1","","","0.2","2","","3","","130011","2002"
"vo_minigame_1014_top_1001","0","0","","","2","","21","","vo_minigame_1014","2003"
"いつかはワカナにも\n教えてやるか\n敵に勝って味わう\nヤシオーリの味をね","6","1","0","0","2","0","11","1","130011","2004"
"","","","","","2","","91","","0","2005"
"bsm_idle_yamato","1","","","0.3","2","","3","","130011","2006"
"130011","100","0","0","1.3","3","0","1","bsm_idle_yamato","1","3001"
"bsm_drama_doya","0","bsm_drama_doya_loop","1","0.2","3","0","3","","130011","3002"
"vo_minigame_1014_top_1002","0","0","","","3","","21","","vo_minigame_1014","3003"
"メカニックとしちゃ、\nフブキの腕は神業さ…\n妹でよかったよ、\nホントにさ","7","1","0","0","3","0","11","1","130011","3004"
"","","","","","3","","91","","0","3005"
"bsm_idle_yamato","1","","","0.3","3","","3","","130011","3006"
"130111","100","0","0","1.3","4","0","1","bsm_idle_wakana","1","4001"
"bsm_drama_guts","0","bsm_drama_guts_loop","1","0.2","4","0","3","","130111","4002"
"vo_minigame_1014_top_2000","0","0","","","4","","21","","vo_minigame_1014","4003"
"参加者のみなさんには\nごめんなさいですが…\nローン返済のためにも\n勝たせてもらいます！","8","1","0","0","4","0","11","1","130111","4004"
"","","","","","4","","91","","0","4005"
"bsm_idle_wakana","1","","","0.3","4","","3","","130111","4006"
"130111","100","0","0","1.3","5","0","1","bsm_idle_wakana","1","5001"
"bsm_drama_wish","1","","","0.2","5","","3","","130111","5002"
"vo_minigame_1014_top_2001","0","0","","","5","","21","","vo_minigame_1014","5003"
"こう言ったら\nなんですけど…\n姉さんが楽しそうで、\nわたしもうれしいです","8","1","0","0","5","0","11","1","130111","5004"
"","","","","","5","","91","","0","5005"
"bsm_idle_wakana","1","","","0.3","5","","3","","130111","5006"
"130111","100","0","0","1.3","6","0","1","bsm_idle_wakana","1","6001"
"bsm_drama_pazzled","1","","","0.2","6","","3","","130111","6002"
"vo_minigame_1014_top_2002","0","0","","","6","","21","","vo_minigame_1014","6003"
"フブキちゃんに\n野菜を食べてもらう\nにはどうしたら…\nも、もっと強引に…？","7","1","0","0","6","0","11","1","130111","6004"
"","","","","","6","","91","","0","6005"
"bsm_idle_wakana","1","","","0.3","6","","3","","130111","6006"
"130211","100","0","0","1.3","7","0","1","bsm_idle_fubuki","1","7001"
"bsm_drama_smile","1","","","0.2","7","","3","","130211","7002"
"vo_minigame_1014_top_3000","0","0","","","7","","21","","vo_minigame_1014","7003"
"対戦相手のお仕事は～\nぼくたちに賞金を\n運んでくるコト♪\nよろしくね～♡","5","1","0","0","7","0","11","1","130211","7004"
"","","","","","7","","91","","0","7005"
"bsm_idle_fubuki","1","","","0.2","7","","3","","130211","7006"
"130211","100","0","0","1.3","8","0","1","bsm_idle_fubuki","1","8001"
"bsm_drama_doya","0","bsm_drama_doya_loop","1","0.2","8","","3","","130211","8002"
"vo_minigame_1014_top_3001","0","0","","","8","","21","","vo_minigame_1014","8003"
"もうヤマ姉優勝で\n決まってっしー♪\n賞金全部もらっといて\nよくねー？","7","1","0","0","8","0","11","1","130211","8004"
"","","","","","8","","91","","0","8005"
"bsm_idle_fubuki","1","","","0.2","8","","3","","130211","8006"
"130211","100","0","0","1.3","9","0","1","bsm_idle_fubuki","1","9001"
"bsm_drama_laugh","0","bsm_drama_laugh_loop","1","0.2","9","0","3","","130211","9002"
"vo_minigame_1014_top_3002","0","0","","","9","","21","","vo_minigame_1014","9003"
"お兄さんを弾にして\n撃つ武器とか、ど～？\nきゃはは、よわそ～♡","7","1","0","0","9","0","11","1","130211","9004"
"","","","","","9","","91","","0","9005"
"bsm_idle_fubuki","1","","","0.2","9","","3","","130211","9006"
