9c85ae0384f57d712a24c31b14bc89273800d6b0049c6d7caee9f44fa8bdcf27,a57630ce7140f4cde04be88b4d88b625c9ff7085ccb4b37c22b9f2e39b781af1,d25b998b21049c5af497866a44eb8ca7a124ea593db49bac20b1aba6ab84abb1,1d78259e67bb10abdeff88685e7b1732108d3135a1d0ebca7c3106aedef82573,6c8a931f0af4ef0b8d579ea8eaaae96b544dc2e3179c96397a278ce2728094e3,ba9e48c3c8617f027642152082170455cb5ac8e3de25105baad2495d8169326a,fd864e92ccbd55853edf356d0c971addb0e0131d25cf8cc1145ec04935667a1c,20d5542ae6ea9d64ceefc0ac71a7e5c103b9ee0394328530b46f9e94514468ce,75d8fa817e2a882ed1f90c5f90334f4ba125ecb9f1ca797487a3931506bde1b0,51c35cccc380cf9ec95c94c1b03b0fab3ad0c063ec8045953a5708e258b6a09d,460da955f29327c9562669584fd9de78b6a26dfe0617d3e67cb122af9823a1e9
"12001","talk_sad","2.2","30","1","-250","0","5","12","1","52"
"12002","","0","1","1","0","0","6","12","1","1"
"12003","black","1","50","0","0","0","5","12","0","29"
"12004","","0","1","1","0","0","6","12","0","1"
"12005","","","","","","","91","12","0",""
"12006","","0.2","1","1","1","0","6","12","1","1"
"12007","","0.2","1","1","1","0","6","12","0","1"
"12008","","","0.3","-20","2","","2","12","1","-250"
"12009","","","0.3","0","2","","2","12","0","0"
"12010","","","","0","","","93","12","0.6",""
"12011","","","0","vo_asb_0121","","","21","12","vo_asb","0"
"12012","0","0","1","思えば手土産すらも、\n持参できず仕舞いでした……","1","0","11","12","1","10"
"12013","","","0","","","","91","12","0","0"
"12014","","0.2","","guts2_talk_shy","","","3","12","1","1"
"12015","","","0","vo_asb_0122","","","21","12","vo_asb","0"
"12016","0","0","1","次に伺う時は必ず……！","1","0","11","12","1","10"
"12017","","","0","","","","91","12","0","0"
"12018","","0.2","","sad_talk_surprise","","","3","12","1","1"
"12019","","","0","vo_asb_0123","","","21","12","vo_asb","0"
"12020","0","0","1","……でも、なにがよいのでしょう。\n的外れなものを選んで、かえって\nお気を遣わせてもいけませんし……","1","0","11","12","1","10"
"12021","","","0","","","","91","12","0","0"
"12022","","0.3","","surprise_talk_dere","","","3","12","1","1"
"12023","","","0","vo_asb_0124","","","21","12","vo_asb","0"
"12024","0","0","1","やはり、兄様ゆかりの場所ですから……\n兄様とご相談して、一緒に選ばせて\nいただくのが一番、でしょうか……","1","0","11","12","1","10"
"12025","","","0","","","","91","12","0","0"
"12026","","0.4","sad_idle_red_riri","sad_talk_riri_in","1","0","3","12","1","0"
"12027","","","0","vo_asb_0125","","","21","12","vo_asb","0"
"12028","0","0","1","……一緒に……手土産を……\n……ぽっ。","1","0","11","12","1","10"
"12029","","","0","","","","91","12","0","0"
"12030","","","","","","","101","12","12031",""
"12031","","0.3","1","1","0","0","6","12","1","1"
"12032","","0.3","1","1","0","0","6","12","0","1"
"12033","","","0.3","-120","1","","2","12","1","-250"
"12034","","","0.3","-100","1","","2","12","0","0"
"12035","","","","0","","","22","12","0",""
"12036","","","","0","","","93","12","0.4",""
"13001","riri_idle_look_shy","2.2","20","1","-230","0","5","13","1","17"
"13002","clear_idle_look_shy","2.2","-140","2","-255","0","5","13","2","19"
"13003","idle_look_precia","2.2","270","3","-245","1","5","13","3","18"
"13004","","0","1","1","0","0","6","13","1","1"
"13005","","0","1","1","0","0","6","13","2","1"
"13006","","0","1","1","0","0","6","13","3","1"
"13007","","0","0","100","1","","31","13","1","0"
"13008","","","","0","","","35","13","100",""
"13009","black","1","50","0","0","0","5","13","0","16"
"13010","","0","1","1","0","0","6","13","0","1"
"13011","","","","","","","91","13","0",""
"13012","","","","0","","","93","13","0.1",""
"13013","","0.2","1","1","1","0","6","13","1","1"
"13014","","0.2","1","1","1","0","6","13","2","1"
"13015","","0.2","1","1","1","0","6","13","3","1"
"13016","","0.2","1","1","1","0","6","13","0","1"
"13017","","","0.3","-30","2","","2","13","1","-230"
