5cfa2be0bb554ba6224d014532bcff427cced1be462dc836addccc5511298d91,4230d3ab2964eb2de994a40c147cf277930cdce1a214ae8673964156b67d6a76,c73a47f9b63219d31103352a4ec2f96af552dc28557561c0c2d8b49c0c4a6ef2,3f537cd9cc0692526ff720e476b0c6c1c953c84bea0635b4e08e8bc4cbbcd274,613ea5df0a68864d4a9457a6655157cb7c6dadba3e5bb3ccbb018a1ee0ba18e4,f743db182c91364f0468066648242ea9218f0dcbe0d0ebae37746f88f75da17e
"211","212","1","1005","802100290","2114001"
"211","212","1","1006","802100290","2114002"
"211","212","1","1007","802100290","2114003"
"211","212","1","1008","802100290","2114004"
"104","100","0","100501","802100266","2113061"
"104","100","0","100502","802100266","2113062"
"105","102","0","100503","802100266","2113063"
"106","103","0","100504","802100266","2113064"
"104","100","0","100505","802100266","2113065"
"104","100","0","100506","802100266","2113066"
"105","102","0","100507","802100266","2113067"
"106","103","0","100508","802100266","2113068"
"104","100","0","100509","802100266","2113069"
"104","100","0","100510","802100266","2113070"
"104","100","0","100511","802100267","2113071"
"104","100","0","100512","802100267","2113072"
"105","102","0","100513","802100267","2113073"
"106","103","0","100514","802100267","2113074"
"104","100","0","100515","802100267","2113075"
"104","100","0","100516","802100267","2113076"
"105","102","0","100517","802100267","2113077"
"106","103","0","100518","802100267","2113078"
"104","100","0","100519","802100267","2113079"
"104","100","0","100520","802100267","2113080"
"104","100","0","100521","802100268","2113081"
"104","100","0","100522","802100268","2113082"
"105","102","0","100523","802100268","2113083"
"106","103","0","100524","802100268","2113084"
"104","100","0","100525","802100268","2113085"
"208","112","1","100526","802100268","2113086"
"201","110","1","100527","802100268","2113087"
"104","100","0","100528","802100268","2113088"
"105","102","0","100529","802100268","2113089"
"106","103","0","100530","802100268","2113090"
"203","114","1","100601","802100263","2113031"
"202","113","1","100602","802100263","2113032"
"105","102","0","100603","802100263","2113033"
"106","103","0","100604","802100263","2113034"
"203","114","1","100605","802100263","2113035"
"202","113","1","100606","802100263","2113036"
"204","111","1","100607","802100263","2113037"
"202","113","1","100608","802100263","2113038"
"202","113","1","100609","802100263","2113039"
"106","103","0","100610","802100263","2113040"
"203","114","1","100611","802100264","2113041"
"202","113","1","100612","802100264","2113042"
"105","102","0","100613","802100264","2113043"
"106","103","0","100614","802100264","2113044"
"203","114","1","100615","802100264","2113045"
"202","113","1","100616","802100264","2113046"
"204","111","1","100617","802100264","2113047"
"202","113","1","100618","802100264","2113048"
"202","113","1","100619","802100264","2113049"
"106","103","0","100620","802100264","2113050"
"105","102","0","100621","802100265","2113051"
"203","114","1","100622","802100265","2113052"
"202","113","1","100623","802100265","2113053"
"204","111","1","100624","802100265","2113054"
"106","103","0","100625","802100265","2113055"
"208","112","1","100626","802100265","2113056"
"201","110","1","100627","802100265","2113057"
"203","114","1","100628","802100265","2113058"
"202","113","1","100629","802100265","2113059"
"106","103","0","100630","802100265","2113060"
"205","112","1","100701","802100269","2113091"
"206","112","1","100702","802100269","2113092"
"102","117","0","100703","802100269","2113093"
"105","102","0","100704","802100269","2113094"
"105","102","0","100705","802100269","2113095"
"202","113","1","100706","802100269","2113096"
"203","114","1","100707","802100269","2113097"
"102","117","0","100708","802100269","2113098"
"105","102","0","100709","802100269","2113099"
"202","113","1","100710","802100269","2113100"
"205","112","1","100711","802100270","2115001"
"102","117","0","100712","802100270","2115002"
"105","102","0","100713","802100270","2115003"
"106","103","0","100714","802100270","2115004"
"203","114","1","100715","802100270","2115005"
"202","113","1","100716","802100270","2115006"
"207","112","1","100717","802100270","2115007"
"105","102","0","100718","802100270","2115008"
"106","103","0","100719","802100270","2115009"
"202","113","1","100720","802100270","2115010"
"205","112","1","100721","802100271","2115011"
"208","112","1","100722","802100271","2115012"
"102","117","0","100723","802100271","2115013"
"105","102","0","100724","802100271","2115014"
"106","103","0","100725","802100271","2115015"
"208","112","1","100726","802100271","2115016"
"201","110","1","100727","802100271","2115017"
"102","117","0","100728","802100271","2115018"
"105","102","0","100729","802100271","2115019"
"106","103","0","100730","802100271","2115020"
"103","104","0","100801","802100260","2113001"
"104","100","0","100802","802100260","2113002"
"104","100","0","100803","802100260","2113003"
"105","102","0","100804","802100260","2113004"
"105","102","0","100805","802100260","2113005"
"104","100","0","100806","802100260","2113006"
"104","100","0","100807","802100260","2113007"
"105","102","0","100808","802100260","2113008"
"105","102","0","100809","802100260","2113009"
"107","101","0","100810","802100260","2113010"
"103","104","0","100811","802100261","2113011"
"104","100","0","100812","802100261","2113012"
"104","100","0","100813","802100261","2113013"
"105","102","0","100814","802100261","2113014"
"106","103","0","100815","802100261","2113015"
"104","100","0","100816","802100261","2113016"
"104","100","0","100817","802100261","2113017"
"105","102","0","100818","802100261","2113018"
"106","103","0","100819","802100261","2113019"
"104","100","0","100820","802100261","2113020"
"103","104","0","100821","802100262","2113021"
"104","100","0","100822","802100262","2113022"
"104","100","0","100823","802100262","2113023"
"105","102","0","100824","802100262","2113024"
"105","102","0","100825","802100262","2113025"
"208","112","1","100826","802100262","2113026"
"201","110","1","100827","802100262","2113027"
"105","102","0","100828","802100262","2113028"
"106","103","0","100829","802100262","2113029"
"103","104","0","100830","802100262","2113030"
