76d004f725cedb7335bd78f11b0109210cffce5cd3ce9209a3f673679d47c863,4f998962e25fdf131b13f26b645892cf0599e14cd74956aff203f91108e2efba,af97e4b2f610238111124b27a247acddb211b466be0d932b210e76a9d931dbfb,5a6c2ed240ab8fcd2212587f61cc2c50f50aef535fd0075401e38638c4fc271a,fc95e5c27511f0dcb6361ce18b08312a3ceff8d48c24f4ecdcfad444c0061f6d,9b7097fac2571b641f1a2ac75649330783685aff1482ca61ea715fef4fa96dc9
"1","99001001","15","1","1001","11001001"
"2","99001001","8","10","0","91002"
"3","99001002","15","1","1001","11001002"
"4","99001002","8","10","0","91002"
"5","99001003","15","1","1002","11001003"
"6","99001003","8","20","0","91002"
"7","99001004","15","1","1003","11001004"
"8","99001004","8","30","0","91002"
"9","99001005","15","1","1001","11001005"
"10","99001005","8","10","0","91002"
"11","99001006","15","1","1001","11001006"
"12","99001006","8","10","0","91002"
"13","99001007","15","1","1002","11001007"
"14","99001007","8","20","0","91002"
"15","99001008","15","1","1003","11001008"
"16","99001008","8","30","0","91002"
"17","99001009","15","1","1001","11001009"
"18","99001009","8","10","0","91002"
"19","99001010","15","1","1001","11001010"
"20","99001010","8","10","0","91002"
"21","99001011","15","1","1002","11001011"
"22","99001011","8","20","0","91002"
"23","99001012","15","1","1003","11001012"
"24","99001012","8","30","0","91002"
"33","99001017","15","1","1001","11001017"
"34","99001017","8","30","0","91002"
"35","99001018","15","1","1001","11001018"
"36","99001018","8","30","0","91002"
"37","99001019","15","1","1002","11001019"
"38","99001019","8","30","0","91002"
"39","99001020","15","1","1003","11001020"
"40","99001020","8","30","0","91002"
"41","99001021","15","0","1001","11001021"
"42","99001022","15","0","1002","11001022"
"43","99001023","15","1","1001","11001023"
"44","99001023","8","30","0","91002"
"45","99001024","15","1","1001","11001024"
"46","99001024","8","30","0","91002"
"47","99001025","15","1","1002","11001025"
"48","99001025","8","30","0","91002"
"49","99001026","15","1","1003","11001026"
"50","99001026","8","30","0","91002"
"51","99001027","15","1","1001","11001027"
"52","99001027","8","30","0","91002"
"53","99001028","15","1","1001","11001028"
"54","99001028","8","30","0","91002"
"55","99001029","15","1","1002","11001029"
"56","99001029","8","30","0","91002"
"57","99001030","15","1","1003","11001030"
"58","99001030","8","30","0","91002"
"59","99001031","15","1","1001","11001031"
"60","99001031","8","30","0","91002"
"61","99001032","15","1","1001","11001032"
"62","99001032","8","30","0","91002"
"63","99001033","15","1","1002","11001033"
"64","99001033","8","30","0","91002"
"65","99001034","15","1","1003","11001034"
"66","99001034","8","30","0","91002"
"75","99001039","15","0","1001","11001039"
"76","99001040","15","0","1002","11001040"
"77","99001041","15","0","1003","11001041"
"78","99001042","15","1","1001","11001042"
"79","99001042","8","30","0","91002"
"80","99001043","15","1","1001","11001043"
"81","99001043","8","30","0","91002"
"82","99001044","15","1","1002","11001044"
"83","99001044","8","30","0","91002"
"84","99001045","15","1","1003","11001045"
"85","99001045","8","30","0","91002"
"86","99001046","15","1","1001","11001046"
"87","99001046","15","1","1001","11001050"
"88","99001046","8","30","0","91002"
"89","99001047","15","1","1001","11001047"
"90","99001047","8","30","0","91002"
"91","99001048","15","1","1002","11001048"
"92","99001048","8","30","0","91002"
"93","99001049","15","1","1003","11001049"
"94","99001049","8","30","0","91002"
"95","99001051","15","1","1001","11001051"
"96","99001051","8","30","0","91002"
"97","99001052","15","1","1001","11001052"
"98","99001052","8","30","0","91002"
"99","99001053","15","1","1002","11001053"
"100","99001053","8","30","0","91002"
"101","99001054","15","1","1003","11001054"
"102","99001054","8","30","0","91002"
"103","99001055","15","1","1001","11001055"
"104","99001055","8","30","0","91002"
"105","99001056","15","1","1001","11001056"
"106","99001056","8","30","0","91002"
"107","99001057","15","1","1002","11001057"
"108","99001057","8","30","0","91002"
"109","99001058","15","1","1003","11001058"
"110","99001058","8","30","0","91002"
"111","99001059","15","1","1001","11001059"
"112","99001059","8","30","0","91002"
"113","99001060","15","1","1001","11001060"
"114","99001060","8","30","0","91002"
"115","99001061","15","1","1002","11001061"
"116","99001061","8","30","0","91002"
"117","99001062","15","1","1003","11001062"
"118","99001062","8","30","0","91002"
"119","99001063","15","1","1001","11001063"
"120","99001063","8","30","0","91002"
"121","99001064","15","1","1001","11001064"
"122","99001064","8","30","0","91002"
"123","99001065","15","1","1002","11001065"
"124","99001065","8","30","0","91002"
"125","99001066","15","1","1003","11001066"
"126","99001066","8","30","0","91002"
"127","99001067","15","1","1001","11001067"
"128","99001067","8","30","0","91002"
"129","99001068","15","1","1001","11001068"
"130","99001068","8","30","0","91002"
