b23316dd9ad93a590c02d6366e71a19a1b73327de890fa3562149180a019caf0,8075f19282e196a69e501c380cf750bb67f8b298160ae9db60ac1bbd2e6fc1b5,b1ed51b05564af197c1dccf22a6b08d3a2c2f23bd3d7d04fe15eabdcb1843a9d,20553ae14db78628719d48ed7ead022c904fd802acbbeaea4e5bbb50121e4a9d,47fe96ecfe54438ca352c70a0267489bccdde56720bbe731581df181fc8eca4a,d6f7257f8aebfffcc26ed4adabb248e921d3980042d1dd98e178184ae287672f
"5035005","0","0","0","5035004","10036"
"5058005","0","0","0","5058004","10059"
"0","1006201","10062115","10062","0","10063"
"0","1008401","10084115","10084","0","10085"
"0","1008601","10086115","10086","0","10087"
"0","1011001","10110115","10110","0","10111"
"0","1011201","10112115","10112","0","10113"
"0","1013601","10136110","10136","0","10137"
"0","1013801","10138115","10138","0","10139"
"0","2003301","20033115","20033","0","20034"
"0","2004601","20046115","20046","0","20047"
