3c6bb758714bcecfd5d4bde7f37ec05be30210ecc0e44749bee78f36c4e8cd81,8ccf5469eba0b9e0837e1a21299e0d6dacaf4b87735ef4aa109745ce9d2908fa,bdc986b1bf18f09d8a6aa532c4cdd3db6ed88e3c09d7ec78a7934cea45b80292,4a8ef267f343737a2b234db7df55e82d15f72033caf4456c0d61a5b0d37881df,e7116e810876d8f8c8c9bf9072a3a0d105e0f37c42d6a02eb3a83cc340481f00
"1","0","1001","0","1"
"2","0","1002","0","1"
"3","0","1003","0","1"
"4","0","1004","0","1"
"1","0","2001","0","2"
"2","0","2002","0","2"
"3","0","2003","0","2"
"4","0","2004","0","2"
"1","1","2101","0","2"
"2","1","2102","0","2"
"3","1","2103","0","2"
"4","1","2104","0","2"
"11","2","2111","10001","2"
"12","2","2112","10001","2"
"13","2","2113","10001","2"
"1","0","3001","0","3"
"2","0","3002","0","3"
"3","0","3003","0","3"
"4","0","3004","0","3"
"1","0","4001","0","4"
"2","0","4002","0","4"
"3","0","4003","0","4"
"4","0","4004","0","4"
"100","0","4005","0","4"
"10101","1","5010","0","5"
"10201","2","5020","1","5"
"10202","2","5021","2","5"
"10301","3","5030","0","5"
"10301","3","5031","1","5"
"10302","4","5040","0","5"
"10303","5","5050","0","5"
"10304","6","5060","0","5"
"90001","1","6001","0","6"
"90001","2","6002","0","6"
"90001","2","6003","1","6"
"90001","3","6006","0","6"
"91101","3","6007","1","6"
"91201","3","6008","2","6"
"91301","3","6009","3","6"
"90001","4","6010","0","6"
"91101","4","6011","1","6"
"91201","4","6012","2","6"
"91301","4","6013","3","6"
"90001","5","6014","0","6"
"91101","5","6015","1","6"
"91201","5","6016","2","6"
"91301","5","6017","3","6"
"90001","6","6018","0","6"
"91101","6","6019","1","6"
"91201","6","6020","2","6"
"91301","6","6021","3","6"
"90002","0","7000","0","7"
"90002","0","7001","1","7"
"90003","0","7002","2","7"
"90002","2","7003","1","7"
"90003","2","7004","2","7"
"91102","3","7005","1","7"
"91103","3","7006","2","7"
"91102","4","7007","1","7"
"91103","4","7008","2","7"
"91102","5","7009","1","7"
"91103","5","7010","2","7"
"91102","6","7011","1","7"
"91103","6","7012","2","7"
"20101","0","9001","0","9"
"20201","0","10001","0","10"
"20202","1","10002","0","10"
"10501","8","10180","0","101"
"1","1","100001","0","100"
"1","2","100002","0","100"
"2","3","100003","0","100"
"2","4","100004","0","100"
"2","5","100005","0","100"
"2","6","100006","0","100"
"10301","98001","980001","0","101"
"10402","98001","980002","2","101"
"10401","98011","980011","1","101"
"10402","98012","980012","2","101"
